 	je	m'	en	vais	dire	au-revoir	à	mon	oncle	</S>
a66	0.206276	0.177584	0.196751	0.155406	0.148782	0.0544484	0.0236317	0.0161454	0.0105239	0.0104514
a97	0.344868	0.218953	0.168376	0.148719	0.0726358	0.0230434	0.00882993	0.00496979	0.00416887	0.00543527
a87	0.424969	0.234929	0.157499	0.109471	0.0381908	0.0119932	0.00635316	0.00508112	0.00467447	0.00683982
a23	0.366131	0.250775	0.180059	0.130745	0.0414398	0.00974963	0.00427504	0.003627	0.00474883	0.00845014
a83	0.325951	0.186972	0.126568	0.108022	0.0528656	0.0243814	0.0224518	0.0371607	0.048392	0.0672345
a54	0.229729	0.148701	0.114494	0.124358	0.0747339	0.0276269	0.0371666	0.0569601	0.0847857	0.101444
a6	0.150178	0.143267	0.139024	0.212648	0.151552	0.0606351	0.0431729	0.0334099	0.0316619	0.0344508
a5	0.130825	0.162191	0.166719	0.222006	0.161688	0.0924062	0.036277	0.013098	0.00752812	0.00726077
a37	0.136516	0.172463	0.166607	0.197818	0.143868	0.0952334	0.0401751	0.0209031	0.0137788	0.012637
a79	0.0947097	0.142054	0.167827	0.198635	0.177064	0.100823	0.0435442	0.029036	0.023521	0.0227864
a98	0.0409537	0.0837097	0.126831	0.157598	0.194347	0.181806	0.0852512	0.0524558	0.0392122	0.0378352
a92	0.0386356	0.0665311	0.0978635	0.116802	0.162488	0.221362	0.119976	0.073024	0.052787	0.050531
a85	0.057602	0.0956828	0.133978	0.115752	0.133427	0.1306	0.096207	0.0830019	0.0748321	0.0789182
a6	0.0241819	0.0377342	0.059191	0.0554142	0.0714562	0.119072	0.136541	0.153252	0.172937	0.170221
a0	0.0254664	0.0391986	0.0692918	0.0553792	0.0826992	0.121899	0.176552	0.151929	0.13099	0.146596
a11	0.0204801	0.0214756	0.0307438	0.0226965	0.0385039	0.0700617	0.166364	0.181135	0.177053	0.271486
a75	0.0123193	0.01209	0.0169148	0.0128337	0.0151627	0.0231888	0.0800183	0.187426	0.243812	0.396234
a85	0.00179564	0.00195768	0.00276666	0.00191033	0.00300052	0.0096599	0.0737882	0.214978	0.285039	0.405104
a92	0.00044442	0.00041117	0.000581275	0.000415625	0.000762592	0.0037795	0.0450038	0.172177	0.308814	0.467611
a93	0.000385417	0.000414936	0.00061078	0.000442138	0.000791967	0.00392416	0.05099	0.216449	0.339655	0.386337
a56	0.00085737	0.000860182	0.00117678	0.000804081	0.00107222	0.00367267	0.0267187	0.133708	0.322246	0.508884
a93	0.000297312	0.000305752	0.000436205	0.000302804	0.000436838	0.00198973	0.0158998	0.104626	0.331788	0.543918
a70	0.000397229	0.000406734	0.000573605	0.000405902	0.000546183	0.00200737	0.0135556	0.0899224	0.315763	0.576422
a13	0.000414242	0.000397382	0.000573634	0.000425664	0.000547386	0.00177502	0.00967936	0.0584426	0.284872	0.642873
a9	0.00110102	0.000889678	0.00123469	0.0011117	0.00157268	0.00621459	0.0221167	0.0837483	0.296958	0.585053
a57	0.0109634	0.00801708	0.00856212	0.00802731	0.00766477	0.0117114	0.0270101	0.0857051	0.27569	0.556648
a82	0.17074	0.112165	0.0878232	0.0561088	0.029764	0.0281568	0.0466914	0.0763207	0.160793	0.231437
a87	0.223302	0.181743	0.15054	0.0986111	0.0528658	0.0247683	0.0257601	0.0410525	0.0898751	0.111482
a23	0.2091	0.190643	0.178135	0.135185	0.0852537	0.0333709	0.0247054	0.0352527	0.0526843	0.0556699
a87	0.123099	0.101758	0.0975373	0.0683745	0.0383203	0.0366825	0.0668315	0.110732	0.16568	0.190985
</S>	0.024517	0.0206457	0.0200705	0.0146307	0.00986061	0.0239302	0.0812601	0.150238	0.262922	0.391925
