 	les	chevreaux	bêlent	</S>
a23	0.355587	0.173306	0.131489	0.339618
a87	0.305263	0.226553	0.165267	0.302917
a23	0.230063	0.299449	0.192521	0.277967
a40	0.0864917	0.209212	0.273369	0.430927
a20	0.525396	0.283876	0.109746	0.0809819
a58	0.63695	0.2642	0.0637454	0.0351051
a57	0.423975	0.367822	0.131779	0.0764241
a53	0.26279	0.297049	0.213208	0.226953
a20	0.408859	0.340502	0.148457	0.102182
a94	0.406497	0.291037	0.186306	0.11616
a32	0.303485	0.246436	0.241403	0.208676
a24	0.256635	0.212272	0.219497	0.311596
a98	0.0823293	0.106776	0.26567	0.545224
a66	0.204499	0.166623	0.21102	0.417857
a20	0.0950678	0.10788	0.211208	0.585843
a73	0.031422	0.0517822	0.141963	0.774833
a94	0.0133931	0.0398792	0.181058	0.76567
a12	0.0100801	0.0239904	0.109515	0.856415
a41	0.00580435	0.0149422	0.0915668	0.887687
a73	0.0098685	0.0404071	0.202467	0.747258
a84	0.0066554	0.033786	0.158688	0.800871
a87	0.00201303	0.00983211	0.0644579	0.923697
</S>	0.00757035	0.0154759	0.105474	0.87148
