 	l'	enfant	est	calme	dans	le	lit	parce	que	le	bruit	du	véhicule	lui	a	fait	peur	</S>
a66	0.168811	0.136779	0.0914818	0.0743552	0.0627678	0.0674506	0.0713481	0.0690012	0.0589112	0.0497001	0.0387146	0.0335824	0.021848	0.0167783	0.0132741	0.00906232	0.00814976	0.00798401
a87	0.377816	0.187748	0.0701916	0.0298503	0.0177403	0.0223715	0.0345953	0.0430071	0.034515	0.0352006	0.0268627	0.0231548	0.0133725	0.0119721	0.0127218	0.0152953	0.0208594	0.0227257
a23	0.294181	0.156804	0.0842179	0.0514038	0.0489807	0.052514	0.0557448	0.0536371	0.0392658	0.0296549	0.0238072	0.0180781	0.0118409	0.0141289	0.0148181	0.0150749	0.0159901	0.0198579
a53	0.242201	0.112199	0.0571452	0.0317837	0.0362676	0.0498366	0.0570112	0.0590685	0.0489646	0.0431099	0.0400672	0.0316201	0.0216374	0.0219145	0.0283133	0.0323159	0.0399552	0.0465892
a54	0.233596	0.139927	0.0772333	0.0493783	0.041349	0.0448952	0.0409985	0.0442665	0.0450728	0.0461898	0.0453923	0.0366256	0.0273827	0.0220284	0.0258237	0.0258946	0.0268994	0.0270478
a47	0.178455	0.171187	0.1187	0.113791	0.0700191	0.0517314	0.033451	0.034797	0.0317657	0.0289381	0.0267552	0.0215957	0.0204626	0.0185283	0.023188	0.0202899	0.0186081	0.0177358
a85	0.080493	0.104181	0.116116	0.19017	0.133138	0.0790354	0.0425824	0.0351736	0.0276796	0.0224877	0.0176929	0.0146555	0.0162079	0.0170727	0.0233025	0.0233403	0.0268567	0.0298155
a5	0.0465872	0.0663638	0.0954796	0.171459	0.13908	0.0938332	0.0575302	0.0499017	0.0412123	0.036818	0.0298378	0.0249121	0.0227232	0.0215034	0.0227593	0.0211086	0.0270722	0.031819
a43	0.0835404	0.0874268	0.0969941	0.159097	0.143385	0.111023	0.0729917	0.058047	0.0421316	0.031978	0.0261102	0.0180781	0.0134315	0.0117786	0.0109441	0.00914148	0.0110127	0.0128888
a21	0.0406563	0.051465	0.0744214	0.146408	0.160576	0.137802	0.102647	0.0775565	0.0573274	0.0405968	0.0312141	0.0189589	0.0119386	0.0104661	0.00925056	0.00809341	0.00944838	0.0111743
a41	0.0335073	0.0386358	0.0534852	0.101065	0.121608	0.120859	0.110879	0.0972614	0.0790783	0.0604823	0.0516312	0.0336725	0.0201827	0.0163488	0.0142178	0.0134161	0.0156743	0.0179958
a43	0.00569082	0.00695096	0.0139505	0.0471267	0.0970353	0.131335	0.147491	0.128255	0.104625	0.0843723	0.0690808	0.0448288	0.0268927	0.0210198	0.017255	0.0154446	0.017804	0.0208414
a93	0.00618446	0.00769032	0.0143065	0.0413355	0.100649	0.152836	0.176931	0.146122	0.115137	0.0787752	0.0590258	0.030685	0.0156924	0.0119641	0.00961941	0.00899792	0.0106144	0.0134356
a13	0.00888796	0.0103122	0.0160279	0.0399768	0.0880721	0.135104	0.15532	0.134528	0.11575	0.084609	0.0658259	0.0398377	0.0224891	0.0170559	0.0141494	0.0137417	0.017113	0.0211988
a75	0.00551052	0.00692402	0.00974963	0.0214388	0.0519748	0.10969	0.158814	0.147189	0.145685	0.11151	0.0796462	0.0449425	0.024064	0.017798	0.0138679	0.0130251	0.0165086	0.0216618
a21	0.00375203	0.00417219	0.00626036	0.0149064	0.0334647	0.0622078	0.100661	0.111893	0.110937	0.100732	0.0903184	0.0711322	0.0524667	0.0442866	0.0404668	0.0412406	0.0503025	0.0608007
a12	0.00363025	0.00380625	0.00535128	0.0114925	0.0250511	0.0513329	0.0965893	0.11521	0.125269	0.116979	0.105023	0.0808208	0.0548886	0.0443081	0.0374931	0.0353232	0.0404275	0.0470038
a88	0.00244751	0.00309541	0.0045357	0.0100141	0.0260357	0.0550169	0.101495	0.120357	0.133411	0.122502	0.104358	0.0753916	0.0495917	0.040326	0.0351555	0.0324607	0.0384869	0.0453189
a71	0.00221973	0.00289093	0.00413271	0.00893659	0.0234169	0.0528479	0.101921	0.122233	0.141081	0.132193	0.109012	0.0757802	0.0463276	0.0368268	0.0306127	0.0284769	0.0358737	0.0452175
a82	0.0038871	0.0048895	0.00724167	0.0150062	0.0271082	0.0544012	0.109214	0.126702	0.160191	0.154985	0.109634	0.069006	0.0370061	0.0289938	0.0221023	0.0183091	0.0221988	0.0291251
a3	0.00589203	0.00623067	0.00730429	0.0121928	0.0233197	0.0499294	0.0935262	0.115487	0.143872	0.141287	0.109671	0.0771959	0.0496966	0.0424183	0.0335449	0.0262208	0.0281037	0.0341077
a10	0.0242303	0.0171113	0.015011	0.019502	0.0273231	0.0491622	0.0794554	0.0997726	0.107412	0.109114	0.0919886	0.0753095	0.0596982	0.0518733	0.0468263	0.0371879	0.0414176	0.0476045
