 	il	se	vante	des	biens	de	son	père	</S>
a87	0.335433	0.152084	0.085698	0.10531	0.0687487	0.0606013	0.0563151	0.0704633	0.0653468
a23	0.252413	0.0700413	0.0547114	0.0757583	0.0662547	0.0766778	0.0928805	0.151458	0.159806
a79	0.0912503	0.0355218	0.0323837	0.0325927	0.0436916	0.0822006	0.13381	0.250043	0.298507
a15	0.282414	0.0986963	0.0501584	0.0618205	0.061784	0.0835055	0.0943655	0.119608	0.147647
a98	0.195592	0.165421	0.157388	0.139	0.0990402	0.0883651	0.0579141	0.0526132	0.0446662
a85	0.185719	0.218292	0.204396	0.138579	0.0747996	0.0493639	0.0391901	0.0450732	0.0445864
a26	0.171815	0.212213	0.221914	0.162985	0.0874795	0.0469575	0.0323266	0.0323612	0.0319475
a75	0.215495	0.243314	0.239605	0.150753	0.0588749	0.0285641	0.0207664	0.0220155	0.0206122
a25	0.195764	0.202572	0.203357	0.148562	0.0792735	0.0471442	0.0369905	0.0408352	0.0455018
a94	0.137958	0.155273	0.189866	0.177133	0.113701	0.0643883	0.0468815	0.0543618	0.0604375
a90	0.168249	0.176631	0.179424	0.183373	0.142657	0.0569866	0.0326864	0.0294883	0.0305057
a13	0.189765	0.177773	0.170662	0.160149	0.116483	0.0597172	0.0416452	0.0398286	0.0439784
a75	0.129084	0.130519	0.133435	0.143224	0.201362	0.107274	0.0590585	0.0470117	0.0490314
a21	0.140679	0.119308	0.100996	0.105039	0.1467	0.113585	0.0910149	0.0827177	0.0999592
a85	0.149143	0.108135	0.0733222	0.0693305	0.115639	0.122488	0.127754	0.106198	0.127989
a27	0.0566013	0.0516191	0.0366435	0.0397428	0.0705885	0.103158	0.164549	0.206928	0.27017
a38	0.0441828	0.0414563	0.0488193	0.0545264	0.0840982	0.0792448	0.111011	0.209688	0.326973
a85	0.0182485	0.0157912	0.0191029	0.0262382	0.0484493	0.0634543	0.111758	0.246032	0.450925
a73	0.0135889	0.0105117	0.0113172	0.0160875	0.0300363	0.0529034	0.141181	0.282702	0.441673
a69	0.012091	0.00971072	0.0122766	0.0161479	0.0265602	0.0421304	0.0992936	0.254407	0.527383
a58	0.00854304	0.00565626	0.00788177	0.0112981	0.0212595	0.0370683	0.0879272	0.240806	0.57956
a82	0.00274764	0.00122829	0.00110692	0.00142377	0.00295817	0.00831387	0.0378485	0.223672	0.7207
a87	0.0149287	0.00354713	0.00210064	0.00235221	0.00724836	0.0209093	0.0658989	0.222504	0.660511
a23	0.183934	0.0609503	0.0454991	0.0456203	0.059699	0.0602381	0.0933404	0.160416	0.290302
a87	0.0229411	0.00746145	0.0105105	0.0142316	0.0302598	0.0969241	0.237012	0.283337	0.297322
</S>	0.00239766	0.00112468	0.00236847	0.00483089	0.0157363	0.0593379	0.176601	0.335503	0.4021
