 	cette	parcelle-ci	est	la	mienne	</S>
a66	0.563956	0.348499	0.0326845	0.0177389	0.0192119	0.0179102
a82	0.41391	0.318298	0.144646	0.0716107	0.0353089	0.0162265
a10	0.438152	0.423055	0.0736772	0.0259953	0.0222367	0.0168832
a57	0.46801	0.433201	0.0589369	0.0160763	0.0126014	0.011174
a82	0.443681	0.468494	0.0585311	0.0125689	0.0087999	0.00792521
a3	0.447767	0.474411	0.0486418	0.0120645	0.00935	0.00776537
a82	0.45596	0.463325	0.0548107	0.0124714	0.0078371	0.00559556
a3	0.416203	0.49457	0.0608842	0.0133748	0.00879211	0.00617619
a10	0.403468	0.482416	0.0749888	0.018612	0.0123571	0.00815825
a83	0.392826	0.504218	0.0658158	0.0156929	0.0114084	0.0100393
a38	0.303706	0.4042	0.164177	0.0527786	0.037899	0.0372395
a83	0.183216	0.399687	0.191431	0.0763375	0.071763	0.0775658
a66	0.121339	0.309444	0.235069	0.122717	0.110633	0.100798
a50	0.104757	0.202502	0.271735	0.16427	0.13511	0.121626
a62	0.0515147	0.068915	0.219935	0.211702	0.219789	0.228144
a5	0.0354233	0.0262567	0.142632	0.233863	0.293073	0.268752
a94	0.0177583	0.00935552	0.0823487	0.268198	0.337522	0.284818
a70	0.0112895	0.00418297	0.0298236	0.180162	0.356131	0.418411
a94	0.00515011	0.00181651	0.0125228	0.106497	0.34343	0.530584
a37	0.00286736	0.00101694	0.00816953	0.0850464	0.308074	0.594826
a26	0.00250789	0.000693907	0.00601879	0.0592819	0.251277	0.68022
a82	0.0112601	0.00358379	0.0113929	0.0541851	0.224719	0.694859
a38	0.0863053	0.0279015	0.0394288	0.0862867	0.203823	0.556255
a82	0.0968182	0.0256077	0.0274868	0.0708319	0.184248	0.595008
</S>	0.176636	0.0701384	0.068353	0.0937286	0.17441	0.416734
