 	le	garçon	bée	d'	admiration	devant	son	père	</S>
a85	0.243666	0.0823461	0.0805401	0.0902744	0.124451	0.0818291	0.0835394	0.103301	0.110053
a87	0.233755	0.156253	0.104391	0.0914264	0.0837062	0.0657577	0.0655424	0.0885745	0.110594
a23	0.218229	0.190823	0.113584	0.0800959	0.0684656	0.0665701	0.0683047	0.0872265	0.106701
a20	0.136145	0.0925894	0.0735218	0.0622398	0.0572855	0.0910571	0.107906	0.157676	0.22158
a44	0.52397	0.166976	0.0877143	0.0515981	0.0484596	0.0296018	0.0267326	0.0305068	0.0344405
a20	0.407526	0.219656	0.131612	0.0757175	0.0639266	0.0287019	0.0234892	0.0237355	0.0256361
a73	0.296995	0.187221	0.138005	0.101445	0.0855119	0.0530385	0.0443151	0.0450237	0.0484443
a94	0.288428	0.204953	0.130084	0.100365	0.0851928	0.0568057	0.0445495	0.0434528	0.0461695
a32	0.249105	0.194771	0.147564	0.114058	0.0906982	0.0583345	0.0476326	0.0474812	0.050356
a90	0.191379	0.174943	0.153145	0.130348	0.115476	0.0693251	0.053958	0.0525625	0.0588635
a13	0.186848	0.196534	0.174518	0.134472	0.110463	0.0605046	0.0438695	0.0439244	0.0488658
a9	0.119376	0.127063	0.160676	0.160586	0.15466	0.0879151	0.0620545	0.0582615	0.0694076
a53	0.107619	0.140534	0.183222	0.170773	0.161151	0.0778054	0.0507323	0.048171	0.059991
a76	0.0815363	0.0967926	0.164756	0.167772	0.165753	0.101285	0.0699695	0.066455	0.0856799
a94	0.0541278	0.0495621	0.107417	0.137652	0.160483	0.156463	0.12355	0.0987891	0.111955
a20	0.044631	0.0436007	0.11135	0.157141	0.185369	0.168164	0.11335	0.0834882	0.0929065
a69	0.0440453	0.040052	0.0954557	0.136421	0.164848	0.165605	0.128326	0.103808	0.121439
a76	0.0313247	0.0291514	0.0860261	0.142177	0.174999	0.176451	0.132602	0.105075	0.122194
a20	0.0235698	0.0202656	0.0578618	0.117519	0.169944	0.195512	0.149551	0.120684	0.145093
a69	0.0124692	0.0119348	0.0454788	0.113874	0.182525	0.222738	0.151467	0.116526	0.142986
a94	0.0247246	0.0196655	0.0535978	0.114761	0.166472	0.214421	0.147103	0.117174	0.142081
a24	0.00941584	0.00845253	0.0309276	0.0819818	0.137281	0.233184	0.179093	0.143004	0.17666
a98	0.00740704	0.00667447	0.0233671	0.0658082	0.117562	0.237523	0.187985	0.157257	0.196415
a71	0.00972138	0.00815493	0.0270264	0.0691484	0.117161	0.22664	0.190059	0.164152	0.187937
a75	0.00668335	0.00605336	0.0188675	0.0481494	0.0776574	0.191639	0.195597	0.203528	0.251826
a12	0.00650975	0.00577668	0.0223799	0.0545231	0.0914443	0.21744	0.207155	0.182434	0.212337
a18	0.00776311	0.00726135	0.0182352	0.0412172	0.0636868	0.156778	0.201108	0.226385	0.277566
a94	0.00645656	0.00676989	0.0152185	0.0296537	0.0441226	0.128246	0.18853	0.256995	0.324008
a41	0.00731543	0.00657896	0.0150215	0.029004	0.0415584	0.125154	0.18481	0.258321	0.332236
a20	0.00356343	0.00334404	0.0104084	0.0234538	0.0375906	0.128002	0.189129	0.269601	0.334908
a73	0.00421932	0.00382168	0.0115109	0.0238796	0.0381746	0.124291	0.187131	0.269493	0.33748
a84	0.00415711	0.00365618	0.0113725	0.0236805	0.0407226	0.125352	0.182423	0.267448	0.341189
a54	0.00231965	0.00219482	0.00626111	0.0147985	0.0233873	0.088559	0.159258	0.284464	0.418758
a73	0.00229576	0.00143061	0.0028032	0.00626526	0.0111185	0.0638393	0.153815	0.316734	0.441699
a84	0.00126602	0.000659055	0.00120429	0.00336139	0.00805055	0.0565166	0.136887	0.309884	0.482171
a57	0.00186288	0.000941475	0.00141502	0.00460342	0.0109844	0.0921735	0.179162	0.322	0.386858
a87	0.00417579	0.00308261	0.00479545	0.0132427	0.0246407	0.130462	0.213724	0.298372	0.307505
</S>	0.00389963	0.00247067	0.00523542	0.0187825	0.033296	0.123872	0.180058	0.278076	0.35431
