 	j'	ai	attrapé	la	mante	religieuse	lorsque	je	revenais	de	la	pêche	</S>
a66	0.0794453	0.0685138	0.0480026	0.0485693	0.0989047	0.137723	0.178396	0.161142	0.0965918	0.0482517	0.0165553	0.0100778	0.00782659
a87	0.241348	0.182138	0.0815172	0.0551804	0.0615947	0.0505924	0.0436462	0.0679113	0.0632046	0.0779852	0.0315739	0.0260482	0.0172598
a23	0.376319	0.223821	0.110933	0.0510931	0.0402065	0.0404854	0.038091	0.0352178	0.0267937	0.0196627	0.0113883	0.0119673	0.0140208
a18	0.320213	0.241411	0.116441	0.0644543	0.0535184	0.0503456	0.0476381	0.0345903	0.0238905	0.016701	0.00989405	0.0104655	0.0104371
a62	0.262351	0.237047	0.136645	0.0702667	0.0502747	0.0420698	0.0353721	0.0290124	0.0238853	0.0264917	0.0243788	0.0305309	0.0316745
a12	0.269938	0.29437	0.173871	0.0859986	0.044749	0.0297524	0.0235018	0.01429	0.00923511	0.0139012	0.0141233	0.0140663	0.012203
a96	0.201737	0.266273	0.205238	0.105898	0.0584471	0.0383256	0.0331001	0.0218987	0.013515	0.0135643	0.0153254	0.0147384	0.0119382
a88	0.137989	0.20242	0.198452	0.126145	0.0746676	0.0520899	0.0503389	0.0366379	0.0267002	0.0234778	0.0252576	0.0247973	0.0210264
a50	0.095939	0.142786	0.173973	0.150311	0.106829	0.0701213	0.0624232	0.0489082	0.0334148	0.0261718	0.0289511	0.0313072	0.0288655
a83	0.0807574	0.115737	0.160776	0.153256	0.120272	0.0760458	0.0652477	0.0573463	0.0407406	0.0318986	0.0298623	0.0329322	0.0351286
a9	0.0645313	0.0894917	0.118782	0.130215	0.120471	0.0778016	0.0685933	0.0666034	0.0550864	0.0415883	0.0447122	0.0558287	0.0662959
a53	0.0391205	0.0508486	0.062169	0.0886442	0.109761	0.0840259	0.0815178	0.100109	0.103645	0.0719028	0.0613718	0.0679329	0.0789515
a90	0.0307995	0.0352393	0.0426154	0.0763033	0.119449	0.0967363	0.0963271	0.119037	0.115447	0.0664988	0.0551966	0.0652054	0.0811449
