 	nous	avons	les	semences	de	l'	oseille	rouge	</S>
a66	0.236324	0.165421	0.125546	0.15714	0.100446	0.0953561	0.072029	0.0310642	0.0166744
a87	0.149339	0.102534	0.0917009	0.110593	0.138791	0.167193	0.142674	0.0600986	0.0370754
a97	0.166028	0.134546	0.118422	0.308994	0.10954	0.0780028	0.0391794	0.0232749	0.022012
a3	0.141792	0.140089	0.146006	0.382047	0.105777	0.051085	0.0138769	0.00938439	0.00994402
a99	0.15192	0.145604	0.143716	0.361734	0.107651	0.0567912	0.014364	0.00956118	0.00865906
a50	0.267755	0.221726	0.145207	0.264448	0.0509056	0.0246092	0.00925424	0.00823707	0.00785856
a0	0.263539	0.22343	0.161564	0.267456	0.0406075	0.0184059	0.0101408	0.00746746	0.00738764
a24	0.241811	0.218992	0.170727	0.186011	0.0786368	0.0436536	0.0230814	0.0166142	0.0204731
a62	0.180036	0.202081	0.202296	0.16642	0.103131	0.0639169	0.0345458	0.0213929	0.0261799
a88	0.15167	0.188006	0.207199	0.167844	0.120421	0.0801253	0.0406773	0.0207924	0.0232661
a62	0.117105	0.171459	0.214645	0.169847	0.117547	0.0820064	0.0584538	0.0308451	0.0380908
a75	0.124014	0.165207	0.213792	0.174493	0.120712	0.0851211	0.0559431	0.0280393	0.0326791
a92	0.0832672	0.143306	0.220065	0.214706	0.1358	0.0841882	0.0509477	0.0313594	0.0363604
a37	0.0807217	0.12277	0.198734	0.160237	0.145075	0.119748	0.0704644	0.0477912	0.0544584
a93	0.0470392	0.0778102	0.165839	0.165481	0.1478	0.127516	0.0918931	0.0766535	0.099968
a34	0.0456116	0.065936	0.130879	0.141987	0.1463	0.152218	0.127216	0.0880322	0.101821
a21	0.0268848	0.0313863	0.0679966	0.0946747	0.116128	0.189457	0.199909	0.134447	0.139117
a47	0.0184988	0.0205121	0.0400388	0.0617678	0.0836705	0.156507	0.216877	0.185049	0.217079
a96	0.0137223	0.0170117	0.0381961	0.0567603	0.071752	0.104001	0.147324	0.222295	0.328937
a93	0.00718034	0.00863556	0.0207034	0.04028	0.0500044	0.0852535	0.146873	0.257854	0.383215
a96	0.0018616	0.00235321	0.00609997	0.0125664	0.0195743	0.045067	0.119482	0.299054	0.493942
a37	0.00124938	0.00144755	0.00324283	0.00763081	0.0101214	0.0222298	0.0842841	0.275427	0.594367
a7	0.00121208	0.00135367	0.00274327	0.00472891	0.00623824	0.0131846	0.0541564	0.238445	0.677938
a26	0.00169784	0.00169908	0.00300319	0.0031274	0.00482177	0.00877825	0.0377364	0.209559	0.729577
a82	0.0169261	0.0123137	0.0117128	0.00920324	0.0138529	0.0199873	0.0569416	0.21875	0.640313
a3	0.104435	0.0541079	0.035218	0.0426017	0.0446686	0.0727845	0.114328	0.208598	0.323258
a97	0.115224	0.074989	0.0539311	0.0559487	0.0562488	0.101488	0.155934	0.187638	0.198598
a3	0.0958679	0.0649304	0.0570994	0.0750189	0.0759146	0.120819	0.165412	0.169338	0.175601
a97	0.105436	0.0724262	0.0669133	0.111712	0.0845361	0.102825	0.11849	0.144919	0.192742
a3	0.0961866	0.0678665	0.068149	0.106468	0.0865587	0.106578	0.122539	0.149331	0.196323
a97	0.106942	0.0831809	0.0864369	0.11089	0.0919798	0.0964654	0.100708	0.126839	0.196558
a3	0.103891	0.0775149	0.0743473	0.0936911	0.0861387	0.100846	0.102681	0.141623	0.219267
a97	0.132456	0.103253	0.091482	0.0973193	0.0790357	0.0823965	0.0877897	0.119031	0.207236
</S>	0.129675	0.101955	0.0892176	0.107883	0.0866713	0.0920596	0.0851985	0.117178	0.190161
