 	je	vais	te	donner	un	autre	couteau	</S>
a66	0.464303	0.280016	0.13333	0.048445	0.022754	0.0155774	0.0151065	0.0204688
a87	0.364704	0.288303	0.155082	0.0659369	0.0521163	0.0295116	0.0200201	0.0243273
a23	0.441139	0.343398	0.1314	0.0393112	0.0180649	0.01055	0.00696197	0.00917524
a99	0.41291	0.327377	0.130527	0.0590573	0.0245844	0.0140973	0.0120982	0.0193481
a40	0.33197	0.283048	0.132324	0.0923577	0.045255	0.0365122	0.0325398	0.0459937
a36	0.352385	0.312859	0.147381	0.103659	0.0440718	0.0195889	0.0103051	0.00975074
a18	0.14307	0.222547	0.22297	0.253814	0.0963591	0.0342613	0.0150668	0.0119131
a25	0.082555	0.118442	0.17836	0.297711	0.194468	0.0703436	0.0319893	0.0261316
a75	0.096718	0.110963	0.161192	0.210257	0.177139	0.112826	0.0681775	0.0627284
a12	0.0474108	0.0545362	0.120199	0.210708	0.268368	0.150754	0.0822333	0.0657906
a96	0.0161462	0.0137852	0.0226785	0.0453201	0.122886	0.228355	0.251496	0.299333
a88	0.0148284	0.00999283	0.0142822	0.0294792	0.0854983	0.192185	0.273627	0.380107
a38	0.00703865	0.00393923	0.00496096	0.00764737	0.0255977	0.110542	0.326044	0.51423
a98	0.00623601	0.00360067	0.0043149	0.00704598	0.0219149	0.0923665	0.232914	0.631607
a47	0.00264245	0.00154406	0.00217987	0.00458727	0.0151906	0.0807712	0.224634	0.668451
a85	0.00087058	0.000541822	0.000864252	0.00188453	0.00688306	0.0528571	0.228156	0.707943
a6	0.00139892	0.000791591	0.00123743	0.00276172	0.0113893	0.0804415	0.295801	0.606178
a43	0.000870723	0.000473818	0.000824003	0.00193963	0.00753826	0.0587668	0.23599	0.693596
a0	0.0017544	0.00113758	0.00213834	0.00435196	0.0147091	0.0846803	0.264678	0.626551
a9	0.00220317	0.00162237	0.00275894	0.00475875	0.0118457	0.0522697	0.213295	0.711246
a10	0.131681	0.070531	0.0650895	0.0598603	0.0648881	0.101373	0.160709	0.345868
a87	0.420248	0.171942	0.0822986	0.0497558	0.0424077	0.0561461	0.0718198	0.105382
a23	0.435546	0.22973	0.099052	0.0495419	0.036941	0.0405398	0.0475216	0.0611284
a87	0.249762	0.122287	0.0611772	0.0305386	0.0371411	0.067534	0.155183	0.276376
</S>	0.0196863	0.00944302	0.00927442	0.0136097	0.0225235	0.0604136	0.264738	0.600311
