 	il	ouvre	la	bouche	</S>
a23	0.51	0.238592	0.0933311	0.0655957	0.0924808
a44	0.458725	0.224142	0.126487	0.0824819	0.108163
a83	0.509925	0.299881	0.107132	0.038144	0.0449176
a54	0.429728	0.373788	0.132556	0.0355964	0.028332
a92	0.318639	0.331528	0.19222	0.0755547	0.0820596
a37	0.255368	0.263992	0.215447	0.137336	0.127857
a92	0.144693	0.158959	0.199047	0.261556	0.235745
a56	0.09605	0.116623	0.17551	0.30575	0.306067
a94	0.0862046	0.0929961	0.158672	0.306574	0.355554
a58	0.0440639	0.0467902	0.0963519	0.323522	0.489272
a27	0.0275352	0.0256808	0.0541116	0.23192	0.660753
a10	0.0342694	0.0255694	0.0598578	0.176333	0.70397
</S>	0.156235	0.109577	0.123562	0.233545	0.377081
