 	elle	broie	le	maïs	dans	le	mortier	</S>
a23	0.234621	0.253885	0.209446	0.116973	0.0598774	0.0396699	0.0365917	0.0489361
a54	0.287151	0.144878	0.0997369	0.116031	0.102553	0.0845747	0.0790876	0.0859874
a85	0.359692	0.250564	0.153298	0.0852775	0.0502861	0.0378878	0.0322206	0.0307745
a36	0.310023	0.322162	0.227864	0.0707167	0.0328376	0.014532	0.0113703	0.010494
a2	0.240239	0.198395	0.24271	0.115948	0.0683203	0.0436455	0.0408384	0.049904
a61	0.234648	0.136273	0.149389	0.118465	0.0950754	0.0802172	0.0878202	0.0981122
a66	0.174662	0.0912913	0.151094	0.13383	0.125698	0.104217	0.10998	0.109228
a9	0.1241	0.0584395	0.0745493	0.11111	0.130454	0.150494	0.172054	0.1788
a75	0.104758	0.040986	0.0307981	0.0664413	0.0884905	0.151411	0.205519	0.311596
a85	0.108974	0.0380053	0.0442995	0.064854	0.0872444	0.153664	0.206796	0.296163
a0	0.0381307	0.0213594	0.0193764	0.0543542	0.095016	0.182669	0.224388	0.364706
a75	0.0367488	0.0221955	0.0186487	0.0395502	0.0660885	0.121821	0.178748	0.5162
a85	0.0326125	0.014321	0.01235	0.0258435	0.0506402	0.131764	0.191491	0.540977
a61	0.019198	0.0136522	0.0110005	0.0368375	0.078871	0.172812	0.209544	0.458085
a83	0.0168376	0.0119109	0.0109472	0.023747	0.0474603	0.129004	0.210057	0.550036
a9	0.0144318	0.0124335	0.0131733	0.0312795	0.0515228	0.118109	0.232975	0.526075
a87	0.055558	0.0389522	0.0395735	0.0554347	0.0617784	0.10406	0.18317	0.461473
a23	0.244428	0.154232	0.112067	0.101521	0.0932891	0.0844421	0.0885149	0.121506
a87	0.0718509	0.065997	0.0534565	0.102013	0.106076	0.151175	0.156502	0.292928
</S>	0.0316223	0.0310316	0.0283531	0.0924904	0.0983149	0.165247	0.200323	0.352618
