 	on	ne	peut	parler	sérieusement	il	blague	toujours	</S>
a23	0.398836	0.212132	0.110707	0.0953322	0.0609482	0.0460984	0.0320486	0.0201871	0.0237109
a87	0.332021	0.273009	0.169166	0.099594	0.0491552	0.0277514	0.016633	0.0135418	0.0191277
a23	0.187724	0.200616	0.171418	0.13982	0.0946355	0.0539305	0.0437014	0.045592	0.0625623
a18	0.259576	0.270988	0.161413	0.0991736	0.0534089	0.0378024	0.0285324	0.0320148	0.0570915
a94	0.326664	0.296293	0.193417	0.10579	0.0462416	0.0127917	0.00634644	0.00503312	0.00742328
a83	0.360892	0.309193	0.155267	0.10098	0.0498872	0.0115674	0.00474864	0.00336348	0.00410101
a9	0.244686	0.240413	0.192268	0.15412	0.0981411	0.0286829	0.0155607	0.011685	0.0144445
a38	0.170808	0.18239	0.194132	0.181249	0.145246	0.0506106	0.0301326	0.0216644	0.0237672
a20	0.169176	0.186106	0.203605	0.177062	0.142686	0.0545963	0.0283285	0.0189384	0.0195014
a69	0.156681	0.182134	0.200282	0.173408	0.12451	0.0695633	0.0446062	0.0270629	0.0217534
a75	0.156324	0.177353	0.1967	0.17847	0.134309	0.0706944	0.0418065	0.0248134	0.0195287
a41	0.131122	0.167273	0.204652	0.159784	0.10313	0.0727732	0.0623335	0.0552967	0.0436358
a94	0.0846485	0.111746	0.183396	0.173049	0.128595	0.0981294	0.0834419	0.0739353	0.0630591
a76	0.0713467	0.0877652	0.173522	0.181979	0.169616	0.114809	0.078375	0.0627997	0.0597873
a94	0.0795794	0.0892915	0.15211	0.166182	0.156005	0.114297	0.0888693	0.0804929	0.0731726
a76	0.0620574	0.0654929	0.105153	0.106638	0.146747	0.155439	0.122759	0.116225	0.119488
a20	0.0720758	0.0640327	0.0804873	0.0825683	0.110052	0.135583	0.12981	0.164537	0.160855
a84	0.0625709	0.0552354	0.0577006	0.0546938	0.0819495	0.13579	0.152326	0.197714	0.202021
a20	0.019846	0.0198199	0.0290873	0.0248939	0.0806425	0.197058	0.225905	0.204742	0.198006
a76	0.0262534	0.021702	0.022858	0.0173157	0.0392123	0.100133	0.181945	0.271471	0.319109
a94	0.0264427	0.021131	0.02201	0.0186194	0.0421226	0.0993459	0.168362	0.270186	0.33178
a38	0.0171275	0.0144297	0.0184328	0.0159895	0.0366665	0.113319	0.205236	0.274524	0.304275
a76	0.0219448	0.0162634	0.0184989	0.0149992	0.0369901	0.101785	0.197651	0.274012	0.317855
a73	0.0348207	0.0254346	0.0250532	0.0186848	0.0301641	0.0806796	0.158892	0.275788	0.350483
a94	0.0132564	0.0105849	0.0117274	0.00944431	0.0177098	0.0707013	0.165405	0.290454	0.410717
a98	0.0124021	0.00811878	0.00902453	0.00627903	0.0150093	0.0540645	0.160059	0.323361	0.411682
a41	0.0266756	0.0197888	0.0202378	0.0157139	0.0261963	0.0810094	0.179945	0.273684	0.35675
a26	0.0172709	0.0119286	0.0119489	0.00921764	0.0180947	0.0657325	0.188345	0.302103	0.375359
