 	j'	ai	l'	intention	d'	épouser	cette	fille	</S>
a66	0.295871	0.29405	0.235331	0.0871806	0.0279495	0.0197684	0.0154872	0.0126071	0.0117546
a87	0.43904	0.27529	0.204168	0.0373563	0.0146765	0.0113136	0.00701677	0.00528645	0.00585197
a23	0.309813	0.327646	0.214924	0.0778026	0.0330779	0.0124987	0.00851186	0.00722809	0.00849871
a38	0.198096	0.226312	0.154181	0.0543846	0.0782995	0.0678885	0.0716402	0.0673984	0.0817997
a5	0.207184	0.222125	0.0948116	0.0393327	0.0559679	0.0662444	0.068455	0.0950033	0.150877
a61	0.302257	0.270916	0.229618	0.117466	0.0420277	0.0164747	0.00873627	0.00542988	0.007075
a0	0.194637	0.178455	0.214178	0.204431	0.136253	0.0414947	0.0128248	0.00687525	0.0108521
a90	0.0836214	0.0802948	0.136427	0.227005	0.290638	0.0801717	0.0425772	0.0260164	0.0332488
a44	0.0382122	0.0437659	0.140779	0.314254	0.239184	0.110604	0.0628655	0.025728	0.0246075
a54	0.0268252	0.0316199	0.0772324	0.169933	0.205521	0.141455	0.173809	0.087971	0.085634
a37	0.0088566	0.0101519	0.0257636	0.0749203	0.113678	0.200107	0.281194	0.15415	0.131179
a92	0.0112533	0.00957767	0.0135579	0.0236482	0.0486974	0.141619	0.269394	0.235469	0.246784
a37	0.00189739	0.00201308	0.00346776	0.00710946	0.0202809	0.162333	0.262808	0.29373	0.246361
a79	0.00176898	0.00144479	0.00179423	0.00308718	0.00910345	0.0896715	0.150448	0.286366	0.456315
a44	0.000302411	0.000246857	0.000373391	0.00134207	0.00609691	0.0619395	0.132961	0.341153	0.455585
a94	0.000291017	0.000181743	0.000290252	0.000993429	0.0038399	0.0430838	0.0921697	0.280693	0.578457
a70	0.000399002	0.000202977	0.000378662	0.00137026	0.00432375	0.0348601	0.0897703	0.261989	0.606706
a13	0.00042377	0.000241279	0.000676547	0.00194991	0.00476159	0.0288587	0.0911102	0.269406	0.602572
a3	0.00114701	0.000646745	0.00166507	0.00434788	0.0123709	0.0495585	0.147506	0.328691	0.454066
a87	0.266604	0.184769	0.0814519	0.0382195	0.0393318	0.0742534	0.0874349	0.118419	0.109517
a23	0.382143	0.260724	0.157324	0.0589287	0.0268948	0.0309728	0.0272453	0.0297248	0.026042
a87	0.143046	0.0704665	0.0601317	0.0285704	0.0256553	0.0661254	0.0814051	0.159376	0.365224
</S>	0.0171441	0.0097745	0.00913081	0.00505837	0.00638261	0.0457597	0.0909145	0.266645	0.54919
