 	il	s'	est	levé	et	j'	en	ai	fait	autant	</S>
a23	0.294748	0.139343	0.0934148	0.109512	0.106657	0.09154	0.0636907	0.041107	0.0208487	0.013283	0.025856
a79	0.132452	0.0847353	0.0775234	0.106351	0.110089	0.13443	0.11978	0.0842773	0.0544655	0.0396494	0.0562466
a15	0.17552	0.118353	0.106001	0.161165	0.141943	0.121203	0.0688808	0.0343868	0.0189268	0.0172196	0.0364018
a41	0.266321	0.231878	0.159165	0.140069	0.0762165	0.0616953	0.0334021	0.0159768	0.00601869	0.00465865	0.00459877
a90	0.22484	0.206357	0.166264	0.140888	0.0819428	0.079696	0.0498973	0.0262916	0.0100825	0.00807456	0.0056666
a41	0.150264	0.15185	0.142213	0.117148	0.0774144	0.0950917	0.0914394	0.068772	0.0412033	0.0334122	0.0311916
a94	0.126632	0.128341	0.150609	0.142599	0.0914168	0.104995	0.0903548	0.0642892	0.0356544	0.0393934	0.0257151
a24	0.0946303	0.0950637	0.122763	0.120562	0.0826423	0.109597	0.116077	0.0944234	0.0623872	0.0537499	0.0481044
a94	0.0767708	0.0767595	0.110142	0.120221	0.0965863	0.131667	0.137577	0.104912	0.0576963	0.0456631	0.0420042
a25	0.0627959	0.0663957	0.0965787	0.110757	0.102024	0.144464	0.149325	0.11101	0.0610447	0.046983	0.0486236
a87	0.0325344	0.0397942	0.0605808	0.0820648	0.109054	0.16317	0.172292	0.128923	0.0763748	0.0587997	0.0764135
a23	0.0503136	0.0533643	0.0616677	0.0782638	0.107048	0.134528	0.122078	0.085157	0.0640103	0.0903721	0.153197
a13	0.0369813	0.0433793	0.063522	0.0869218	0.105858	0.12378	0.117087	0.089283	0.0657749	0.0942291	0.173183
a20	0.0775583	0.0988861	0.106827	0.117811	0.0935997	0.109566	0.116323	0.090769	0.0542847	0.0514499	0.0829251
a73	0.0876664	0.0969533	0.112322	0.134136	0.110103	0.13335	0.117679	0.0785074	0.0397871	0.0370759	0.0524199
a94	0.0918363	0.0960559	0.116618	0.136922	0.108096	0.125285	0.112863	0.0818724	0.0439641	0.0367063	0.0497802
a98	0.0559256	0.0631136	0.0866719	0.113884	0.113388	0.137046	0.13087	0.103359	0.063228	0.0545266	0.0779863
a9	0.0325575	0.0393365	0.0611365	0.0891919	0.103817	0.125975	0.120679	0.106826	0.0854085	0.0869956	0.148076
a10	0.0138635	0.0195534	0.0316689	0.0554679	0.0943118	0.129094	0.132263	0.117619	0.0940355	0.0913859	0.220737
a11	0.00892931	0.0121571	0.0198008	0.0376082	0.0776788	0.100293	0.108626	0.106962	0.10475	0.121789	0.301405
a12	0.00850508	0.010385	0.0165356	0.0325766	0.073079	0.0917335	0.0983042	0.0995931	0.0993185	0.112309	0.35766
a94	0.0135204	0.0150046	0.0223942	0.034246	0.0489567	0.0663332	0.0699553	0.0772101	0.0886156	0.134135	0.429629
a53	0.0146772	0.0150548	0.0214244	0.0345193	0.0515457	0.080317	0.0780078	0.0817282	0.0912535	0.120549	0.410924
a15	0.0172143	0.0201878	0.0285464	0.0485096	0.0695864	0.0972208	0.0915038	0.0899375	0.0978491	0.125419	0.314025
a73	0.0135915	0.0132986	0.0205631	0.0398203	0.0581892	0.0713392	0.0559194	0.0515037	0.0675039	0.119927	0.488344
a69	0.00866944	0.0102721	0.0182214	0.0386532	0.0695845	0.0776553	0.0530713	0.0469539	0.0649192	0.127855	0.484145
a58	0.00799025	0.00859402	0.0157151	0.0343057	0.0602405	0.0671005	0.0433631	0.0366224	0.0573241	0.11741	0.551334
a53	0.00854138	0.0083513	0.0141759	0.0283612	0.0475806	0.0550273	0.0364013	0.0323137	0.0506988	0.113584	0.604964
a4	0.00912013	0.00850685	0.0136206	0.026092	0.039061	0.0515686	0.0363674	0.0316865	0.0481446	0.11497	0.620862
a57	0.00580636	0.00544294	0.00912084	0.0169043	0.0268875	0.0384729	0.0272509	0.023082	0.0362394	0.0936147	0.717178
a3	0.0101934	0.00919259	0.0152256	0.0239711	0.0325567	0.0377633	0.0233121	0.0210522	0.0369329	0.0959475	0.693853
a87	0.00558311	0.00480435	0.00713052	0.010512	0.0154269	0.0134687	0.00805319	0.00917933	0.0290133	0.105848	0.790981
</S>	0.0435866	0.033696	0.0360597	0.0447942	0.0478059	0.0383254	0.0168343	0.0157721	0.0371931	0.134676	0.551257
