 	il	est	encore	en	train	de	manger	</S>
a66	0.275136	0.198569	0.126818	0.128706	0.0869974	0.0700252	0.0626603	0.0510889
a87	0.134927	0.101551	0.0827183	0.102455	0.0967081	0.13157	0.174894	0.175175
a97	0.309121	0.198261	0.0934337	0.0784062	0.0632732	0.0750832	0.0886445	0.0937772
a79	0.292273	0.199362	0.0939023	0.0859551	0.0779319	0.0876426	0.0853468	0.0775864
a15	0.290611	0.171643	0.0741838	0.0766153	0.0670636	0.0870429	0.112195	0.120645
a0	0.2066	0.162592	0.123155	0.110773	0.091703	0.0905063	0.100394	0.114275
a75	0.262496	0.214788	0.131914	0.0902574	0.0735019	0.0705162	0.0739779	0.0825484
a85	0.206225	0.207179	0.180741	0.11746	0.0908267	0.0694646	0.0637285	0.0643746
a98	0.199136	0.223363	0.222364	0.116892	0.0755698	0.0524666	0.0491296	0.0610795
a85	0.160537	0.188893	0.232772	0.149047	0.101446	0.0650452	0.0502853	0.0519741
a47	0.110346	0.130099	0.179882	0.143133	0.125387	0.102078	0.0953711	0.113703
a36	0.0643154	0.0669073	0.107157	0.102911	0.112023	0.12516	0.166663	0.254863
a75	0.0596613	0.0522738	0.0932856	0.0954686	0.107546	0.129287	0.182634	0.279844
a85	0.0325098	0.0314468	0.0677454	0.0937707	0.135277	0.158767	0.198738	0.281746
a47	0.00973799	0.00853901	0.020457	0.0342657	0.0790014	0.1486	0.264813	0.434585
a36	0.00250792	0.0019626	0.00577234	0.0134369	0.0506409	0.128798	0.283263	0.513618
a2	0.00468174	0.00302735	0.00608865	0.00980369	0.0283886	0.0802387	0.248624	0.619148
a57	0.00688767	0.00417578	0.00797075	0.0119452	0.0295756	0.0770191	0.246721	0.615705
a87	0.0526718	0.0288996	0.0297367	0.0428202	0.0627495	0.120114	0.242752	0.420256
a97	0.15919	0.0895176	0.0794875	0.0888263	0.0902877	0.111545	0.158073	0.223072
a87	0.127816	0.079207	0.0644496	0.0724369	0.0891702	0.127775	0.197001	0.242144
a97	0.0670128	0.0411721	0.0381205	0.0470547	0.0791192	0.150571	0.256926	0.320024
</S>	0.0676543	0.0457054	0.0406577	0.0510006	0.0822071	0.149333	0.252928	0.310514
