 	quand	une	fille	est	agitée	c'	est	triste	pour	sa	mère	</S>
a66	0.327547	0.286157	0.147384	0.102047	0.054969	0.0252857	0.0212915	0.0150416	0.00762578	0.0048767	0.00383484	0.00393924
a87	0.4105	0.214421	0.0930751	0.0610891	0.0411129	0.0323769	0.0417987	0.0407703	0.0232433	0.013524	0.0137364	0.0143525
a23	0.222622	0.214347	0.193279	0.151123	0.0974209	0.0379679	0.0305097	0.019204	0.00975191	0.00718873	0.0078103	0.00877579
a54	0.177898	0.193287	0.159477	0.141226	0.105085	0.044599	0.0472261	0.0341438	0.0244221	0.020124	0.0230267	0.0294864
a92	0.104421	0.115225	0.142158	0.184221	0.143277	0.0767798	0.0638538	0.0406021	0.0326026	0.0306289	0.031068	0.0351633
a56	0.133884	0.18043	0.152203	0.159327	0.153095	0.071483	0.0440063	0.0287576	0.0188723	0.0166137	0.0186744	0.0226544
a34	0.14184	0.201676	0.233479	0.213043	0.142908	0.0226941	0.0106447	0.00797009	0.00527678	0.00478694	0.00638241	0.00929911
a93	0.137055	0.17475	0.210142	0.209149	0.187675	0.034067	0.0143506	0.0091837	0.00559017	0.00469374	0.00544877	0.00789513
a98	0.110673	0.148681	0.180618	0.194733	0.205743	0.0676498	0.0301784	0.0201212	0.0119064	0.00906475	0.00919588	0.0114351
a85	0.064871	0.0985128	0.121733	0.137277	0.164337	0.107594	0.0800701	0.0574048	0.0399333	0.0332135	0.0385543	0.056499
a6	0.0567368	0.0728214	0.0969787	0.118592	0.148622	0.105196	0.095834	0.0628253	0.0463029	0.0434527	0.0579573	0.094681
a12	0.065893	0.0977642	0.116212	0.138414	0.149502	0.0862471	0.0779109	0.0563545	0.0448565	0.0410153	0.0505741	0.0752558
a96	0.0440152	0.0674261	0.10628	0.142352	0.169335	0.137259	0.119721	0.0657993	0.0399335	0.032168	0.0346445	0.0410667
a70	0.0182503	0.0353206	0.0931536	0.142572	0.191175	0.161376	0.147532	0.0742889	0.0407221	0.0296359	0.0304346	0.0355384
a93	0.0139035	0.0253404	0.090524	0.149439	0.195383	0.169527	0.144208	0.0713806	0.0381217	0.0283923	0.032984	0.0407963
a75	0.0140769	0.0239297	0.0934295	0.159658	0.203596	0.176432	0.144207	0.0707648	0.0340822	0.0231836	0.0253934	0.0312479
a92	0.00431996	0.00676944	0.0253363	0.0580106	0.0960131	0.118595	0.168839	0.132186	0.109407	0.0959121	0.0880672	0.0965442
a37	0.00437648	0.00706322	0.0301768	0.0715074	0.111438	0.126201	0.1601	0.125768	0.103702	0.0917062	0.0820166	0.0859454
a34	0.00524919	0.00824716	0.0347167	0.0830248	0.120769	0.152282	0.166128	0.111556	0.0822586	0.0686216	0.077086	0.0900615
a93	0.00575421	0.00684789	0.0223572	0.0548062	0.0803701	0.137202	0.171117	0.121397	0.107931	0.0916195	0.0978354	0.102763
a56	0.00431549	0.00540449	0.0178363	0.0404805	0.0597289	0.120476	0.146686	0.107514	0.122741	0.118561	0.132262	0.123994
a98	0.00312602	0.00319919	0.0101448	0.0247361	0.038785	0.0900081	0.140004	0.115597	0.132747	0.130566	0.155938	0.155149
a47	0.00141901	0.00197037	0.00760664	0.0220634	0.0393987	0.0663613	0.117602	0.113475	0.12879	0.14024	0.168832	0.192241
a36	0.00285544	0.00407878	0.0148587	0.0423281	0.0569288	0.0844567	0.118437	0.079807	0.106614	0.140003	0.171947	0.177687
a2	0.00401003	0.00697515	0.0199454	0.0395268	0.0445955	0.0735069	0.0834712	0.0528144	0.0842653	0.135791	0.222489	0.232609
a62	0.0191612	0.0248947	0.0489071	0.0700332	0.0669425	0.0742527	0.0943588	0.0509675	0.0703063	0.0997067	0.179967	0.200503
a21	0.00976321	0.0129572	0.024699	0.0395236	0.0427884	0.0591617	0.0781065	0.0493088	0.0946422	0.141234	0.229218	0.218597
a12	0.00276237	0.00250475	0.00545491	0.00939018	0.0112966	0.0221621	0.0431203	0.0416589	0.0853976	0.139522	0.307109	0.329622
a21	0.00234849	0.00254096	0.00600132	0.00982059	0.0110587	0.0202266	0.0340088	0.0304564	0.0664735	0.121642	0.338365	0.357057
a12	0.00135746	0.00124233	0.00255303	0.00459961	0.00663552	0.0139097	0.0288505	0.0299448	0.0699945	0.130183	0.338791	0.371939
a96	0.00128206	0.00144042	0.00307411	0.00539122	0.00722195	0.0141859	0.0268697	0.0236695	0.0531025	0.105192	0.343185	0.415386
a75	0.00106574	0.00175691	0.00569792	0.00885141	0.00937284	0.0170627	0.0227262	0.0179772	0.0444905	0.0993858	0.350858	0.420755
a6	0.0004742	0.000660515	0.00235811	0.00461901	0.00719604	0.0174826	0.0320468	0.0281805	0.0566411	0.110428	0.32832	0.411593
a37	0.000214682	0.000362067	0.00184547	0.00406735	0.00686475	0.0180826	0.0311114	0.0228908	0.0495139	0.105297	0.347926	0.411824
a44	0.000839776	0.00131851	0.00442399	0.00822645	0.0114534	0.0193362	0.0262684	0.0174442	0.0492503	0.114578	0.348	0.398861
a90	0.000738509	0.00105663	0.00377802	0.00725893	0.0112562	0.0217332	0.0296798	0.0193836	0.0476398	0.111824	0.343442	0.40221
a25	0.000510988	0.000704021	0.00260012	0.00483629	0.00676838	0.0136694	0.0208261	0.0146028	0.0372186	0.0952578	0.351294	0.451712
a69	0.000345462	0.000402515	0.00136523	0.00277729	0.00437494	0.00827379	0.0134487	0.00914249	0.0263819	0.0839079	0.366343	0.483237
a58	0.00138528	0.00153035	0.00466942	0.00870601	0.0141936	0.0208148	0.0252044	0.0155158	0.037579	0.101618	0.344307	0.424476
a84	0.0133665	0.00921516	0.0108737	0.0158771	0.0174148	0.0194801	0.0307306	0.028149	0.0777275	0.168214	0.305349	0.303603
a87	0.0369337	0.0336556	0.0371959	0.0499767	0.050909	0.0450585	0.0407487	0.0402495	0.0875553	0.156702	0.217044	0.203971
a23	0.126611	0.0872561	0.0663553	0.0760671	0.04899	0.0437157	0.0439782	0.0709074	0.0862366	0.106248	0.124676	0.118958
a87	0.0180218	0.0125944	0.0118207	0.0141035	0.0161338	0.0494655	0.0598563	0.101718	0.144982	0.182893	0.23016	0.158252
</S>	0.0107253	0.00742944	0.00803064	0.00880115	0.00785268	0.0220284	0.0288987	0.0449178	0.0847875	0.14744	0.293784	0.335304
