 	pourquoi	laisses-tu	moisir	le	manioc	</S>
a23	0.6869	0.144329	0.05359	0.0467245	0.0379979	0.0304585
a87	0.309091	0.220165	0.138748	0.0637899	0.101683	0.166523
a23	0.215794	0.21926	0.18214	0.0709885	0.110842	0.200975
a87	0.388056	0.225663	0.116093	0.0732986	0.088032	0.108858
a23	0.22959	0.215513	0.158853	0.0983353	0.13127	0.16644
a87	0.26022	0.195664	0.124778	0.109158	0.138026	0.172153
a23	0.20401	0.195632	0.149008	0.11024	0.159736	0.181373
a24	0.318354	0.20672	0.11074	0.101419	0.120099	0.142668
a41	0.43387	0.442312	0.0874262	0.0191223	0.00951193	0.00775719
a61	0.287622	0.458505	0.177838	0.0397719	0.0200353	0.016228
a18	0.236242	0.473868	0.184299	0.0591827	0.0262621	0.0201468
a75	0.161032	0.386622	0.258787	0.0983769	0.0523293	0.0428524
a61	0.193233	0.340979	0.22096	0.113397	0.0737881	0.0576429
a75	0.108135	0.254034	0.253908	0.185338	0.109769	0.0888165
a98	0.123626	0.164899	0.228751	0.18826	0.155399	0.139064
a76	0.0907761	0.111283	0.235844	0.221927	0.176837	0.163333
a90	0.0633301	0.0907804	0.258712	0.247366	0.182614	0.157197
a66	0.0558801	0.0710428	0.220426	0.307099	0.189305	0.156247
a90	0.0322048	0.0360242	0.129395	0.325441	0.257839	0.219096
a56	0.04234	0.049247	0.166704	0.275672	0.237503	0.228534
a96	0.0524685	0.0538883	0.105532	0.240844	0.2842	0.263068
a61	0.0162768	0.0177285	0.0472031	0.194192	0.343852	0.380748
a0	0.0117327	0.0128823	0.0332526	0.14996	0.345231	0.446941
a31	0.00756401	0.00816305	0.0200428	0.10242	0.317801	0.544009
a24	0.0042509	0.00400822	0.0108018	0.0651592	0.260881	0.654899
a9	0.00161787	0.00174887	0.00821677	0.0536883	0.240201	0.694527
a40	0.0036034	0.00310589	0.011247	0.0456696	0.237103	0.699272
a90	0.000350353	0.00042972	0.00244147	0.0287211	0.21852	0.749538
a76	0.000718067	0.000815588	0.00329271	0.0269613	0.177435	0.790778
a69	0.000434472	0.000514175	0.00233132	0.0229437	0.18784	0.785937
a58	0.00051633	0.000396474	0.00117464	0.017663	0.17753	0.802719
a84	0.000359792	0.000272868	0.00157675	0.0246297	0.184204	0.788957
a87	0.00936277	0.00563399	0.0141534	0.0566389	0.246778	0.667432
a23	0.126631	0.0464768	0.0283382	0.0720851	0.241771	0.484697
a87	0.046516	0.0311561	0.024516	0.0970262	0.301105	0.49968
</S>	0.00824377	0.00636649	0.00783414	0.0642841	0.322584	0.590688
