 	le	cor	harmonise	le	rythme	de	la	danse	</S>
a84	0.251967	0.194277	0.121324	0.109129	0.0955563	0.0851045	0.064783	0.0457431	0.032116
a87	0.493129	0.253107	0.0766899	0.062636	0.0461816	0.0282135	0.0181679	0.0123243	0.00955103
a23	0.45204	0.30129	0.129788	0.0605791	0.0188149	0.013014	0.00879117	0.0077664	0.00791699
a62	0.377316	0.336211	0.171151	0.0654795	0.0182363	0.00931965	0.00628381	0.00728969	0.0087136
a88	0.370646	0.390371	0.148273	0.0499492	0.0156329	0.0088269	0.0061557	0.0047725	0.00537336
a94	0.241113	0.401887	0.207445	0.0762387	0.0259766	0.0168213	0.012108	0.00928268	0.00912762
a93	0.303286	0.357188	0.182503	0.0869109	0.0238739	0.0160685	0.011739	0.00966826	0.00876277
a56	0.285243	0.308063	0.160198	0.107793	0.0364131	0.0318351	0.0264885	0.0230353	0.0209309
a98	0.30405	0.2867	0.156397	0.109997	0.0344802	0.0310117	0.027802	0.026746	0.0228159
a21	0.132422	0.13798	0.12023	0.182047	0.0996248	0.0932193	0.0831022	0.0844641	0.0669108
a5	0.113776	0.144528	0.174243	0.193275	0.111336	0.0861761	0.065067	0.062337	0.0492614
a25	0.0646103	0.0986063	0.162229	0.207909	0.135717	0.103254	0.0797112	0.0787515	0.0692115
a92	0.0161591	0.0279461	0.0579633	0.130611	0.142445	0.134431	0.127506	0.17417	0.188769
a6	0.00566606	0.0099085	0.0282483	0.10143	0.158424	0.164421	0.162978	0.187344	0.18158
a25	0.0028728	0.0038259	0.0105931	0.0556022	0.110036	0.138442	0.167115	0.23653	0.274983
a79	0.00193238	0.00178762	0.00340699	0.0160732	0.0378655	0.0668895	0.108035	0.255827	0.508183
a98	0.00127523	0.00131495	0.00393953	0.0210919	0.0493606	0.0704079	0.110445	0.242846	0.499319
a79	0.000497692	0.000377927	0.00100785	0.00528774	0.0174457	0.0372989	0.0826155	0.242482	0.612987
a36	0.000445257	0.000268597	0.000594973	0.00332244	0.01528	0.0354384	0.0783229	0.232736	0.633591
a26	0.00222148	0.000787535	0.00112677	0.00418235	0.0176426	0.0420599	0.0906045	0.229581	0.611794
a57	0.152753	0.031834	0.020845	0.0553629	0.0633736	0.0923633	0.10929	0.18645	0.287728
a87	0.295428	0.104116	0.0603283	0.0880797	0.0592979	0.0737052	0.0848246	0.101081	0.133139
a23	0.284534	0.10751	0.0720313	0.121882	0.0836081	0.0976234	0.0934996	0.0730069	0.0663041
a9	0.0302913	0.0148598	0.0196282	0.0653976	0.106908	0.161125	0.187968	0.205846	0.207976
a57	0.00646148	0.00482902	0.0058456	0.0304227	0.0423023	0.0864046	0.150538	0.285521	0.387676
</S>	0.0124792	0.0116493	0.0126905	0.0513568	0.0578418	0.0969251	0.151329	0.265807	0.339921
