 	les	soldats	sont	en	train	de	flanquer	des	coups	de	poing	au	voleur	</S>
a66	0.112994	0.153742	0.162926	0.157589	0.169031	0.140725	0.0627488	0.0184738	0.0107593	0.00516765	0.00291932	0.00133531	0.000934886	0.000653357
a87	0.302883	0.178313	0.0979214	0.0837563	0.0741652	0.0574939	0.0204255	0.0201732	0.0383108	0.0301186	0.0306288	0.0220135	0.0244696	0.0193271
a97	0.168506	0.0979365	0.0918324	0.0908882	0.0863762	0.0806928	0.0426065	0.0277533	0.0472298	0.0457764	0.0507621	0.0435285	0.0593973	0.0667142
a10	0.187206	0.105996	0.087985	0.0836481	0.0959233	0.100783	0.0531008	0.0333688	0.0634662	0.0515212	0.0548727	0.0313911	0.0277326	0.0230046
a87	0.15153	0.0935135	0.0794769	0.0869496	0.100946	0.102279	0.0543242	0.0456765	0.0879815	0.0615563	0.0625087	0.0301278	0.02469	0.0184405
a97	0.125842	0.082853	0.0710565	0.0833272	0.0948124	0.0956746	0.054067	0.0495008	0.0991432	0.0742629	0.0773328	0.0388461	0.0303429	0.0229388
a40	0.107715	0.0681324	0.0673264	0.0775863	0.0831705	0.0835049	0.0530197	0.0527745	0.10907	0.0867839	0.0990316	0.0479339	0.0374567	0.0264937
a73	0.273308	0.152411	0.127892	0.0906564	0.0764379	0.0522156	0.0364234	0.0181276	0.024037	0.0302827	0.0376917	0.0293957	0.025858	0.0252634
a44	0.202041	0.0900404	0.105481	0.0730099	0.064482	0.055439	0.0599075	0.0411788	0.0385996	0.041073	0.0464724	0.0525369	0.0587	0.0710392
a90	0.111181	0.0658193	0.0892746	0.0723262	0.0756139	0.0788397	0.0985676	0.0729447	0.0618706	0.0530485	0.0474114	0.0477545	0.0549206	0.0704269
a79	0.0637352	0.0508574	0.0826928	0.0775317	0.0846577	0.103248	0.150544	0.088251	0.0600281	0.0410614	0.032831	0.0394137	0.0531034	0.0720442
a44	0.0454383	0.0456018	0.0816146	0.0812838	0.0869136	0.105533	0.138235	0.0844563	0.0518306	0.0340356	0.0307195	0.0443616	0.068926	0.10105
a93	0.0385001	0.0392793	0.0684669	0.068702	0.081059	0.11114	0.160549	0.112891	0.0784953	0.0495377	0.0405353	0.0412843	0.0474899	0.0620703
a44	0.0356294	0.0400056	0.0705766	0.0725621	0.0870445	0.113776	0.167022	0.118955	0.0769276	0.0462731	0.0369249	0.0364561	0.0430805	0.0547667
a98	0.0252135	0.0366682	0.0704028	0.0747032	0.0903887	0.117438	0.154549	0.107835	0.0685425	0.0443472	0.0393737	0.0415784	0.0545057	0.0744545
a47	0.0195869	0.0297799	0.059589	0.0672004	0.0753433	0.0931172	0.116145	0.106129	0.0682393	0.0516782	0.0514707	0.0612897	0.0844931	0.115938
a36	0.0166229	0.0326712	0.0618285	0.072298	0.0866936	0.10259	0.117882	0.108345	0.0598396	0.0409296	0.0403782	0.0531898	0.0866723	0.120059
a2	0.00977531	0.0262645	0.0619097	0.0746046	0.0919669	0.114295	0.129761	0.119336	0.069571	0.0432595	0.0417077	0.0493085	0.0714142	0.0968263
a37	0.00535809	0.0181873	0.0597975	0.081977	0.106786	0.146543	0.156817	0.108901	0.0555647	0.0341757	0.0334079	0.0396273	0.0611667	0.0916903
a70	0.00750073	0.0208801	0.0588196	0.0805548	0.105713	0.147044	0.160483	0.107348	0.0628931	0.0411671	0.038724	0.0407458	0.0554473	0.0726804
a98	0.0043343	0.0103003	0.0328893	0.0509526	0.0744288	0.131271	0.178204	0.147691	0.0892542	0.0622041	0.0543785	0.0471901	0.0535447	0.0633575
a15	0.0017986	0.00477856	0.0143228	0.0259074	0.0392736	0.0621931	0.0923572	0.104336	0.0667551	0.0619802	0.0691592	0.103389	0.156156	0.197593
a79	0.00162965	0.00482564	0.0157051	0.0304218	0.0461362	0.0657917	0.0986163	0.118439	0.0719294	0.062097	0.065292	0.0932777	0.139363	0.186475
a7	0.00141418	0.0041111	0.0139559	0.0271421	0.0410122	0.0605168	0.0870812	0.128122	0.0804907	0.0723951	0.0753623	0.0952107	0.133601	0.179586
a44	0.00203131	0.00490445	0.0144608	0.0241103	0.0369689	0.0623111	0.109201	0.147866	0.0952727	0.0814647	0.0835455	0.0884169	0.106957	0.142489
a94	0.00206709	0.00494148	0.0125517	0.0192059	0.0276997	0.0465687	0.0797239	0.122485	0.0848564	0.0817198	0.0864515	0.109087	0.139323	0.18332
a88	0.00112688	0.00241183	0.00563831	0.00849342	0.0115835	0.0207304	0.040776	0.0871068	0.0685418	0.0773972	0.0868692	0.130129	0.189496	0.269699
a0	0.000615407	0.00112954	0.00243401	0.00368304	0.00476903	0.00799851	0.0184507	0.0474931	0.0429402	0.0593989	0.075818	0.13099	0.236743	0.367537
a90	0.000340838	0.000628781	0.00100038	0.00143655	0.00173526	0.0022303	0.00508665	0.0151159	0.0181466	0.0366176	0.0597504	0.123397	0.287284	0.447229
a69	0.000209817	0.00040894	0.000938855	0.00147188	0.00198851	0.00323143	0.00821716	0.025271	0.0250305	0.042988	0.0619936	0.135016	0.270791	0.422443
a58	0.000115652	0.000208758	0.000472899	0.000714967	0.000939036	0.00166507	0.00441666	0.0185343	0.0211843	0.0356465	0.0566013	0.132451	0.278001	0.449048
a57	0.000221734	0.000317085	0.000408013	0.000533688	0.000529012	0.000571683	0.00116181	0.00468932	0.00751895	0.018804	0.0433899	0.114228	0.280858	0.526769
a3	0.00424484	0.00406203	0.003742	0.00499389	0.00441892	0.0044388	0.00683932	0.0190601	0.0300872	0.0546201	0.0944478	0.163337	0.239082	0.366626
a97	0.0242367	0.019056	0.0154483	0.0223056	0.0225614	0.0201235	0.0172546	0.0348653	0.0618162	0.0826115	0.13167	0.160265	0.188521	0.199265
a87	0.0360169	0.0353273	0.0266379	0.0326271	0.0321724	0.0307686	0.0249397	0.0552522	0.0712351	0.0755008	0.1016	0.147548	0.166341	0.164033
a97	0.0233232	0.020865	0.0173568	0.0223699	0.0253391	0.0296034	0.0297015	0.0681778	0.0880168	0.0754913	0.0957067	0.130611	0.177774	0.195663
a87	0.019074	0.0174558	0.0172599	0.0253448	0.0336068	0.0430659	0.0428598	0.0834771	0.105071	0.0821359	0.0927725	0.113256	0.153157	0.171463
</S>	0.0188897	0.016915	0.0180993	0.0272642	0.0365516	0.0461619	0.0425621	0.0732086	0.0945207	0.0780843	0.0960721	0.114001	0.152345	0.185325
