 	la	veuve	est	vêtue	d'	un	morceau	de	pagne	</S>
a66	0.228927	0.202027	0.174968	0.152429	0.0798277	0.0608494	0.0429105	0.0320295	0.0153196	0.0107118
a87	0.334943	0.232982	0.164939	0.0959159	0.0555793	0.044694	0.0311712	0.0208852	0.0113562	0.00753342
a23	0.316982	0.234396	0.189139	0.111499	0.0558133	0.0279262	0.0197646	0.015939	0.0148231	0.0137182
a30	0.247871	0.303176	0.173075	0.119662	0.0652835	0.0293218	0.0162276	0.0125936	0.0142181	0.0185716
a70	0.212866	0.318521	0.169528	0.132234	0.0787295	0.0344499	0.0169084	0.0118204	0.0119151	0.0130273
a96	0.333503	0.290655	0.145973	0.0870116	0.05886	0.0310571	0.0185602	0.012114	0.0117644	0.0105012
a61	0.206929	0.239191	0.18377	0.12025	0.108837	0.0645902	0.0314427	0.0174157	0.0147786	0.0127948
a62	0.152758	0.183277	0.165581	0.129742	0.142934	0.107248	0.0570637	0.0259676	0.0198253	0.0156036
a93	0.11976	0.148071	0.143643	0.121724	0.144798	0.132407	0.0921209	0.0397507	0.0320407	0.0256844
a4	0.116087	0.13178	0.14377	0.131034	0.16423	0.153047	0.0830885	0.0296865	0.024002	0.0232752
a13	0.0874008	0.118933	0.126836	0.126548	0.157938	0.164151	0.111394	0.0403222	0.0337402	0.0327359
a93	0.0550525	0.0958884	0.0989427	0.118773	0.143901	0.160608	0.140976	0.0636749	0.0625873	0.0595962
a75	0.0627373	0.0896354	0.0952038	0.114316	0.131197	0.151021	0.137343	0.0705698	0.0697194	0.0782566
a21	0.0356773	0.0694832	0.0726537	0.104623	0.117884	0.146557	0.136264	0.109524	0.0978524	0.109481
a5	0.0313111	0.0630044	0.0534667	0.089486	0.0984206	0.136926	0.157407	0.146932	0.115752	0.107294
a12	0.0179326	0.0362477	0.0337802	0.0677915	0.0780002	0.120415	0.162506	0.192473	0.151414	0.13944
a62	0.0115428	0.0144655	0.0131143	0.0296382	0.0353177	0.0616702	0.117965	0.24068	0.233648	0.241958
a12	0.0107308	0.0126433	0.0118478	0.0258647	0.0284716	0.0446495	0.0808095	0.214524	0.26591	0.304548
a62	0.00810286	0.00819371	0.00795426	0.017763	0.0169103	0.0257852	0.0509746	0.195754	0.310454	0.358108
a88	0.00464896	0.00437293	0.00425459	0.00740948	0.00718947	0.0125108	0.0300835	0.134798	0.328928	0.465805
a71	0.00340091	0.00346935	0.00422884	0.00708769	0.00738499	0.011592	0.0265045	0.103721	0.305271	0.527339
a47	0.0195742	0.0143989	0.0207517	0.0343795	0.0254577	0.0238255	0.0348498	0.0882042	0.239512	0.499047
a88	0.00949438	0.00572692	0.00704679	0.0111035	0.00959106	0.0127024	0.0300667	0.108115	0.27158	0.534573
a71	0.00529009	0.00455871	0.00674328	0.00943251	0.0101403	0.0178963	0.048126	0.139094	0.290211	0.468508
a9	0.0481296	0.032399	0.0336302	0.0519955	0.0452754	0.0560052	0.0918093	0.145943	0.203307	0.291506
a87	0.114077	0.0814436	0.0770001	0.0732545	0.0734672	0.0921626	0.104988	0.114734	0.120774	0.148099
a23	0.195491	0.117049	0.124637	0.0857565	0.075967	0.0814685	0.0794982	0.0788056	0.0745238	0.0868032
a99	0.124298	0.0785175	0.0949291	0.0691445	0.0493554	0.043233	0.0478941	0.103836	0.166032	0.222761
a26	0.0423323	0.0277961	0.0348421	0.0362021	0.0406937	0.0555007	0.0750106	0.145944	0.227255	0.314423
</S>	0.00777981	0.0052207	0.00681916	0.00854888	0.0133901	0.0262702	0.0473615	0.108174	0.262263	0.514173
