 	si	tu	attends	encore	un	peu	il	va	venir	</S>
a23	0.129117	0.0945145	0.0561756	0.0547244	0.0631016	0.0799088	0.090276	0.132841	0.15217	0.14717
a85	0.305012	0.17153	0.108771	0.0631123	0.0416135	0.0419773	0.0413994	0.0632243	0.0741265	0.0892334
a87	0.298307	0.244029	0.137465	0.0574535	0.0296667	0.0289115	0.0305072	0.0424356	0.0536836	0.0775405
a23	0.249348	0.228474	0.186828	0.0916783	0.048295	0.0403934	0.0339008	0.0351969	0.0362728	0.0496127
a58	0.247567	0.171273	0.098093	0.0439353	0.028099	0.0343657	0.043869	0.0783815	0.107489	0.146928
a20	0.341686	0.261125	0.10478	0.0427244	0.0216811	0.0210365	0.023207	0.0358396	0.0543302	0.0935905
a26	0.324336	0.259799	0.127261	0.067532	0.0473069	0.0392052	0.0353352	0.0334723	0.0321591	0.0335934
a76	0.27929	0.247459	0.168475	0.0985798	0.0663875	0.0428123	0.0312546	0.0242786	0.0208402	0.0206226
a90	0.222757	0.242205	0.174052	0.108313	0.0770874	0.0568356	0.0431274	0.0312945	0.0232761	0.0210522
a57	0.221682	0.238467	0.188733	0.125786	0.0814546	0.0512249	0.0334585	0.0226525	0.0181996	0.0183429
a82	0.208622	0.216162	0.190921	0.138847	0.0922209	0.0548679	0.0335657	0.0225354	0.0194679	0.0227902
a53	0.160002	0.185044	0.199515	0.142566	0.0969073	0.0566749	0.0375289	0.0328338	0.0372955	0.051633
a94	0.173859	0.193122	0.18202	0.125798	0.0857766	0.0559127	0.0436232	0.0393484	0.04446	0.0560797
a76	0.145002	0.154726	0.157191	0.126398	0.0990285	0.0723128	0.0597834	0.0519029	0.0596993	0.0739564
a90	0.106019	0.119051	0.134988	0.130651	0.114658	0.0922583	0.082814	0.0746852	0.0715871	0.0732887
a58	0.13189	0.13874	0.1502	0.136329	0.117754	0.0868851	0.0705952	0.0565053	0.0531483	0.057953
a11	0.125996	0.126545	0.15639	0.137136	0.112157	0.078985	0.0637405	0.0582654	0.0632329	0.0775513
a24	0.132879	0.131589	0.140925	0.112618	0.0967859	0.0724382	0.0627402	0.05999	0.0762548	0.11378
a43	0.0860103	0.0871963	0.0962147	0.0903082	0.0952404	0.0846847	0.083641	0.084385	0.112989	0.17933
a11	0.0716454	0.0775095	0.102001	0.0910048	0.0985096	0.0880007	0.0901272	0.0977648	0.111261	0.172176
a24	0.0794039	0.0864788	0.110607	0.0884344	0.0924498	0.0820277	0.0862962	0.10084	0.111826	0.161636
a26	0.0376812	0.0409303	0.0530751	0.049044	0.0618787	0.0681375	0.0876126	0.134187	0.187781	0.279673
a24	0.0562134	0.0579548	0.0826356	0.0707655	0.0805871	0.0802929	0.0962154	0.132195	0.141971	0.201169
a25	0.0245709	0.0266474	0.0374029	0.0360109	0.0480346	0.055879	0.0749015	0.126898	0.21169	0.357965
a87	0.02947	0.0329548	0.0572372	0.050953	0.0576306	0.0577483	0.0780565	0.140915	0.193322	0.301713
