 	on	ne	peut	parler	sérieusement	il	blague	toujours	</S>
a23	0.357118	0.15605	0.117567	0.0939702	0.0677107	0.0668955	0.0481421	0.0450727	0.0474736
a87	0.386174	0.18117	0.173868	0.119523	0.0387801	0.0221807	0.0182455	0.0221052	0.0379535
a23	0.314384	0.161503	0.149753	0.10814	0.058435	0.0373171	0.0359782	0.0492314	0.0852578
a94	0.256966	0.130772	0.0926563	0.0633672	0.0312949	0.0389846	0.0545869	0.106493	0.224879
a88	0.487944	0.189734	0.119397	0.0825504	0.0435618	0.0249432	0.0148103	0.0159966	0.0210626
a71	0.451267	0.282079	0.130871	0.0835361	0.025649	0.00738561	0.00489639	0.00597696	0.00833899
a38	0.262253	0.271237	0.19307	0.178515	0.0544268	0.0126429	0.00786338	0.00850838	0.0114827
a20	0.184492	0.228659	0.205283	0.205721	0.0883313	0.0265957	0.0180569	0.0198689	0.0229928
a73	0.182276	0.226668	0.208278	0.197567	0.0871695	0.0324596	0.0214268	0.0215227	0.0226329
a94	0.145772	0.188287	0.214811	0.219306	0.125676	0.0396051	0.02219	0.0213225	0.0230293
a76	0.114788	0.172876	0.221883	0.216211	0.135509	0.0521505	0.0299272	0.027617	0.0290387
a32	0.129384	0.196148	0.216527	0.196227	0.11675	0.0529088	0.0330841	0.0294098	0.0295614
a75	0.0927534	0.151615	0.190503	0.178403	0.136155	0.0901348	0.0604811	0.0505216	0.0494327
a41	0.0784294	0.121514	0.18353	0.182817	0.143129	0.0855977	0.0691069	0.0669361	0.0689389
a35	0.0500962	0.0694046	0.107085	0.118514	0.15329	0.141186	0.125079	0.118614	0.11673
a38	0.0438029	0.0570782	0.0898873	0.105354	0.161504	0.159619	0.139127	0.126243	0.117384
a73	0.0372728	0.0434611	0.0620085	0.0707178	0.129456	0.191402	0.157712	0.147208	0.160761
a94	0.0447382	0.0389864	0.0448075	0.0446132	0.0788124	0.158809	0.15721	0.1902	0.241824
a76	0.0262083	0.0268642	0.0320206	0.0309027	0.066516	0.169459	0.187734	0.210127	0.250168
a73	0.0213624	0.0188627	0.0211582	0.0188791	0.0536235	0.169515	0.196528	0.22763	0.272441
a27	0.0253055	0.0206381	0.0227345	0.0194803	0.0461275	0.17701	0.214815	0.222403	0.251486
a54	0.0139412	0.013796	0.0136924	0.0107026	0.0167782	0.0945258	0.202997	0.269563	0.364004
a73	0.0281716	0.0189047	0.01767	0.0110972	0.0158358	0.0886058	0.163122	0.24292	0.413673
a84	0.0186612	0.0144529	0.017026	0.0121729	0.0267824	0.138416	0.227493	0.253619	0.291376
a57	0.00644946	0.00566152	0.00520518	0.00378301	0.00530408	0.0388355	0.136588	0.286898	0.511275
a87	0.0105259	0.0058124	0.0057057	0.00350871	0.00486113	0.0375629	0.134764	0.276928	0.520331
a23	0.0101393	0.00672294	0.00601715	0.00495595	0.0124794	0.0781692	0.180477	0.280381	0.420658
a79	0.0254529	0.0232274	0.0177244	0.0167245	0.0310978	0.117047	0.218038	0.259702	0.290985
a20	0.0292149	0.02095	0.0128011	0.0099202	0.0168516	0.0599008	0.138567	0.232093	0.479701
a73	0.0217987	0.0148577	0.0128295	0.00903335	0.0189778	0.0779418	0.162769	0.233927	0.447865
a44	0.00420074	0.0048832	0.00596267	0.00588847	0.0161815	0.0676699	0.185834	0.28811	0.42127
a26	0.0039421	0.00399164	0.00441788	0.00413744	0.0104853	0.0554662	0.16736	0.290807	0.459393
a11	0.00136951	0.00150683	0.00175565	0.00174928	0.0047656	0.0362439	0.13606	0.296009	0.52054
a70	0.00190034	0.00158102	0.00163844	0.00145909	0.00267645	0.0231243	0.109749	0.279669	0.578202
a94	0.00319387	0.00302384	0.00348488	0.00303937	0.00424951	0.0225687	0.0955696	0.258984	0.605887
a41	0.00228615	0.00192628	0.00229186	0.00177612	0.0027453	0.0167121	0.0796149	0.249088	0.643559
a20	0.00312533	0.00248615	0.00281041	0.00194514	0.00404076	0.0298661	0.11606	0.274223	0.565443
a90	0.00275041	0.00257571	0.00317483	0.00244884	0.00494727	0.0310991	0.116456	0.270105	0.566444
a53	0.00283598	0.00220417	0.00301539	0.00217879	0.00366166	0.0208105	0.0816414	0.233052	0.6506
a20	0.00602654	0.00419761	0.00585642	0.00410321	0.00630068	0.0229841	0.0730369	0.209997	0.667497
a73	0.00517417	0.0044941	0.00566733	0.00372265	0.00438337	0.0198086	0.0733914	0.230505	0.652853
a35	0.00420623	0.00321158	0.00344049	0.00215486	0.00264182	0.0183993	0.0777007	0.233856	0.654389
a12	0.0059722	0.00441039	0.00486023	0.00317833	0.00438218	0.02731	0.096761	0.24516	0.607966
a90	0.00959847	0.00660123	0.00663227	0.00439467	0.00503599	0.0228389	0.0819223	0.226563	0.636414
a53	0.0105025	0.0086091	0.00970304	0.00735015	0.00818587	0.0339781	0.100355	0.240947	0.58037
a76	0.0126841	0.0090437	0.010688	0.00781304	0.00865123	0.0303659	0.091604	0.230333	0.598817
a20	0.0154987	0.0108593	0.0103759	0.00683094	0.00761579	0.0273822	0.0830712	0.223046	0.615321
a84	0.0105585	0.00874837	0.00889342	0.00623041	0.00750713	0.0265532	0.0787447	0.21577	0.636994
a87	0.00954549	0.00607094	0.00622731	0.00406577	0.00518955	0.0269726	0.0947169	0.251085	0.596126
</S>	0.0119991	0.0106303	0.00990464	0.00803018	0.0106418	0.0348061	0.0999176	0.248542	0.565528
