 	le	chasseur	a	dépouillé	la	gazelle	</S>
a66	0.293114	0.153113	0.170745	0.173897	0.107319	0.0646539	0.0371592
a87	0.17299	0.129882	0.129241	0.18735	0.131856	0.116633	0.132048
a3	0.413892	0.287438	0.124487	0.0692236	0.0325427	0.0335032	0.0389122
a30	0.419491	0.284718	0.128729	0.0682478	0.0287608	0.0320342	0.038019
a13	0.426152	0.265405	0.124972	0.0719087	0.0322161	0.0373196	0.0420269
a47	0.414731	0.256179	0.137088	0.0697725	0.03541	0.0410494	0.0457701
a62	0.366539	0.279533	0.169612	0.0810742	0.0411313	0.0312612	0.0308497
a75	0.370173	0.301798	0.183844	0.0819784	0.0334056	0.0154208	0.013379
a79	0.284212	0.28382	0.23244	0.121477	0.0452729	0.0168451	0.0159325
a44	0.21143	0.239588	0.246584	0.17515	0.0772763	0.0252833	0.0246882
a98	0.163733	0.221109	0.273517	0.194126	0.0825693	0.0328973	0.0320499
a5	0.164358	0.194892	0.221265	0.202957	0.112798	0.0495986	0.0541313
a61	0.135347	0.167271	0.22238	0.212386	0.113533	0.0667073	0.0823756
a62	0.114441	0.143862	0.198416	0.232093	0.153419	0.0759596	0.0818089
a18	0.0809002	0.101428	0.155288	0.21686	0.199002	0.111904	0.134618
a0	0.0427225	0.0499444	0.0762184	0.133247	0.190996	0.209782	0.297089
a21	0.0248317	0.0277162	0.0438589	0.0878157	0.169084	0.269341	0.377353
a61	0.0182205	0.0235595	0.0383291	0.0957159	0.215857	0.300299	0.308019
a0	0.00882731	0.0123572	0.022435	0.0621573	0.165298	0.319658	0.409268
a47	0.00449838	0.00540356	0.00833866	0.0207875	0.0762001	0.303623	0.581149
a66	0.00699293	0.00815648	0.0107965	0.0231712	0.0709867	0.289779	0.590117
a71	0.00222674	0.00268288	0.00370628	0.00940394	0.039493	0.234543	0.707944
a38	0.0045957	0.00467666	0.00603986	0.0128992	0.0473592	0.245354	0.679076
a93	0.00895511	0.00822963	0.0100905	0.0196592	0.0490833	0.225689	0.678294
a70	0.00092859	0.00114743	0.0017013	0.00484558	0.0203926	0.162764	0.80822
a93	0.00103728	0.00126112	0.00185697	0.00465397	0.0197692	0.166314	0.805107
a13	0.000284672	0.000380719	0.000672391	0.00232014	0.0135322	0.137293	0.845517
a9	0.00760757	0.006639	0.00735816	0.0125167	0.0386769	0.21012	0.717082
a10	0.0553994	0.0351704	0.0308765	0.0376095	0.0718425	0.22758	0.541522
a87	0.108172	0.0640219	0.050122	0.0534864	0.0642492	0.203688	0.456261
a10	0.114097	0.0806285	0.0698573	0.0742922	0.0851641	0.235897	0.340064
a82	0.125551	0.0917307	0.0735709	0.0727135	0.077574	0.192324	0.366536
a10	0.124834	0.0930986	0.0767766	0.0815912	0.0844706	0.180401	0.358827
a87	0.111384	0.0913483	0.0800605	0.0863426	0.0841285	0.174856	0.37188
a10	0.093525	0.0791062	0.0687352	0.0771725	0.0873808	0.179006	0.415074
</S>	0.138297	0.119425	0.104307	0.107803	0.0886631	0.141085	0.300418
