 	sous	cette	pluie	personne	n'	ose	descendre	en	aval	du	fleuve	</S>
a66	0.223785	0.169499	0.166019	0.161054	0.10608	0.0850651	0.0375118	0.018353	0.0117404	0.00735497	0.00669453	0.00684419
a87	0.263249	0.119697	0.0858465	0.0961231	0.0648738	0.0896009	0.0656992	0.0264769	0.026885	0.0366704	0.0554382	0.0694397
a97	0.147643	0.110784	0.109407	0.129763	0.151384	0.0906223	0.0514129	0.0272204	0.0202095	0.0254805	0.0525568	0.0835156
a83	0.210089	0.172749	0.151536	0.139868	0.144403	0.0589556	0.0263104	0.0142268	0.0112799	0.0132108	0.022507	0.0348649
a75	0.35507	0.186562	0.126964	0.0986376	0.0816017	0.0511871	0.0166769	0.010028	0.00851711	0.0125376	0.0214167	0.0307999
a92	0.313256	0.226854	0.145838	0.105675	0.0838774	0.0492699	0.014012	0.00900335	0.00723329	0.010774	0.0147647	0.0194423
a37	0.207027	0.199215	0.159186	0.13043	0.127152	0.0816151	0.0241339	0.0150865	0.00942379	0.0116327	0.0150686	0.0200289
a44	0.229878	0.179997	0.167518	0.136347	0.162426	0.0756045	0.0180032	0.00929836	0.00485821	0.00433422	0.0050487	0.00668651
a90	0.164996	0.146454	0.158558	0.153737	0.191103	0.103482	0.0279802	0.0162526	0.0092154	0.00769509	0.00866274	0.0118636
a25	0.110602	0.125666	0.15602	0.16934	0.206538	0.117238	0.0395513	0.0212522	0.0122104	0.0109141	0.0128684	0.0177993
a69	0.0613696	0.0814178	0.134908	0.178598	0.221846	0.147136	0.0627134	0.0312529	0.019641	0.0167733	0.0188788	0.0254654
a93	0.0389354	0.0607627	0.133028	0.191958	0.233387	0.146582	0.0590674	0.0309461	0.0235173	0.0217703	0.0258058	0.0342406
a69	0.0302888	0.0537015	0.120294	0.186022	0.217919	0.145651	0.0711746	0.0390098	0.0305783	0.0285341	0.0335292	0.0432979
a4	0.0155899	0.0344126	0.0933375	0.172283	0.199528	0.161932	0.10955	0.0602	0.041038	0.0320046	0.0352771	0.0448469
a57	0.0133117	0.0230485	0.0663948	0.151627	0.182809	0.166794	0.127164	0.0737035	0.0515363	0.0397439	0.044868	0.0589999
a82	0.00885669	0.0144495	0.0404178	0.111155	0.154373	0.186234	0.169502	0.0968472	0.0568928	0.0388145	0.0496131	0.0728439
a3	0.00885115	0.0138609	0.034635	0.101964	0.161703	0.23934	0.1475	0.0808323	0.0589759	0.0389099	0.0502933	0.0631339
a97	0.0275762	0.0259156	0.0532442	0.104888	0.155936	0.163688	0.107768	0.0627087	0.0472352	0.0456471	0.080411	0.124982
a79	0.0238438	0.0236699	0.0503324	0.0917825	0.136582	0.122659	0.103296	0.0636258	0.0506608	0.0575968	0.108151	0.1678
a53	0.0175478	0.0199836	0.0480851	0.0929973	0.121472	0.0833735	0.0828153	0.0542412	0.05332	0.0713377	0.137722	0.217104
a4	0.0326709	0.0506274	0.10334	0.133537	0.139723	0.0822038	0.0878432	0.0661784	0.0531847	0.0637396	0.082823	0.104129
a58	0.0336393	0.0485472	0.0886163	0.108509	0.115357	0.0807947	0.0864068	0.0902992	0.0847647	0.0860077	0.0845712	0.0924865
a62	0.0120149	0.0210458	0.0430437	0.0580207	0.0651497	0.0744059	0.0843594	0.111947	0.119742	0.128139	0.129673	0.152459
a47	0.0216098	0.0221059	0.0414962	0.0592981	0.0651463	0.05305	0.0621159	0.0943355	0.12269	0.15328	0.151638	0.153235
a62	0.0109174	0.0150121	0.0347763	0.0642656	0.0723766	0.0608421	0.0802915	0.109581	0.150679	0.153737	0.130904	0.116617
a34	0.00476085	0.00588687	0.0137286	0.0324384	0.0379555	0.0414695	0.0661899	0.101463	0.158682	0.194054	0.183871	0.159499
a98	0.00237755	0.00308373	0.0077375	0.0191818	0.0251711	0.0289935	0.0450739	0.0735926	0.120415	0.19531	0.242021	0.237044
a85	0.000766738	0.00202979	0.00945004	0.0265207	0.0352576	0.0356416	0.0618714	0.0806872	0.0936024	0.152345	0.226427	0.275401
a5	0.0005797	0.00158598	0.00710651	0.0182765	0.0231072	0.0290695	0.0493551	0.06633	0.088529	0.159144	0.244595	0.312321
a36	0.000978658	0.00183843	0.00585437	0.0144727	0.0184206	0.0239021	0.0408187	0.0670416	0.125412	0.19324	0.238715	0.269307
