 	ce	jeu	auquel	vous	jouez	s'	appelle	lebese	</S>
a66	0.188276	0.129248	0.110158	0.158903	0.18269	0.141424	0.0471048	0.0251193	0.0170771
a87	0.201501	0.151881	0.192055	0.201301	0.164418	0.0433936	0.0216094	0.0180192	0.00582199
a23	0.185605	0.209859	0.227145	0.134093	0.144273	0.0451392	0.0235701	0.0177858	0.0125293
a82	0.1405	0.156766	0.336451	0.150008	0.150902	0.0246832	0.0183227	0.0142792	0.00808665
a38	0.147709	0.150006	0.296239	0.137574	0.177858	0.0370415	0.0275834	0.0163688	0.00962113
a50	0.145902	0.206476	0.250317	0.150243	0.154626	0.0428434	0.030792	0.0128242	0.00597541
a62	0.160922	0.167304	0.247458	0.162019	0.186019	0.0439484	0.0180328	0.00985647	0.0044413
a0	0.166188	0.131806	0.215328	0.154749	0.208124	0.0680852	0.0291044	0.0165666	0.010049
a75	0.154448	0.115059	0.175412	0.12354	0.1874	0.0888613	0.0598996	0.0572274	0.0381542
a21	0.101136	0.0958538	0.187504	0.187091	0.265823	0.073199	0.035993	0.0268706	0.0265298
a5	0.106159	0.0891999	0.153561	0.186608	0.258315	0.109613	0.0348763	0.031453	0.0302144
a21	0.091645	0.0835152	0.143622	0.196033	0.26321	0.0916981	0.0360684	0.0455218	0.0486863
a5	0.0742856	0.0814417	0.134161	0.209433	0.238876	0.113973	0.0416993	0.0539078	0.0522228
a12	0.0553528	0.0718907	0.113234	0.201543	0.234192	0.126502	0.0551492	0.070397	0.0717391
a21	0.0324292	0.0494544	0.0765649	0.162706	0.19286	0.173825	0.0902009	0.108914	0.113046
a12	0.0200596	0.0355947	0.0518111	0.10265	0.125956	0.176247	0.127949	0.166138	0.193596
a94	0.0117297	0.0247398	0.0371008	0.0484891	0.0578899	0.113429	0.153333	0.245688	0.3076
a98	0.00650974	0.0110884	0.0142678	0.014269	0.0175565	0.0434715	0.108114	0.363416	0.421307
a85	0.00657313	0.0115206	0.01299	0.0114265	0.00908734	0.0299818	0.11571	0.325873	0.476838
a47	0.00362093	0.00673533	0.0058045	0.00463166	0.00365307	0.0169474	0.0872182	0.310479	0.56091
a21	0.00257455	0.00441055	0.0027686	0.00250123	0.00156787	0.00823455	0.0630264	0.329577	0.585339
a85	0.00156982	0.00269936	0.00207285	0.00241956	0.00254687	0.0115816	0.0826876	0.351901	0.542521
a21	0.00269142	0.0035574	0.00238941	0.00211243	0.00203438	0.0153964	0.0990827	0.372276	0.50046
a5	0.00204492	0.00349986	0.00263971	0.00258385	0.00250189	0.0163299	0.105984	0.363624	0.500792
a21	0.00130514	0.0028747	0.00207141	0.00183481	0.00129933	0.00511698	0.0440002	0.285045	0.656452
a5	0.00181922	0.00319479	0.00222758	0.00228342	0.00185958	0.0102857	0.0690582	0.257164	0.652108
a43	0.000887932	0.0015696	0.000998953	0.00084696	0.000616367	0.00330381	0.0386095	0.278717	0.67445
a18	0.00141084	0.0016	0.00164658	0.00140841	0.00150458	0.00487648	0.0758425	0.342885	0.568826
a25	0.043325	0.0466629	0.0324888	0.017614	0.0123803	0.02166	0.0797598	0.278149	0.46796
a10	0.162009	0.150622	0.144987	0.0974924	0.0859177	0.0410348	0.0504842	0.114831	0.152622
a87	0.129994	0.174031	0.208151	0.15051	0.118241	0.0391122	0.0419951	0.0660388	0.071927
a23	0.0950276	0.143324	0.150496	0.135748	0.124444	0.0681162	0.0688096	0.101462	0.112573
a87	0.054287	0.0691849	0.0362765	0.0222598	0.018612	0.0233724	0.0568078	0.239129	0.48007
</S>	0.0149916	0.0189513	0.0157024	0.0141847	0.0128911	0.0150215	0.0318907	0.267784	0.608583
