 	il	brave	le	danger	</S>
a10	0.243578	0.295734	0.21496	0.147627	0.0981017
a79	0.156565	0.137514	0.178883	0.221262	0.305777
a15	0.238252	0.313869	0.234306	0.0984378	0.115136
a98	0.285415	0.276214	0.221106	0.126974	0.0902917
a73	0.484468	0.35204	0.127518	0.0218816	0.0140918
a0	0.462613	0.3567	0.141016	0.0253714	0.0143004
a11	0.423401	0.335952	0.162633	0.0458164	0.0321979
a75	0.409466	0.331986	0.166601	0.0538311	0.038115
a66	0.236814	0.380785	0.260602	0.0695817	0.0522179
a75	0.162641	0.263381	0.275784	0.182393	0.115801
a31	0.153629	0.261751	0.301746	0.169666	0.113208
a9	0.130855	0.160413	0.229795	0.279308	0.199629
a75	0.0758754	0.0845699	0.132222	0.353693	0.35364
a5	0.0927226	0.11022	0.143529	0.334361	0.319168
a27	0.0962997	0.110194	0.131836	0.324146	0.337524
a0	0.0141825	0.020923	0.0524051	0.293432	0.619057
a66	0.00902856	0.0146454	0.0431072	0.313036	0.620182
a9	0.0242005	0.0324186	0.0592151	0.303836	0.58033
a10	0.0891579	0.0988998	0.115911	0.262167	0.433864
</S>	0.0870605	0.111012	0.148044	0.348034	0.305849
