 	on	a	hué	sur	lui	parce	qu'	il	a	volé	de	la	nourriture	</S>
a66	0.298933	0.238681	0.14128	0.0565816	0.030901	0.0315896	0.0357393	0.0294226	0.0356206	0.0318751	0.0266008	0.0182842	0.0128097	0.0116817
a87	0.383129	0.250153	0.103557	0.0480277	0.0276093	0.0238836	0.0299913	0.0261787	0.0267845	0.0210508	0.0171358	0.0158168	0.0130473	0.013635
a82	0.313492	0.255745	0.136024	0.0721252	0.050863	0.0367571	0.0321529	0.0189574	0.0147353	0.0105256	0.00955858	0.0128136	0.0141861	0.0220639
a10	0.316724	0.235916	0.167899	0.0780119	0.0490701	0.0348869	0.029825	0.0180374	0.0156427	0.0125252	0.0100115	0.00926645	0.00910373	0.0130794
a3	0.359326	0.246338	0.161176	0.0691705	0.0392621	0.0211691	0.0182102	0.0120616	0.0117725	0.0117036	0.0112045	0.0123349	0.0117353	0.0145364
a87	0.272592	0.191271	0.178648	0.0884367	0.0536131	0.0340851	0.0300431	0.0219474	0.020635	0.0207863	0.0207138	0.0229156	0.0216077	0.0227047
a97	0.329606	0.22206	0.151844	0.0712308	0.0433359	0.0270632	0.0247979	0.0177056	0.0166298	0.0170226	0.0172362	0.0202106	0.0195349	0.0217223
a23	0.319935	0.208826	0.190655	0.0837494	0.0384897	0.0192635	0.0160287	0.0127508	0.0115097	0.012934	0.015345	0.023536	0.0235296	0.0234474
a40	0.325129	0.175737	0.207501	0.0793385	0.0374901	0.0250682	0.0227486	0.017859	0.0143034	0.0141988	0.0155104	0.0217578	0.0205876	0.0227701
a94	0.213215	0.196574	0.268983	0.154018	0.0700976	0.0311617	0.0165944	0.0100223	0.00679231	0.00555976	0.00545163	0.00760723	0.00704435	0.00687822
a83	0.137227	0.184833	0.299113	0.188636	0.0759834	0.0331527	0.0177863	0.0120581	0.0095311	0.00762326	0.00719581	0.00949509	0.00906653	0.00829881
a53	0.0608032	0.0831382	0.157594	0.19445	0.139161	0.0782986	0.0508917	0.0396163	0.032941	0.0280449	0.0271178	0.0347683	0.0362249	0.0369501
a4	0.0844828	0.130117	0.208251	0.188128	0.106991	0.063769	0.0401262	0.0319445	0.027437	0.0219833	0.0210651	0.0250147	0.0254881	0.0252017
a70	0.063354	0.115707	0.204194	0.202035	0.121222	0.0788315	0.050161	0.037014	0.0291516	0.0212693	0.0188825	0.0200329	0.0192362	0.0189086
a99	0.0311343	0.0433672	0.0574999	0.102221	0.137464	0.143961	0.110035	0.0795142	0.0592557	0.0461143	0.0415383	0.0451174	0.0477152	0.0550628
a53	0.0230723	0.0334934	0.0461538	0.091809	0.152126	0.1595	0.130092	0.0888657	0.0617291	0.0439039	0.0375738	0.0386429	0.0406866	0.0523511
a79	0.0193438	0.0242479	0.0245936	0.0676419	0.143842	0.160504	0.146273	0.1195	0.0849906	0.0526979	0.038851	0.0366261	0.0370634	0.0438247
a44	0.0260168	0.0333017	0.0313444	0.0671438	0.132805	0.157096	0.147455	0.124674	0.0937472	0.0530081	0.0360493	0.0315478	0.0307016	0.0351096
a94	0.0113528	0.0116468	0.0115082	0.0331821	0.0950697	0.153512	0.162948	0.147469	0.106123	0.0682725	0.04797	0.0446632	0.0465933	0.0596886
a11	0.00509739	0.00465144	0.00513444	0.0137937	0.0449368	0.0946833	0.141421	0.155303	0.119543	0.0873993	0.0636143	0.0649173	0.079293	0.120212
a50	0.00358021	0.00305405	0.00406175	0.0122674	0.0375016	0.0745648	0.139265	0.173753	0.134899	0.101418	0.0655935	0.0610793	0.0713159	0.117647
a70	0.00311908	0.0027734	0.00401387	0.00974669	0.0238726	0.0504581	0.115419	0.170557	0.147149	0.128771	0.0865171	0.069997	0.0729158	0.114691
a34	0.00220893	0.00188266	0.0028897	0.00790283	0.0206952	0.0434896	0.100368	0.157308	0.142431	0.145192	0.106754	0.0861785	0.0722286	0.110471
a56	0.00243555	0.00196961	0.00267608	0.00600012	0.0160486	0.0298413	0.0635746	0.111449	0.115565	0.149765	0.141585	0.130587	0.102666	0.125837
a70	0.00187423	0.00160999	0.00239259	0.00520178	0.0122093	0.0222693	0.047947	0.0915191	0.102164	0.147188	0.153344	0.149319	0.120145	0.142816
a88	0.00144377	0.00117501	0.00169368	0.00438842	0.00927299	0.0147765	0.0340715	0.0696304	0.084646	0.129049	0.141457	0.16447	0.146457	0.197469
a83	0.0008087	0.00063513	0.000933729	0.00248001	0.00473097	0.00714895	0.0190243	0.0450025	0.0632918	0.112946	0.134973	0.177515	0.181747	0.248762
a18	0.00116433	0.000886995	0.00112173	0.00328461	0.00730677	0.0120883	0.0282041	0.052332	0.0701353	0.128922	0.146551	0.173135	0.161994	0.212874
a50	0.0010858	0.00073246	0.000862615	0.0024005	0.00540699	0.00921647	0.018915	0.0329085	0.0444684	0.089942	0.117807	0.15602	0.2082	0.312034
a62	0.00187385	0.00145945	0.00162218	0.00423513	0.00824304	0.0113384	0.0185009	0.0266359	0.0344013	0.0681681	0.0976785	0.139712	0.23736	0.348771
a18	0.000572959	0.000426348	0.000595123	0.00175817	0.00319428	0.00414514	0.00970164	0.0194068	0.0285656	0.0627898	0.089414	0.145679	0.2313	0.402451
a26	0.000581068	0.000396961	0.000484226	0.00107617	0.00200829	0.00318894	0.00682188	0.0142584	0.0219245	0.0545715	0.0875601	0.137542	0.24565	0.423936
a82	0.00448005	0.0023999	0.00193712	0.00350017	0.00597535	0.0071608	0.00996303	0.0147837	0.0178056	0.0445843	0.0828765	0.134851	0.257959	0.411724
a97	0.0213771	0.0102049	0.0077521	0.00999098	0.0134521	0.0122726	0.0132215	0.016878	0.0176563	0.0398921	0.0766955	0.122291	0.235954	0.402362
a87	0.169989	0.0677316	0.0303618	0.025506	0.026872	0.0245278	0.0235632	0.0282067	0.0296456	0.0536191	0.0812879	0.106588	0.145759	0.186342
a23	0.252843	0.131341	0.0542919	0.0276288	0.0222806	0.0231991	0.0251595	0.0363767	0.0485275	0.0676764	0.0757047	0.0840182	0.078298	0.0726542
a87	0.187806	0.0854971	0.0359188	0.027782	0.024837	0.0188807	0.0206443	0.0420923	0.0528308	0.0730881	0.0796588	0.104876	0.103384	0.142704
</S>	0.124526	0.0629324	0.0324975	0.0198929	0.0157142	0.0164153	0.0228793	0.0491185	0.0612923	0.0780345	0.0859092	0.118757	0.126564	0.185466
