 	les	enfants	étaient	passés	outre	ma	maison	</S>
a66	0.301619	0.311571	0.227404	0.0781914	0.0400131	0.0183883	0.0137279	0.00908546
a87	0.568667	0.286003	0.100279	0.0164395	0.00536487	0.00562824	0.00983733	0.00778125
a99	0.52225	0.194824	0.0710551	0.0337256	0.0202937	0.0353283	0.0635653	0.0589577
a54	0.343629	0.149741	0.0614254	0.0656764	0.0746298	0.0860152	0.100835	0.118048
a47	0.493676	0.234486	0.106008	0.0398825	0.0248285	0.0291718	0.0339247	0.0380229
a92	0.275563	0.253059	0.230175	0.12363	0.0338082	0.023317	0.0271549	0.0332924
a37	0.256689	0.230699	0.237209	0.221065	0.0349761	0.00769438	0.00578029	0.00588804
a85	0.331645	0.189206	0.168704	0.21013	0.056127	0.0178658	0.0134947	0.0128263
a92	0.23781	0.254074	0.239742	0.186913	0.0488428	0.0128941	0.00897714	0.0107459
a61	0.159135	0.142869	0.177542	0.30164	0.111036	0.0435674	0.0319064	0.0323043
a21	0.188686	0.16575	0.146142	0.236114	0.107284	0.0628794	0.0464304	0.0467145
a5	0.0478462	0.0590025	0.0886576	0.234804	0.218363	0.159213	0.0962563	0.0958572
a23	0.0220621	0.0285123	0.046608	0.126986	0.204764	0.218292	0.173532	0.179244
a21	0.0107817	0.0131268	0.022217	0.0760692	0.181445	0.262494	0.219068	0.214798
a92	0.00387826	0.00497728	0.00816279	0.020112	0.0988828	0.267922	0.327952	0.268113
a37	0.00184841	0.00264882	0.00510088	0.0167504	0.0914204	0.272408	0.337197	0.272626
a93	0.00114326	0.00182914	0.00422568	0.0135809	0.0775144	0.234832	0.336482	0.330393
a70	0.000585862	0.00110247	0.00250247	0.00839017	0.0543196	0.204262	0.346007	0.38283
a62	0.000366925	0.000685067	0.00150383	0.00459275	0.037197	0.15425	0.348548	0.452856
a83	0.000395725	0.000779545	0.00202984	0.00550074	0.0325746	0.17045	0.338201	0.450068
a9	0.000255901	0.000473344	0.00115373	0.00284101	0.0208988	0.137825	0.281087	0.555466
a99	0.0142739	0.0138143	0.0122374	0.0120546	0.0417955	0.138648	0.247304	0.519873
a87	0.134604	0.0844928	0.0462172	0.0377077	0.0654745	0.124275	0.18282	0.324408
a23	0.434319	0.245948	0.0771637	0.0404197	0.0331065	0.0363167	0.0485292	0.0841979
a87	0.12871	0.0705822	0.0299666	0.0181471	0.0288113	0.0904628	0.20532	0.428001
</S>	0.00835697	0.0049952	0.00420078	0.00768779	0.0296	0.140327	0.286148	0.518684
