 	il	marchait	sur	le	bord	de	la	rivière	</S>
a23	0.31618	0.219511	0.108431	0.0949747	0.0752	0.0690957	0.0424675	0.0364376	0.037702
a20	0.456364	0.111763	0.0491767	0.0388213	0.0495369	0.0707949	0.086499	0.0722521	0.0647922
a54	0.409094	0.163441	0.064843	0.042001	0.0383281	0.0395398	0.0681079	0.083205	0.0914408
a37	0.357254	0.21781	0.11085	0.0641995	0.0542443	0.0605546	0.053668	0.0446509	0.036769
a75	0.389781	0.227224	0.104883	0.0598188	0.0472131	0.0473631	0.0426484	0.042931	0.0381369
a5	0.251144	0.191783	0.119552	0.0850465	0.0735041	0.0816154	0.0741093	0.0628102	0.0604358
a85	0.1283	0.124981	0.129292	0.13317	0.112938	0.108972	0.0916716	0.0872105	0.0834651
a47	0.0804191	0.123167	0.160174	0.157879	0.129066	0.113372	0.0960581	0.0728665	0.0669989
a6	0.112459	0.196973	0.199561	0.162115	0.100384	0.0666749	0.050976	0.0517063	0.0591514
a37	0.105649	0.180403	0.168712	0.159575	0.121646	0.0841344	0.0625346	0.0560421	0.0613045
a75	0.131406	0.190789	0.162223	0.156901	0.119674	0.0755146	0.0531883	0.0513852	0.0589186
a61	0.066819	0.11013	0.104888	0.130518	0.143775	0.118094	0.106988	0.0989046	0.119883
a98	0.0806902	0.135432	0.131812	0.162126	0.162691	0.116748	0.0791911	0.0617312	0.0695792
a79	0.0555539	0.0950031	0.105606	0.157439	0.187723	0.136433	0.0986614	0.0754932	0.0880868
a37	0.0465926	0.0797371	0.0921564	0.145521	0.181396	0.146051	0.115569	0.0881753	0.104801
a25	0.0368592	0.0626594	0.080001	0.133001	0.180283	0.146834	0.12995	0.102064	0.128348
a44	0.0267608	0.0402843	0.0556648	0.110458	0.166794	0.152752	0.166056	0.123245	0.157985
a84	0.0228108	0.0322946	0.0434815	0.0853493	0.135494	0.130195	0.175139	0.15479	0.220446
a75	0.00669912	0.00562325	0.00676944	0.0137828	0.0293075	0.039833	0.120179	0.253701	0.524105
a21	0.00944417	0.0143536	0.0259629	0.0597981	0.103332	0.112331	0.180642	0.195033	0.299103
a92	0.0137995	0.0147552	0.0215927	0.0367228	0.0642731	0.083463	0.17	0.24975	0.345643
a61	0.00741762	0.00980355	0.0149342	0.0246918	0.0422642	0.0511832	0.120395	0.247574	0.481737
a90	0.00189282	0.00244043	0.00383628	0.00733724	0.0154628	0.022732	0.0839666	0.260435	0.601897
a58	0.00218887	0.00326668	0.00583892	0.0134373	0.0250212	0.0338755	0.101093	0.257145	0.558133
a11	0.000907875	0.00104812	0.00180015	0.00452806	0.0100485	0.0142738	0.0681002	0.243856	0.655437
a47	0.00112425	0.00105643	0.00187065	0.00455661	0.00959963	0.0146711	0.0692596	0.255028	0.642834
a0	0.00288454	0.00238222	0.00302779	0.00618944	0.0118561	0.0193141	0.0821128	0.285911	0.586322
a24	0.00767746	0.00424339	0.00567775	0.01135	0.0219425	0.0300906	0.0998068	0.268873	0.550338
a9	0.00220425	0.00184116	0.00299109	0.0066736	0.0118433	0.0162441	0.0710149	0.233797	0.653391
a87	0.0226276	0.0126622	0.0183758	0.0290125	0.044667	0.04777	0.118141	0.239831	0.466913
a23	0.271504	0.145183	0.0992364	0.0661874	0.048876	0.0476826	0.0691593	0.0958596	0.156312
a87	0.0797566	0.0511486	0.068523	0.0689464	0.060053	0.0573158	0.111486	0.191564	0.311207
</S>	0.02055	0.0174329	0.0387613	0.0592884	0.0658288	0.0604541	0.138721	0.236592	0.362372
