 	notre	champ	de	chasse	n'	était	pas	giboyeux	</S>
a66	0.220388	0.147751	0.112832	0.115908	0.150164	0.140662	0.0642309	0.027967	0.0200979
a87	0.358446	0.196564	0.13207	0.10622	0.0920848	0.0698117	0.0249417	0.0106355	0.00922655
a23	0.367919	0.251164	0.169499	0.0974312	0.0499208	0.0242709	0.0153115	0.0109511	0.0135316
a87	0.366162	0.28779	0.170865	0.0828792	0.0359819	0.0130506	0.00793072	0.00943683	0.0259045
a23	0.322353	0.272794	0.183684	0.101681	0.0567952	0.0262271	0.0128271	0.00968801	0.0139507
a83	0.320657	0.249439	0.164993	0.0938584	0.0551189	0.0292108	0.0220732	0.0233827	0.0412674
a54	0.229155	0.230149	0.167696	0.105348	0.0623256	0.0444665	0.0462767	0.0524299	0.0621523
a6	0.223368	0.217998	0.151112	0.113249	0.0850418	0.0701967	0.0601959	0.0462399	0.0325995
a5	0.178593	0.202951	0.160789	0.133597	0.114535	0.0895357	0.058721	0.0383648	0.0229133
a12	0.129104	0.149171	0.168341	0.165112	0.160569	0.11558	0.0598203	0.0296029	0.0227
a18	0.126474	0.13697	0.171989	0.185212	0.174755	0.106078	0.0462913	0.0275373	0.0246928
a47	0.0625813	0.078548	0.135019	0.166431	0.174242	0.14587	0.096669	0.0728952	0.0677445
a96	0.0523793	0.0637462	0.122602	0.197638	0.227027	0.161017	0.0716471	0.0514938	0.0524495
a31	0.0308267	0.0365758	0.0816981	0.173638	0.247884	0.208399	0.0941187	0.0622688	0.0645901
a88	0.0261721	0.0285472	0.0615918	0.150845	0.251141	0.239918	0.113482	0.0672349	0.0610687
a31	0.0244112	0.0264997	0.0518038	0.121543	0.228806	0.250697	0.133916	0.0786715	0.0836517
a0	0.0182193	0.0175833	0.0339089	0.086135	0.180268	0.258704	0.190665	0.112489	0.102028
a88	0.0167236	0.0160941	0.0259817	0.0525737	0.101266	0.187056	0.22597	0.189307	0.185028
a9	0.00815469	0.00852951	0.0133402	0.0255917	0.0475379	0.112916	0.242473	0.278622	0.262835
a50	0.0173002	0.018954	0.0265574	0.0344605	0.0507435	0.0854448	0.168743	0.291321	0.306475
a31	0.0241271	0.0222265	0.0289504	0.0340227	0.0423325	0.0629644	0.149586	0.28174	0.35405
a88	0.00461575	0.00448601	0.0065717	0.00974328	0.0153117	0.0348644	0.140542	0.329533	0.454332
a62	0.00170583	0.0016875	0.00258086	0.00409388	0.00702824	0.0180081	0.0942979	0.308216	0.562381
a75	0.00212344	0.00216071	0.00335869	0.00546005	0.00900348	0.0218484	0.100845	0.312225	0.542976
a47	0.000243393	0.000255128	0.00041973	0.000886968	0.00209913	0.00799026	0.0478921	0.229564	0.71065
a36	0.00028395	0.000278653	0.000451288	0.000909103	0.00188549	0.00673139	0.0438888	0.226814	0.718757
a2	0.00556709	0.00362108	0.00404689	0.00574544	0.0106355	0.023881	0.0792716	0.284849	0.582382
a57	0.0991061	0.0597375	0.0456327	0.0465677	0.0496833	0.06055	0.092831	0.183174	0.362717
a87	0.2214	0.112094	0.0720821	0.0589279	0.0516307	0.0521945	0.0913026	0.160487	0.179882
a23	0.25124	0.139045	0.0963377	0.083442	0.0756389	0.0783092	0.102197	0.0953451	0.078445
a87	0.106581	0.0640228	0.04981	0.0417585	0.0345431	0.0449688	0.0960756	0.199466	0.362774
a57	0.0264121	0.0158829	0.0113298	0.0109873	0.013865	0.0260903	0.068762	0.207722	0.618949
</S>	0.0466098	0.038854	0.0341171	0.0363352	0.041035	0.0498631	0.0818926	0.181761	0.489532
