 	la	manière	dont	il	m'	a	brimé	dans	le	partage	du	gibier	montre	qu'	il	est	avide	</S>
a66	0.185264	0.0967058	0.0966199	0.0935791	0.114236	0.121837	0.0803462	0.045564	0.0348827	0.030325	0.0166772	0.0123743	0.0197407	0.0124757	0.00922987	0.0101378	0.0101358	0.00986877
a87	0.26723	0.109013	0.0393503	0.0392045	0.0510125	0.0580097	0.104714	0.0574487	0.0382708	0.0290458	0.017485	0.0179822	0.0241577	0.0228906	0.0240942	0.0292688	0.0337116	0.0371102
a23	0.196426	0.128424	0.0846665	0.0536562	0.0516057	0.0449205	0.0510942	0.0401796	0.0320684	0.02348	0.0127743	0.0141304	0.0305578	0.0377673	0.0436658	0.0463757	0.0568608	0.0513469
a10	0.159338	0.183446	0.131871	0.0642094	0.0556519	0.041816	0.0446049	0.0328879	0.0298249	0.023487	0.0167312	0.0171656	0.0261317	0.0294447	0.033283	0.0349878	0.0368645	0.0382543
a87	0.174252	0.178008	0.158452	0.0714227	0.0625176	0.054074	0.0370989	0.0254597	0.0189344	0.0178169	0.0146785	0.0146591	0.0185021	0.023478	0.0300748	0.0327849	0.035383	0.0324026
a23	0.178919	0.145815	0.129584	0.065775	0.0669741	0.0648692	0.0453032	0.0281936	0.0222415	0.0187789	0.0164319	0.0156451	0.0190213	0.0241959	0.0364294	0.0417222	0.0436772	0.0364229
a12	0.127613	0.142002	0.134296	0.0639068	0.0526871	0.0483179	0.038033	0.0359512	0.030367	0.0242101	0.0253084	0.026627	0.0244188	0.0304405	0.0430083	0.0470655	0.0502854	0.0554616
a62	0.159045	0.275006	0.194694	0.0859379	0.0568048	0.0468797	0.0363028	0.0273816	0.0230348	0.0147553	0.0101695	0.00597473	0.00681777	0.00583326	0.00829106	0.0127363	0.0124812	0.0178549
a18	0.10685	0.282846	0.208902	0.120825	0.0682085	0.0461607	0.0308671	0.0178134	0.0153752	0.0141669	0.011372	0.00793798	0.0106271	0.0089305	0.00947944	0.0123535	0.0119952	0.0152899
a38	0.0914523	0.216098	0.183857	0.128067	0.0793489	0.0538258	0.0407632	0.0224919	0.0195724	0.0198471	0.0173061	0.0141125	0.0171017	0.0148171	0.0154519	0.019429	0.0200089	0.0264486
