 	mets-le	au-dedans	</S>
a23	0.51429	0.277662	0.208048
a87	0.308218	0.361901	0.329882
a23	0.469559	0.324581	0.20586
a87	0.250696	0.378004	0.371299
a23	0.277203	0.377652	0.345145
a40	0.212628	0.35384	0.433532
a26	0.550937	0.314373	0.134691
a30	0.64107	0.273101	0.0858283
a73	0.500094	0.323083	0.176822
a76	0.405169	0.347117	0.247714
a73	0.430972	0.340418	0.22861
a32	0.410633	0.345847	0.243519
a75	0.215394	0.351062	0.433544
a73	0.135369	0.286381	0.57825
a94	0.0951816	0.244957	0.659862
a76	0.0800221	0.211353	0.708625
a54	0.060196	0.224299	0.715505
a44	0.0610319	0.23975	0.699218
a57	0.0397899	0.186829	0.773381
a87	0.0118979	0.114811	0.873291
</S>	0.019809	0.119999	0.860192
