 	c'	est	de	l'	argile	dont	on	se	sert	pour	boucher	les	trous	des	pirogues	</S>
a23	0.115724	0.102954	0.0991069	0.0835381	0.115189	0.0871917	0.047685	0.0470247	0.0617226	0.069857	0.0723832	0.0368338	0.0225142	0.0154919	0.0111829	0.0116006
a87	0.118677	0.141154	0.136628	0.118515	0.121758	0.110317	0.0716062	0.0430821	0.0240213	0.018698	0.0228609	0.0219053	0.016082	0.0120624	0.00909242	0.013541
a23	0.0835143	0.09967	0.11143	0.120095	0.0940675	0.102436	0.0953601	0.0661465	0.0345384	0.0208833	0.0240275	0.0297355	0.0323601	0.0320223	0.0233355	0.0303778
a87	0.154194	0.170108	0.14172	0.127591	0.0962624	0.06021	0.0460406	0.0264786	0.0145375	0.0126524	0.011654	0.0150851	0.0223552	0.027117	0.0236956	0.0502993
a23	0.119413	0.127272	0.110661	0.115599	0.0985847	0.0742198	0.0603132	0.0408034	0.029368	0.0297098	0.0196435	0.0230939	0.0330545	0.0364084	0.0351136	0.046742
a41	0.136346	0.150976	0.133114	0.13148	0.11903	0.0616411	0.0369201	0.0244737	0.0199691	0.0228338	0.01765	0.0206605	0.0287404	0.0290776	0.0283034	0.0387847
a18	0.25366	0.183128	0.168401	0.147074	0.1355	0.046802	0.0180946	0.00699829	0.00637224	0.00623992	0.00782825	0.00502671	0.00459635	0.00361084	0.00307351	0.0035935
a38	0.21291	0.174221	0.167491	0.16604	0.127598	0.0659963	0.0254705	0.0102219	0.00770986	0.00775334	0.00976499	0.00652448	0.00640929	0.00500867	0.00349678	0.00338336
a43	0.11915	0.118058	0.148281	0.194764	0.159561	0.102204	0.0465004	0.0212299	0.0126963	0.0138094	0.0147329	0.0103418	0.011024	0.0107559	0.00881879	0.00807293
a76	0.0856884	0.086596	0.109233	0.146536	0.143866	0.132536	0.0840072	0.0492621	0.0285969	0.0294108	0.029734	0.0164469	0.0146913	0.0146154	0.0146276	0.0141523
a94	0.104086	0.116028	0.138098	0.152438	0.128848	0.104477	0.0613095	0.0413778	0.0244134	0.0253112	0.0294395	0.0160609	0.0132712	0.0136592	0.0156163	0.0155668
a58	0.0846129	0.0911271	0.109557	0.123561	0.115886	0.117039	0.0871975	0.0623932	0.0367008	0.0338389	0.0468067	0.0242759	0.0189628	0.0180563	0.0156897	0.0142955
a38	0.039579	0.0465099	0.0735932	0.107937	0.142071	0.151586	0.111876	0.0707862	0.0385982	0.0321845	0.0444881	0.0285354	0.0240611	0.0266812	0.0292533	0.0322591
a94	0.0384411	0.0489352	0.0752034	0.106089	0.137148	0.13317	0.0982568	0.065187	0.0380563	0.0290299	0.0495166	0.0346893	0.0317637	0.034324	0.0363052	0.0438843
a20	0.0487783	0.0673058	0.103767	0.129849	0.120167	0.110473	0.0793092	0.0564911	0.0377769	0.0283526	0.0592529	0.0439308	0.0360125	0.0306823	0.0241934	0.0236583
a73	0.0252538	0.0400857	0.0788662	0.117675	0.130914	0.105144	0.0725069	0.0559271	0.0421067	0.0331061	0.0683513	0.0607073	0.0548552	0.0458395	0.0338308	0.0348303
a35	0.0181194	0.0279713	0.059706	0.0956496	0.11739	0.105857	0.0781783	0.0639491	0.0503179	0.0348308	0.0818934	0.0678393	0.0615857	0.0516228	0.0404067	0.0446831
a76	0.0176793	0.0223941	0.0429352	0.0731073	0.0898683	0.0801692	0.0612144	0.0626028	0.0605922	0.045067	0.0953059	0.0804001	0.0782938	0.0679488	0.0585587	0.0638629
a44	0.0159314	0.0182887	0.032531	0.0532707	0.0685708	0.0767574	0.0604465	0.0618654	0.0607089	0.0471907	0.0920563	0.0822915	0.0894168	0.0726286	0.0727276	0.0953178
a26	0.0147779	0.0155893	0.0253255	0.0421678	0.0638283	0.0954245	0.0802936	0.0868004	0.0795363	0.0622584	0.108194	0.0804123	0.0715063	0.0513657	0.0488338	0.0736854
