 	cette	manière	de	bercer	les	enfants	est	révolue	</S>
a66	0.22642	0.178931	0.128759	0.134057	0.120834	0.12321	0.0559125	0.0174594	0.0144167
a87	0.198425	0.177344	0.124307	0.169304	0.155664	0.10981	0.035337	0.0129634	0.0168456
a23	0.396401	0.252604	0.125582	0.129029	0.0490498	0.0226784	0.0111217	0.005251	0.0082827
a18	0.275251	0.270058	0.148306	0.200048	0.0607644	0.0229827	0.0088812	0.00491363	0.00879504
a71	0.214275	0.232146	0.187491	0.231412	0.0743147	0.0240103	0.0132134	0.010918	0.0122189
a90	0.333862	0.217634	0.178544	0.157275	0.0602314	0.0250008	0.00913581	0.00975486	0.00856194
a56	0.230055	0.275747	0.209768	0.173159	0.0586751	0.0300988	0.0100346	0.00737561	0.00508756
a94	0.137078	0.217171	0.226436	0.210024	0.109032	0.0547957	0.0198275	0.0149533	0.0106828
a62	0.112195	0.163115	0.201745	0.20581	0.152974	0.0796596	0.0350066	0.0268508	0.0226436
a0	0.0981016	0.148502	0.185886	0.208886	0.168565	0.0892048	0.0400299	0.0298237	0.0310004
a31	0.074193	0.119047	0.175958	0.207352	0.187275	0.108575	0.0510693	0.0382299	0.0383009
a88	0.0737042	0.102949	0.162542	0.199123	0.205609	0.14542	0.0615451	0.0263832	0.0227236
a62	0.0298213	0.0438227	0.091148	0.152058	0.258353	0.217297	0.101153	0.0447822	0.0615664
a21	0.0190597	0.0268234	0.0538168	0.0817701	0.230984	0.249292	0.159628	0.0748445	0.103781
a85	0.0209649	0.0247498	0.0330052	0.0401793	0.145762	0.243467	0.253349	0.113104	0.125417
a79	0.0129823	0.0142057	0.0222261	0.0229752	0.0942641	0.190218	0.20442	0.149825	0.288883
a37	0.00689752	0.00751862	0.0123349	0.0127347	0.0494021	0.13697	0.268094	0.182369	0.32368
a98	0.0138494	0.0133402	0.0197756	0.0183813	0.0456931	0.137092	0.281541	0.18646	0.283866
a92	0.0102199	0.0106755	0.0147755	0.0124513	0.0304522	0.100632	0.229809	0.204519	0.386465
a37	0.00448611	0.00464555	0.0069597	0.00619719	0.017544	0.0681864	0.232377	0.298807	0.360797
a21	0.00384044	0.00264038	0.00333051	0.00286693	0.00856217	0.0322759	0.174564	0.280824	0.491096
a47	0.00132083	0.000617886	0.000742775	0.000718543	0.00486624	0.0216651	0.139357	0.320053	0.510659
a62	0.00250531	0.00140716	0.00159292	0.0010332	0.00403596	0.0143308	0.10731	0.275177	0.592607
a21	0.00154424	0.000845975	0.000932894	0.000622802	0.00246211	0.00739849	0.0598914	0.217284	0.709018
a5	0.000947486	0.00051605	0.000545053	0.000444907	0.00248304	0.0083515	0.0635712	0.257273	0.665868
a36	0.000521181	0.000349857	0.000390169	0.000343046	0.00203739	0.0079983	0.0675813	0.276653	0.644126
a54	0.00315411	0.00207384	0.00190128	0.00134924	0.00272408	0.00590544	0.0405316	0.190079	0.752281
a36	0.000264744	0.000179054	0.000226378	0.000237258	0.00191428	0.00703979	0.0449734	0.237196	0.707969
a27	0.0062954	0.00364334	0.00296806	0.00195728	0.00452348	0.0102863	0.0621459	0.253166	0.655014
a57	0.0638956	0.0366716	0.0300653	0.0173249	0.0339284	0.0525772	0.135485	0.218145	0.411907
a87	0.25354	0.142908	0.0728943	0.043999	0.0427424	0.0522593	0.0958673	0.121391	0.174399
a23	0.323257	0.195195	0.0871081	0.0463493	0.0283523	0.0337815	0.0664536	0.105584	0.11392
a87	0.101111	0.0799214	0.0352708	0.0198233	0.0155299	0.022635	0.0660608	0.214316	0.445332
</S>	0.0151001	0.010594	0.00569857	0.00452946	0.00511531	0.01103	0.0433829	0.148081	0.756468
