 	il	y	a	belle	lurette	qu'	on	s'	est	vu	toi	et	moi	</S>
a66	0.295664	0.156792	0.137944	0.0863186	0.0453061	0.0311033	0.0335809	0.0295112	0.0384143	0.0383035	0.0363765	0.031577	0.0221918	0.0169168
a87	0.228255	0.144155	0.159925	0.114798	0.0631039	0.0564487	0.051231	0.0511052	0.0393602	0.0313946	0.0240773	0.0142932	0.011781	0.0100717
a23	0.120256	0.0785332	0.0872244	0.0857132	0.0894396	0.127929	0.129905	0.0946951	0.0797148	0.0477998	0.0244922	0.0119637	0.0107887	0.0115455
a50	0.118351	0.0759181	0.0782871	0.0828682	0.0722997	0.114364	0.106692	0.100357	0.0782087	0.0624233	0.041258	0.0208668	0.0216378	0.0264686
a0	0.247158	0.13501	0.136679	0.109009	0.0627078	0.0548731	0.0404036	0.0364244	0.0318757	0.0279041	0.0263076	0.0246276	0.0312271	0.0357931
a75	0.257954	0.170131	0.132749	0.0827153	0.0502963	0.0468198	0.0454446	0.0485304	0.0343433	0.0263043	0.0235451	0.0231969	0.0276654	0.0303042
a85	0.165863	0.137268	0.118995	0.0857503	0.0527025	0.0504304	0.0608022	0.0717285	0.0559857	0.0487432	0.0402925	0.0392804	0.0380663	0.0340916
a92	0.0443433	0.049476	0.0539685	0.0550265	0.0617275	0.0861643	0.110928	0.112979	0.0973093	0.0960341	0.0770406	0.0707068	0.0485787	0.0357175
a21	0.0608335	0.0655898	0.077881	0.0677737	0.0507783	0.083057	0.114099	0.115741	0.0954191	0.0898603	0.0642284	0.0519365	0.0342163	0.0285856
a12	0.0499735	0.0464014	0.0535771	0.0600015	0.0878357	0.164804	0.144174	0.114617	0.0868514	0.070862	0.0462225	0.0343097	0.0218175	0.0185524
a62	0.0274112	0.025792	0.0297004	0.0431131	0.0728532	0.148826	0.149484	0.127648	0.11331	0.0957483	0.0610837	0.0471777	0.0303436	0.0275093
a88	0.0124171	0.0114933	0.0112473	0.0214152	0.0429368	0.087141	0.110166	0.110194	0.125164	0.124141	0.121048	0.100562	0.0652459	0.0568294
a75	0.00455226	0.00396837	0.00368099	0.00873692	0.0241425	0.0635446	0.0909346	0.100538	0.121357	0.131336	0.143402	0.133144	0.0863112	0.0843517
a85	0.0032832	0.00291828	0.00271443	0.00525601	0.0161577	0.0262724	0.0612691	0.068941	0.107415	0.154086	0.165468	0.146354	0.11888	0.120985
a47	0.0014565	0.00135867	0.00116715	0.00247583	0.00880863	0.0133331	0.0318316	0.0401624	0.0756904	0.136591	0.176833	0.17155	0.156786	0.181955
a36	0.00048107	0.000378326	0.000253972	0.000478899	0.00213851	0.00474637	0.0109429	0.0193616	0.0491953	0.11377	0.197713	0.204685	0.186344	0.209512
a2	0.00200852	0.00162311	0.000975476	0.000966013	0.00182005	0.00371004	0.0077955	0.0127813	0.0295644	0.0651452	0.14232	0.175332	0.221159	0.334799
a57	0.0210928	0.0224022	0.015765	0.0110458	0.0126121	0.0144516	0.0267165	0.0354267	0.0450866	0.0538772	0.0846305	0.12589	0.20168	0.329323
a87	0.0644986	0.0508663	0.0441139	0.0361871	0.0405795	0.059034	0.0675262	0.063253	0.0613344	0.0639111	0.0847112	0.10204	0.121241	0.140704
a23	0.0872028	0.0556254	0.0456928	0.0375422	0.0431261	0.0604806	0.107698	0.100713	0.0919338	0.0794578	0.0757023	0.0759387	0.0716721	0.0672144
a57	0.016625	0.016236	0.0150334	0.0187997	0.0323836	0.0435121	0.0886202	0.0923214	0.107162	0.139299	0.160005	0.109782	0.0850493	0.0751713
a87	0.00419345	0.00482208	0.00557	0.010545	0.0253438	0.0324665	0.0694376	0.0701269	0.105905	0.146079	0.179425	0.133785	0.106988	0.105312
a23	0.00375256	0.00352151	0.003701	0.00688179	0.0186289	0.0329727	0.0742173	0.0802071	0.103342	0.142733	0.164246	0.125135	0.119536	0.121126
a87	0.00479802	0.00622279	0.0070356	0.0129774	0.0329313	0.0380538	0.0799779	0.0752699	0.1041	0.134689	0.156645	0.132511	0.114738	0.100051
</S>	0.00469426	0.00450334	0.00468891	0.00885426	0.0242249	0.0392407	0.0799552	0.0810553	0.0965479	0.128515	0.146314	0.126325	0.12893	0.126151
