 	il	agrandit	sa	plantation	</S>
a23	0.268688	0.186039	0.18358	0.198936	0.162757
a87	0.417102	0.180629	0.119753	0.146488	0.136029
a23	0.434809	0.213396	0.115683	0.120651	0.11546
a53	0.32557	0.19746	0.137374	0.184865	0.154732
a20	0.473242	0.273661	0.104843	0.0911509	0.0571024
a14	0.553848	0.301084	0.0805001	0.0414305	0.0231375
a35	0.554156	0.304353	0.0858113	0.0344408	0.0212389
a24	0.507242	0.320119	0.102871	0.0425927	0.0271745
a41	0.422448	0.3409	0.137281	0.0592072	0.0401642
a32	0.315777	0.35086	0.180209	0.0852606	0.0678931
a24	0.22712	0.352311	0.22741	0.107305	0.0858535
a41	0.200421	0.321133	0.250188	0.131583	0.0966762
a43	0.123303	0.268844	0.286572	0.169637	0.151644
a11	0.0446088	0.157437	0.299028	0.253675	0.245251
a75	0.0498955	0.163183	0.277249	0.270754	0.238917
a35	0.0445175	0.112225	0.221937	0.265059	0.356261
a66	0.0269953	0.0733539	0.210811	0.297738	0.391102
a90	0.0153414	0.0475987	0.17132	0.311211	0.454528
a35	0.00671719	0.0241177	0.119481	0.292214	0.55747
a66	0.00693252	0.0244144	0.118843	0.31135	0.53846
a75	0.00507554	0.0133577	0.0825388	0.27544	0.623588
a14	0.00266861	0.00848591	0.0551212	0.238845	0.69488
a30	0.00386903	0.010206	0.0596568	0.255608	0.670661
a2	0.0101063	0.0213676	0.0846824	0.271548	0.612295
a57	0.0251373	0.0399547	0.100258	0.247231	0.587419
a87	0.0449061	0.0951538	0.19723	0.275325	0.387385
a23	0.0216172	0.0645028	0.198876	0.309211	0.405793
a87	0.0843922	0.110173	0.177887	0.25901	0.368538
</S>	0.0315788	0.0698159	0.198222	0.309081	0.391303
