 	les	médicaments	que	j'	ai	pris	ont	diminué	mes	maux	de	tête	</S>
a10	0.234793	0.222877	0.120878	0.0942136	0.0864283	0.0855377	0.0460206	0.050882	0.0140634	0.0135138	0.00996674	0.00957104	0.0112548
a30	0.386456	0.148103	0.0494536	0.0467876	0.0331626	0.0293196	0.0202376	0.0209138	0.0358699	0.0526909	0.0426483	0.0559148	0.078442
a87	0.436623	0.146955	0.0581436	0.0436483	0.0405141	0.0330533	0.0216114	0.0213943	0.0186325	0.0268477	0.030287	0.0475241	0.0747664
a99	0.443052	0.148521	0.0554677	0.0323585	0.029625	0.0247669	0.0209827	0.0221058	0.0254768	0.028979	0.0337085	0.0520497	0.0829058
a83	0.391489	0.179808	0.053062	0.0336506	0.0295458	0.0266484	0.0233322	0.029447	0.0308518	0.0454392	0.0396616	0.0514479	0.0656159
a54	0.207063	0.219759	0.108352	0.0807221	0.0684743	0.0725128	0.0372281	0.0297199	0.0202947	0.0268133	0.0341119	0.0372888	0.0576607
a6	0.177813	0.235857	0.163086	0.126951	0.0899167	0.0735247	0.0322304	0.0331866	0.0141541	0.017345	0.0125593	0.0100402	0.0133367
a5	0.0651054	0.128076	0.174091	0.179821	0.139514	0.116242	0.0514895	0.0507948	0.0183227	0.0201894	0.0165651	0.01628	0.0235085
a21	0.0522709	0.0832948	0.10904	0.16187	0.174229	0.186558	0.0726187	0.0715639	0.0227801	0.0197189	0.0130397	0.0138872	0.0191276
a61	0.0743572	0.12435	0.144353	0.168473	0.158965	0.147743	0.0631252	0.0570112	0.0165702	0.0125637	0.00919438	0.0102849	0.0130094
a37	0.0529417	0.0710983	0.0850923	0.11891	0.163387	0.221323	0.0867797	0.0886404	0.0326848	0.0250052	0.0174793	0.0178002	0.0188585
a85	0.042303	0.053933	0.0864064	0.123147	0.168408	0.210113	0.0951283	0.0944164	0.0351137	0.0291333	0.0207152	0.0203368	0.0208453
a61	0.0575	0.0696652	0.0821773	0.107499	0.138448	0.178439	0.112961	0.106454	0.0404676	0.028579	0.0227149	0.026122	0.0289725
a21	0.0620236	0.0746084	0.0947611	0.122075	0.150675	0.171906	0.0873208	0.0970697	0.0346615	0.0304228	0.023956	0.0245836	0.0259358
a41	0.0642261	0.0803638	0.0969032	0.109357	0.122014	0.134483	0.097265	0.10225	0.0518233	0.0398634	0.0307322	0.0336542	0.0370649
a61	0.0474005	0.0490758	0.0396636	0.0365663	0.0523033	0.0957751	0.154237	0.172312	0.112761	0.0602339	0.0476121	0.059143	0.0729162
a75	0.059463	0.0604087	0.0732881	0.0703587	0.0872326	0.145371	0.133269	0.146018	0.0586364	0.0417978	0.0336011	0.0403237	0.0502323
a85	0.0569585	0.051716	0.0470684	0.0342152	0.0356213	0.0568325	0.107873	0.137339	0.137425	0.0831065	0.0658393	0.0821346	0.103871
a37	0.0514609	0.0443491	0.0402098	0.0318401	0.0361457	0.0596438	0.0997111	0.126052	0.136347	0.0932256	0.0801553	0.0927474	0.108113
a96	0.0220445	0.0178936	0.0303111	0.0441601	0.0671209	0.118235	0.136953	0.163316	0.100895	0.0620765	0.0526686	0.0753061	0.10902
a88	0.0277133	0.0248021	0.0378176	0.0484757	0.0637463	0.113613	0.126901	0.156006	0.117223	0.0834493	0.0575155	0.0644923	0.078244
a71	0.00892997	0.00888242	0.0184556	0.033657	0.0592126	0.127769	0.149512	0.187589	0.118457	0.0950994	0.0600591	0.0628644	0.0695117
a0	0.00377325	0.00437931	0.0089899	0.0218865	0.0444876	0.104092	0.140963	0.175928	0.111956	0.097678	0.0694672	0.0954727	0.120926
a47	0.00358508	0.00390967	0.0087315	0.0237249	0.0461028	0.0955567	0.0965348	0.116089	0.106826	0.109901	0.087613	0.127995	0.173431
a96	0.00364518	0.003782	0.00799032	0.0206967	0.0414827	0.101893	0.120521	0.148551	0.113835	0.114962	0.0774466	0.107858	0.137337
a61	0.00303018	0.00307013	0.00691694	0.0178632	0.0376709	0.101314	0.145204	0.180752	0.142059	0.112428	0.0743763	0.0813202	0.093996
a0	0.00393408	0.00402397	0.00906749	0.0212924	0.0373687	0.0880461	0.142343	0.17176	0.153442	0.120529	0.0789569	0.0803884	0.0888478
a75	0.00226237	0.00254602	0.004527	0.00923874	0.0175697	0.0489948	0.0808782	0.104152	0.181022	0.152372	0.110951	0.129411	0.156076
a5	0.00411764	0.00436011	0.0112028	0.0189192	0.0285288	0.0486012	0.0719261	0.0841415	0.113665	0.112165	0.117339	0.171014	0.214019
a61	0.00291442	0.00297882	0.00675136	0.0150606	0.0277019	0.0607162	0.0909475	0.105387	0.155076	0.138787	0.111703	0.125488	0.15649
a96	0.00160465	0.00173502	0.00356565	0.0075711	0.0149509	0.0358328	0.0641952	0.0771111	0.174055	0.15	0.136324	0.150916	0.182138
a62	0.00111393	0.00113076	0.00220639	0.00445687	0.0108596	0.0318134	0.0503148	0.0588533	0.153482	0.147064	0.141202	0.171091	0.226412
a47	0.0013427	0.00127962	0.002603	0.00533737	0.0116498	0.0295069	0.0449474	0.0499384	0.14117	0.134089	0.140408	0.17706	0.260668
a70	0.00100022	0.00107374	0.00219419	0.00429922	0.00935916	0.0255672	0.0392476	0.0473201	0.134453	0.130523	0.143909	0.187896	0.273157
a13	0.000660428	0.000707239	0.00119004	0.00210657	0.00437725	0.0127296	0.0230296	0.0260533	0.104562	0.109004	0.147313	0.23114	0.337127
a93	0.000791529	0.000709149	0.00125271	0.00222472	0.00313141	0.00603556	0.00988682	0.0111999	0.0904828	0.102538	0.151389	0.268126	0.352233
a4	0.000335003	0.000225331	0.000348056	0.000686842	0.00116186	0.00287401	0.00552522	0.00742574	0.0791676	0.0936654	0.148363	0.279362	0.38086
a13	0.000323931	0.000257637	0.000407621	0.000791563	0.00139453	0.00347873	0.00603456	0.00720931	0.0545649	0.0750493	0.13402	0.29078	0.425687
a11	0.00235834	0.00144722	0.00192758	0.00266156	0.00304862	0.00387399	0.00674468	0.00904393	0.0678516	0.070824	0.134231	0.291146	0.404842
a90	0.00476158	0.00255837	0.00312709	0.00383076	0.00408132	0.00446865	0.00923805	0.0128637	0.0878028	0.0961079	0.152343	0.280041	0.338776
a15	0.000168753	0.000102371	0.000154509	0.000313737	0.000518677	0.00120626	0.00312097	0.00339961	0.0321875	0.0601369	0.133581	0.325468	0.439641
a7	0.000160161	8.31428e-05	0.000113205	0.000247057	0.00040595	0.000777176	0.0022984	0.00273532	0.0290535	0.0399793	0.0968284	0.315561	0.511757
a26	0.000895602	0.000518258	0.000642084	0.000979944	0.00109009	0.00119711	0.00256335	0.00326167	0.0294171	0.0397458	0.100793	0.31744	0.501456
a82	0.0245665	0.0123745	0.0129601	0.0141699	0.012306	0.00882704	0.0167411	0.0173234	0.0633295	0.0857474	0.129454	0.28022	0.32198
a87	0.0365212	0.0194384	0.0179441	0.0181833	0.0151903	0.0102716	0.0238478	0.026991	0.0785295	0.0967516	0.117132	0.243046	0.296153
a23	0.131033	0.0943822	0.0790383	0.0584809	0.0380634	0.0224866	0.0328589	0.0445713	0.093966	0.0928391	0.0850372	0.106093	0.12115
a87	0.0241858	0.0132628	0.0127916	0.0138823	0.0100087	0.0082142	0.0241706	0.0387413	0.179978	0.16579	0.145007	0.169933	0.194035
</S>	0.00392511	0.00248504	0.00303812	0.00484384	0.00531515	0.00637817	0.0297039	0.0512018	0.192203	0.14401	0.142909	0.188178	0.225809
