 	ses	yeux	se	sont	remplis	de	larmes	</S>
a66	0.182386	0.198364	0.217351	0.23251	0.102448	0.0270891	0.0199903	0.0198616
a10	0.289326	0.183157	0.158528	0.177254	0.0684638	0.0385858	0.0363898	0.0482952
a87	0.414467	0.250632	0.192084	0.0922739	0.0178439	0.00934659	0.00987137	0.0134816
a10	0.386429	0.254673	0.194551	0.107849	0.0263482	0.00852611	0.0092803	0.0123435
a87	0.359968	0.240812	0.195446	0.121112	0.0356872	0.0143293	0.0143865	0.0182592
a10	0.332118	0.246186	0.204456	0.124526	0.042216	0.0147023	0.0153408	0.0204545
a87	0.361982	0.232303	0.18222	0.118276	0.0410579	0.0189977	0.0199021	0.0252612
a23	0.340609	0.23771	0.190166	0.124037	0.0470659	0.0183557	0.0180852	0.0239709
a79	0.274232	0.181564	0.131084	0.098563	0.0815765	0.0662252	0.0747928	0.0919627
a44	0.225671	0.211529	0.175583	0.135581	0.14701	0.0334157	0.0293249	0.0418844
a13	0.1263	0.19673	0.175148	0.141492	0.242389	0.0518089	0.0311522	0.0349803
a70	0.0835948	0.130019	0.146013	0.132267	0.233119	0.11956	0.0771591	0.0782678
a11	0.0913837	0.139095	0.170553	0.143236	0.181369	0.11269	0.080885	0.0807884
a56	0.0892371	0.131852	0.172114	0.139491	0.137763	0.114559	0.1018	0.113185
a94	0.0683952	0.100631	0.126224	0.11892	0.147168	0.165501	0.134806	0.138355
a70	0.0383219	0.0525413	0.0699464	0.0797931	0.112496	0.203563	0.208052	0.235286
a83	0.0239443	0.0297622	0.0426584	0.0549588	0.086218	0.210512	0.25695	0.294996
a13	0.0185266	0.0217407	0.0297238	0.0380896	0.0562749	0.196571	0.293818	0.345255
a50	0.012385	0.0131504	0.0176441	0.024343	0.0409552	0.171869	0.313533	0.40612
a83	0.00928	0.0087875	0.0108137	0.014656	0.0278643	0.166178	0.340881	0.42154
a54	0.00604843	0.00594128	0.00679611	0.010224	0.0231175	0.15497	0.361143	0.43176
a36	0.0130571	0.0140471	0.0155377	0.0196368	0.0351552	0.154807	0.333974	0.413785
a27	0.00342786	0.00395903	0.00352397	0.00452486	0.012035	0.0646645	0.291892	0.615973
a11	0.00699644	0.00584507	0.00441862	0.00486235	0.0117878	0.0726031	0.297415	0.596072
a36	0.040878	0.0347905	0.0233283	0.0204245	0.02525	0.104139	0.304993	0.446197
a37	0.0365647	0.0302202	0.0201591	0.0180682	0.0251203	0.0999855	0.302139	0.467743
a66	0.0319761	0.024626	0.0172512	0.0158385	0.0233684	0.123947	0.315407	0.447586
a26	0.0663835	0.0539567	0.0386307	0.0321521	0.0330457	0.101024	0.259169	0.415638
a38	0.145551	0.11729	0.0793335	0.0618719	0.0387866	0.0740005	0.179825	0.303341
a10	0.159944	0.125462	0.0876209	0.0642052	0.0327079	0.0702161	0.174697	0.285147
a97	0.165131	0.120136	0.0838215	0.0579201	0.028787	0.0596748	0.174701	0.309828
</S>	0.163631	0.137811	0.109108	0.0830842	0.0365313	0.052171	0.147448	0.270215
