 	cet	enfant	sait	vider	le	silure	</S>
a23	0.591316	0.179623	0.0653353	0.0472193	0.0471567	0.0303625	0.038987
a87	0.544344	0.133847	0.0800024	0.0601141	0.0610099	0.0542848	0.0663981
a10	0.236288	0.181348	0.194691	0.124363	0.0857921	0.0742788	0.103239
a87	0.351016	0.178411	0.151802	0.0761256	0.0666219	0.0707298	0.105294
a23	0.302344	0.157238	0.140894	0.0889464	0.0929635	0.0956287	0.121985
a53	0.389323	0.159694	0.115256	0.0770584	0.0902406	0.0767756	0.0916524
a54	0.455603	0.231055	0.107852	0.0488416	0.0478988	0.0389473	0.0698023
a37	0.288676	0.187575	0.148202	0.125147	0.102846	0.066639	0.080914
a79	0.180151	0.159243	0.185679	0.157432	0.107719	0.0898739	0.119901
a93	0.120289	0.139548	0.166822	0.164091	0.13369	0.118502	0.157058
a90	0.0746296	0.0923501	0.138146	0.152374	0.139479	0.165238	0.237783
a92	0.0468116	0.0756837	0.121476	0.158842	0.17862	0.190342	0.228224
a85	0.0282849	0.0534306	0.0945724	0.153918	0.185842	0.238135	0.245818
a47	0.0962035	0.119865	0.152726	0.158052	0.155697	0.162555	0.154901
a5	0.0654213	0.0865714	0.125945	0.158391	0.156149	0.178486	0.229037
a61	0.0778824	0.0927602	0.146406	0.219942	0.166461	0.139886	0.156662
a62	0.0554799	0.0693136	0.117411	0.239364	0.203207	0.172223	0.143001
a75	0.0396994	0.0547008	0.0959466	0.247657	0.233136	0.185174	0.143686
a96	0.0335321	0.0323699	0.0448928	0.087561	0.108525	0.254895	0.438225
a90	0.0389795	0.0477106	0.0757049	0.161555	0.1722	0.238918	0.264932
a69	0.0203038	0.0307546	0.0538411	0.129239	0.145121	0.268044	0.352696
a4	0.00756826	0.0148447	0.0313655	0.096924	0.115688	0.268216	0.465393
a54	0.00657755	0.012664	0.0254375	0.0730954	0.109609	0.278764	0.493852
a6	0.00504814	0.0102034	0.0206883	0.0642555	0.0863698	0.237173	0.576262
a37	0.00722845	0.0127346	0.0225708	0.061065	0.0786282	0.211044	0.606729
a75	0.00291111	0.00465576	0.00835191	0.0288403	0.0567876	0.237553	0.6609
a6	0.00314741	0.00537075	0.0104111	0.0376344	0.0636646	0.238301	0.641471
a56	0.00186799	0.00379528	0.00864788	0.0318296	0.0542532	0.230864	0.668742
a96	0.000696332	0.00137529	0.00257577	0.00982022	0.0251166	0.193791	0.766624
a90	0.000744517	0.00126332	0.00182083	0.00542353	0.0149904	0.146166	0.829591
a70	0.000350876	0.000679416	0.00119804	0.00464279	0.0137831	0.147297	0.832049
a94	0.000965736	0.00143661	0.00193106	0.00536223	0.0146195	0.138383	0.837302
a58	0.000528546	0.000817929	0.00119285	0.00402189	0.0126189	0.13786	0.84296
a82	0.00218043	0.00241792	0.00349225	0.0156088	0.0387452	0.201307	0.736249
a87	0.0317328	0.0185504	0.0156541	0.0385544	0.0754257	0.245537	0.574546
a10	0.191754	0.114597	0.069306	0.0807816	0.0931603	0.170784	0.279617
a87	0.227796	0.153401	0.0912417	0.105606	0.0943139	0.145174	0.182468
a23	0.118427	0.0761678	0.0522554	0.0830517	0.0980059	0.223109	0.348984
a87	0.144437	0.124341	0.0790852	0.0890106	0.120669	0.170309	0.272149
</S>	0.0560073	0.0521804	0.0498435	0.113838	0.162498	0.228595	0.337038
