 	cette	manière	de	cajoler	les	enfants	est	celle	des	mères	d'	en	temps	</S>
a66	0.14898	0.114598	0.108981	0.0975527	0.0896607	0.0908094	0.100525	0.0936633	0.0542264	0.0413968	0.0213024	0.015361	0.0123012	0.0106426
a87	0.22688	0.124113	0.0897586	0.0817937	0.0839553	0.0595034	0.0548797	0.0675024	0.0586769	0.0335652	0.0252828	0.0308493	0.0319705	0.0312692
a23	0.322455	0.192572	0.135709	0.094403	0.0484053	0.0330143	0.0249243	0.0283016	0.0198531	0.0137921	0.0127106	0.020108	0.0251472	0.0286053
a87	0.27344	0.212464	0.169046	0.145291	0.0663736	0.0423143	0.0265325	0.0220945	0.00964247	0.0053909	0.00464157	0.00675254	0.00750628	0.00850954
a10	0.27673	0.228736	0.197995	0.132917	0.0503882	0.0307803	0.0198946	0.0186348	0.00963169	0.00581355	0.00489343	0.00668141	0.00797552	0.00892831
a87	0.313035	0.223302	0.177929	0.10712	0.0469446	0.0300235	0.0213222	0.0202415	0.0114686	0.00796745	0.00736377	0.0101976	0.011422	0.0116619
a10	0.282707	0.198359	0.169879	0.109117	0.0604303	0.0398834	0.0297642	0.0292743	0.0163801	0.0106616	0.00997241	0.0141361	0.0147664	0.0146697
a38	0.367245	0.222432	0.149951	0.0855458	0.0402058	0.0268562	0.0205614	0.0182765	0.01131	0.00887523	0.00874169	0.0132617	0.0137954	0.0129423
a12	0.357203	0.26741	0.129305	0.0859854	0.0263285	0.0203392	0.0181787	0.0153462	0.0112017	0.00977385	0.011626	0.0186308	0.0161925	0.0124794
a18	0.242968	0.292962	0.199554	0.114372	0.0498455	0.0289477	0.0181504	0.0142343	0.00731067	0.00555394	0.00579429	0.00741109	0.00661825	0.00627745
a93	0.181355	0.278536	0.190289	0.118931	0.0632445	0.039412	0.0286195	0.0253193	0.0128843	0.00888778	0.00916141	0.0129049	0.0137725	0.0166828
a56	0.132041	0.20364	0.19298	0.151922	0.117646	0.0679886	0.0435612	0.0293636	0.0126083	0.00832637	0.00807216	0.0112586	0.0105727	0.0100193
a43	0.135498	0.207211	0.159599	0.133752	0.131613	0.0772882	0.050748	0.032183	0.0136392	0.00902284	0.00908564	0.0129431	0.0128029	0.0146154
a0	0.0827666	0.122505	0.129146	0.149507	0.15959	0.102872	0.0770933	0.0513734	0.0245248	0.0160806	0.0149017	0.0191239	0.0216147	0.028902
a31	0.089683	0.114112	0.103118	0.121719	0.129104	0.0890354	0.0726279	0.0558215	0.0321858	0.022395	0.0232059	0.0309752	0.0426459	0.0733708
a21	0.0457947	0.0558459	0.0875757	0.12714	0.156632	0.133031	0.125295	0.0925214	0.0442836	0.0261644	0.0213694	0.021389	0.0251808	0.0377779
a5	0.0380255	0.0391184	0.0630745	0.1056	0.124221	0.125222	0.144799	0.128321	0.0733949	0.0456981	0.0325538	0.0255154	0.0247675	0.0296885
a98	0.0228791	0.0227368	0.0424738	0.104036	0.131595	0.144436	0.164112	0.133988	0.0764784	0.049698	0.0349867	0.0255492	0.0227157	0.0243166
a85	0.00675086	0.00651309	0.0152822	0.0543106	0.114808	0.133562	0.163918	0.145372	0.108902	0.0857792	0.0579496	0.0371962	0.0327899	0.036866
a37	0.00508978	0.00498878	0.0136627	0.0537933	0.103355	0.126647	0.152033	0.131553	0.108643	0.0968953	0.0703008	0.0482049	0.0415489	0.0432835
a21	0.00948681	0.00834922	0.0155711	0.0599656	0.0971945	0.128214	0.155877	0.130132	0.116726	0.0879214	0.0533438	0.039477	0.0410505	0.0566913
a47	0.00657031	0.00626388	0.0119968	0.0449436	0.0785994	0.109714	0.132809	0.132599	0.142581	0.128881	0.0703932	0.0444531	0.0407729	0.0494226
a62	0.00946791	0.00834256	0.0149424	0.0482839	0.0767976	0.105994	0.131024	0.123793	0.1409	0.123554	0.0670894	0.0438053	0.0442942	0.0617118
a47	0.00829856	0.00714953	0.0128168	0.0395582	0.0711652	0.0979994	0.118023	0.118347	0.148406	0.151201	0.0830906	0.0490675	0.0432843	0.051593
a88	0.00901286	0.00763946	0.0151816	0.0449198	0.0732518	0.0943187	0.109262	0.104305	0.135972	0.136757	0.0799861	0.053822	0.0578851	0.0776854
a62	0.00816424	0.00635904	0.0112358	0.0304696	0.0433673	0.0548614	0.0695202	0.074349	0.132136	0.158817	0.10754	0.0792673	0.0965254	0.127388
a21	0.00837826	0.00672886	0.0120697	0.0287567	0.0351946	0.0457967	0.058904	0.0586838	0.104147	0.143195	0.109355	0.0957303	0.126837	0.166222
a85	0.00754318	0.00542138	0.00712495	0.0155932	0.0219469	0.0283968	0.0361232	0.0489704	0.099793	0.161	0.128897	0.125374	0.144953	0.168863
a6	0.00510473	0.00344759	0.00475071	0.00937879	0.0150548	0.0193546	0.0245779	0.0283322	0.0801017	0.150265	0.115745	0.111082	0.174747	0.258057
a92	0.0033974	0.00266804	0.00517112	0.01216	0.0187413	0.0238767	0.0293012	0.0348755	0.0811459	0.137543	0.117581	0.117145	0.163232	0.253162
a37	0.00249527	0.00215325	0.00411788	0.00989033	0.0171461	0.0226422	0.0273531	0.0339026	0.0777289	0.131325	0.119339	0.129323	0.176848	0.245735
