 	les	hommes	se	rendent	dans	le	sanctuaire	du	kyebhe-kyebhe	</S>
a66	0.150207	0.191955	0.27583	0.138252	0.0813179	0.0596438	0.0510968	0.0294218	0.0174103	0.00486536
a87	0.455896	0.175526	0.168222	0.0251742	0.0178299	0.0229962	0.049682	0.0447407	0.0294112	0.0105228
a23	0.442337	0.132916	0.15084	0.0450728	0.0390155	0.0417722	0.0552851	0.045428	0.0325325	0.0148014
a40	0.454949	0.11743	0.100957	0.0461604	0.0502941	0.0539369	0.0703279	0.0434856	0.0313194	0.03114
a73	0.220099	0.245841	0.252257	0.0851616	0.050108	0.0324428	0.0379367	0.0317804	0.0230607	0.0213131
a7	0.137774	0.166425	0.207006	0.141978	0.124576	0.0796754	0.0734409	0.0356529	0.0203329	0.0131398
a20	0.141263	0.121063	0.121204	0.114442	0.141263	0.113223	0.110428	0.0691916	0.045448	0.022475
a47	0.0932836	0.118946	0.112092	0.152037	0.167796	0.131126	0.115325	0.0612219	0.0326722	0.0154994
a15	0.0714437	0.099439	0.0964478	0.146383	0.164685	0.14572	0.146997	0.0727822	0.0382408	0.0178602
a7	0.114526	0.142207	0.122803	0.146858	0.145015	0.121356	0.108474	0.0549418	0.0267043	0.0171139
a79	0.0902809	0.101731	0.0786598	0.0950098	0.132173	0.166725	0.164685	0.0825839	0.0499289	0.0382222
a15	0.105697	0.133055	0.094769	0.113394	0.136437	0.150278	0.134786	0.0715681	0.0364622	0.0235545
a98	0.0960106	0.157534	0.120878	0.159543	0.135093	0.107115	0.0961268	0.0564661	0.0417969	0.0294365
a15	0.0606953	0.131081	0.098849	0.131438	0.136583	0.142807	0.136873	0.0763836	0.0514298	0.0338611
a98	0.03391	0.086267	0.069342	0.12948	0.151157	0.162698	0.152776	0.103744	0.0686996	0.041926
a6	0.0499466	0.117423	0.090393	0.135527	0.146506	0.145801	0.12697	0.0768257	0.0598979	0.0507107
a0	0.0230836	0.0665822	0.0515561	0.0920785	0.123631	0.129357	0.133033	0.121053	0.141417	0.118209
a90	0.00920254	0.0211527	0.0146807	0.0289108	0.0403803	0.0495324	0.0628129	0.120711	0.23198	0.420636
a25	0.00663483	0.0151517	0.0115507	0.0234892	0.0297154	0.0399855	0.057008	0.111058	0.245801	0.459605
a92	0.00306031	0.00695059	0.00539907	0.0155989	0.0205104	0.0259887	0.0415925	0.0921263	0.234022	0.554751
a85	0.00336077	0.0062908	0.00554191	0.0136046	0.0143818	0.0183961	0.0281752	0.0745573	0.227132	0.60856
a6	0.0018331	0.00375754	0.00287728	0.00702912	0.0079437	0.0113474	0.0191145	0.0525867	0.194402	0.699108
a36	0.00201774	0.00396032	0.00308967	0.00691473	0.00621291	0.00835265	0.0133845	0.0478188	0.174355	0.733894
a12	0.00150456	0.00288539	0.00196265	0.00816539	0.00766423	0.0110364	0.0153153	0.0405428	0.128886	0.782037
a96	0.00078554	0.00146829	0.00129145	0.00472349	0.00736377	0.01064	0.015169	0.0380152	0.128915	0.791629
a61	0.000400116	0.000998546	0.000966105	0.00293467	0.00483432	0.00951899	0.017316	0.0551007	0.144443	0.763488
a88	0.000608946	0.00125873	0.00142565	0.00430256	0.00766212	0.0136384	0.0247408	0.06414	0.163128	0.719094
a24	0.000482301	0.00130457	0.00136053	0.00376079	0.00657959	0.0127002	0.0234093	0.0606175	0.144288	0.745497
a88	0.00322895	0.00770424	0.00772451	0.0227386	0.0321943	0.041712	0.0640286	0.0966623	0.18044	0.543566
a71	0.00157563	0.0036954	0.00354185	0.0123865	0.0202219	0.0317878	0.053295	0.108484	0.184377	0.580635
a9	0.0149489	0.0276085	0.033391	0.0826991	0.0966596	0.116179	0.137727	0.141792	0.139206	0.209789
a10	0.1244	0.0777591	0.0942459	0.102046	0.086216	0.115878	0.133354	0.10423	0.076942	0.0849296
a87	0.170101	0.106727	0.115394	0.0863188	0.0661025	0.0944258	0.111879	0.0968298	0.0739417	0.0782802
a23	0.137923	0.114274	0.116496	0.0795263	0.0648736	0.107405	0.121795	0.103542	0.0782677	0.0758969
a87	0.122018	0.119596	0.053396	0.0522402	0.0293472	0.0349141	0.036113	0.0838023	0.11833	0.350243
</S>	0.0224856	0.0156224	0.00845898	0.0122339	0.0107475	0.0202869	0.0344806	0.0848619	0.181041	0.609781
