 	un	petit	enfant	s'	est	noyé	dans	le	fleuve	</S>
a66	0.341533	0.256461	0.155456	0.0785411	0.0536986	0.0434975	0.0272487	0.018725	0.013402	0.0114367
a87	0.414283	0.272634	0.114491	0.0613362	0.041669	0.0356715	0.0234527	0.0150177	0.0112054	0.0102397
a23	0.443441	0.27355	0.136167	0.0691365	0.0284336	0.0150718	0.0079517	0.00671728	0.00839124	0.0111389
a40	0.376468	0.203218	0.103162	0.0703302	0.0521896	0.0345194	0.0370265	0.0351605	0.0389126	0.0490129
a6	0.425652	0.250637	0.107315	0.0576724	0.0385128	0.0301555	0.0281592	0.0240473	0.0187277	0.0191216
a5	0.201288	0.22267	0.182583	0.162728	0.106133	0.0546877	0.0289743	0.0174658	0.0120004	0.0114692
a12	0.145005	0.178522	0.169078	0.208061	0.160634	0.080253	0.0291199	0.0126907	0.00843366	0.00820337
a43	0.165192	0.191447	0.165109	0.192694	0.1521	0.0695099	0.0296375	0.0130007	0.0102287	0.0110809
a75	0.0837868	0.123042	0.152495	0.221987	0.216317	0.109799	0.0413428	0.0185095	0.0151968	0.0175233
a5	0.0448248	0.0766403	0.120069	0.180399	0.226476	0.169488	0.077356	0.0401026	0.0317965	0.0328475
a61	0.0534898	0.076332	0.116863	0.142942	0.196401	0.172032	0.0919725	0.0479168	0.0453281	0.0567232
a47	0.0355724	0.0464953	0.078076	0.0969545	0.155846	0.18415	0.150022	0.0836849	0.0747099	0.0944888
a56	0.026687	0.0318265	0.0579358	0.0831225	0.140564	0.188553	0.165898	0.103353	0.0901303	0.11193
a25	0.0169617	0.0178329	0.0295217	0.0408224	0.0773463	0.129091	0.186259	0.169535	0.152037	0.180593
a92	0.00282771	0.00366044	0.00846842	0.0157377	0.041566	0.107126	0.193849	0.220238	0.195918	0.210609
a37	0.00320223	0.00372768	0.0080787	0.0119095	0.0239822	0.0562189	0.129091	0.228516	0.249666	0.285609
a75	0.00664115	0.00601789	0.00920814	0.011656	0.0179963	0.0353904	0.073426	0.168353	0.284866	0.386445
a5	0.0010775	0.00110716	0.00225496	0.00295892	0.00604348	0.0177975	0.0554557	0.175569	0.334742	0.402994
a61	0.00353907	0.00348475	0.0055543	0.00674976	0.0114527	0.0311253	0.0698782	0.176035	0.308728	0.383453
a18	0.00153853	0.00159992	0.00278505	0.00357466	0.0065768	0.0187741	0.0443083	0.136833	0.320153	0.463857
a71	0.00200553	0.00165396	0.00172789	0.0020518	0.00440032	0.0157516	0.0447325	0.112698	0.268744	0.546234
a9	0.0180738	0.011575	0.0119244	0.0132946	0.0178213	0.0352822	0.0756905	0.136889	0.241633	0.437817
a10	0.362031	0.192475	0.129316	0.0897528	0.0568642	0.0476923	0.034412	0.0257654	0.0264167	0.035274
a87	0.322518	0.214311	0.139059	0.0924165	0.0522847	0.0374808	0.0326128	0.0344376	0.036138	0.0387415
a23	0.282285	0.208772	0.149444	0.103506	0.0554395	0.0375828	0.0286101	0.0334122	0.0452148	0.0557337
a87	0.207419	0.144665	0.105723	0.0767021	0.0416099	0.0323596	0.0399189	0.0665127	0.121923	0.163167
</S>	0.0392523	0.031243	0.0270807	0.0272636	0.0226905	0.0294387	0.049169	0.124682	0.263335	0.385845
