 	j'	ai	la	nausée	</S>
a15	0.516261	0.317021	0.119271	0.0361166	0.0113303
a66	0.524895	0.316165	0.090715	0.0356082	0.0326174
a87	0.512547	0.35791	0.0839767	0.0245932	0.0209726
a23	0.502341	0.335988	0.101048	0.0371145	0.0235086
a99	0.456031	0.286548	0.116672	0.0819033	0.0588459
a53	0.324348	0.259236	0.16155	0.143191	0.111676
a20	0.288576	0.337668	0.266846	0.0846948	0.0222156
a4	0.17109	0.25748	0.323987	0.202163	0.0452802
a93	0.0695084	0.108434	0.217041	0.442377	0.16264
a44	0.0534948	0.0628037	0.119911	0.404662	0.359128
a4	0.0452766	0.0605951	0.127965	0.395583	0.37058
a99	0.0167328	0.0216892	0.0605692	0.371435	0.529574
a53	0.0108964	0.0116105	0.0422678	0.308365	0.62686
a93	0.0105679	0.0120209	0.0372435	0.274758	0.66541
a70	0.0137269	0.015715	0.0460309	0.279907	0.64462
a83	0.00366053	0.00373919	0.0162343	0.158924	0.817442
a50	0.00266408	0.00294862	0.0139499	0.139597	0.840841
a94	0.0170547	0.0227159	0.0541057	0.156829	0.749295
a13	0.015005	0.0211366	0.0591948	0.181373	0.723291
a24	0.0326703	0.0306268	0.055113	0.152352	0.729238
a71	0.113992	0.0985033	0.117452	0.19056	0.479492
a25	0.100497	0.0698156	0.069006	0.146271	0.61441
a3	0.0938489	0.0641555	0.0636276	0.148147	0.630221
a87	0.346676	0.229247	0.158139	0.0973413	0.168596
a10	0.387271	0.266583	0.163914	0.0883557	0.0938766
a87	0.295393	0.212424	0.182225	0.126706	0.183251
a23	0.246817	0.213884	0.220258	0.150838	0.168203
a87	0.399226	0.245064	0.167772	0.082143	0.105795
</S>	0.321685	0.202525	0.161156	0.131466	0.183168
