 	va	nettoyer	les	assiettes	</S>
a23	0.410089	0.20043	0.16017	0.11988	0.109429
a87	0.389688	0.191779	0.143027	0.137583	0.137924
a23	0.339279	0.241389	0.169668	0.128582	0.121083
a99	0.360151	0.286598	0.17003	0.110933	0.0722881
a38	0.605272	0.276846	0.0730761	0.0283981	0.0164068
a90	0.551515	0.308629	0.0997799	0.027135	0.0129411
a76	0.43193	0.339794	0.151362	0.0502886	0.0266248
a90	0.473383	0.311528	0.133754	0.0508639	0.0304701
a32	0.463471	0.347265	0.127596	0.0395537	0.0221152
a90	0.39376	0.341086	0.155658	0.0661128	0.0433838
a98	0.382252	0.33632	0.163839	0.0705229	0.0470668
a32	0.25757	0.291365	0.18657	0.141549	0.122946
a76	0.146095	0.265822	0.235058	0.192685	0.16034
a73	0.0869825	0.183677	0.236712	0.25975	0.232879
a32	0.0826549	0.218131	0.254453	0.238764	0.205997
a75	0.0276428	0.0750478	0.170299	0.312396	0.414614
a73	0.0223303	0.0592033	0.144173	0.338205	0.436089
a94	0.0262603	0.0604436	0.139738	0.340403	0.433155
a98	0.0212701	0.0477363	0.080367	0.286064	0.564562
a71	0.0284913	0.0473114	0.114552	0.323206	0.486439
a25	0.0182721	0.0392296	0.0638273	0.258149	0.620522
a87	0.0151756	0.0292323	0.060963	0.250062	0.644567
a23	0.0113485	0.0272268	0.0892599	0.286002	0.586163
a10	0.0372509	0.064874	0.129822	0.263796	0.504258
</S>	0.0205878	0.0456145	0.140185	0.29397	0.499643
