 	l'	homme	tirait	calmement	des	bouffées	de	sa	pipe	</S>
a23	0.299567	0.139966	0.140966	0.171111	0.112359	0.0362869	0.0211017	0.0231951	0.02557	0.0298766
a83	0.515211	0.231086	0.0532061	0.0314976	0.0245785	0.0203219	0.0155223	0.0233697	0.032023	0.0531832
a18	0.28234	0.228195	0.083845	0.0309656	0.0225213	0.0327581	0.0303133	0.0512236	0.086283	0.151555
a54	0.489345	0.194094	0.0876973	0.0592813	0.0424983	0.0183804	0.0133187	0.0188277	0.0315876	0.0449698
a47	0.399399	0.235944	0.0826513	0.0337677	0.0376154	0.0363366	0.0303356	0.0388694	0.0463442	0.0587373
a36	0.28457	0.250846	0.121341	0.0426092	0.0315666	0.0244479	0.029589	0.0496387	0.0697936	0.0955979
a75	0.299845	0.313163	0.143968	0.046921	0.0300466	0.0192261	0.0201887	0.0307127	0.0411562	0.0547732
a5	0.287702	0.271402	0.123208	0.0594213	0.0376715	0.0221863	0.021577	0.0369892	0.060414	0.0794287
a85	0.253808	0.306099	0.164966	0.0812161	0.0462261	0.025325	0.0200141	0.0259768	0.0352095	0.0411599
a6	0.0915336	0.196944	0.195482	0.130742	0.0721544	0.0509214	0.0565422	0.0583998	0.0724901	0.0747912
a61	0.11261	0.186743	0.177494	0.116884	0.0669965	0.055051	0.0548797	0.0608072	0.0816896	0.0868447
a75	0.153937	0.216701	0.200303	0.143608	0.06555	0.0381585	0.0323049	0.0387391	0.0508191	0.0598781
a47	0.123711	0.137323	0.083413	0.0470203	0.0420816	0.0636598	0.0968352	0.110636	0.138688	0.156631
a37	0.0696665	0.076137	0.0626491	0.0562204	0.061684	0.0721548	0.065471	0.102791	0.178717	0.25451
a66	0.12247	0.127211	0.0920727	0.0676023	0.0944173	0.086356	0.0513093	0.0686715	0.11145	0.17844
a75	0.0644013	0.0577547	0.0397542	0.0351011	0.0793603	0.118916	0.075504	0.105055	0.161695	0.262459
a85	0.0466561	0.0387457	0.0274745	0.0236741	0.0417898	0.0931983	0.128049	0.156016	0.205194	0.239202
a79	0.0394056	0.0299426	0.0238305	0.0271338	0.0497343	0.0874043	0.130106	0.169382	0.222935	0.220125
a15	0.0209654	0.0168991	0.0140041	0.0155016	0.0365572	0.109499	0.157125	0.174161	0.2317	0.223587
a79	0.0154694	0.0123771	0.010939	0.0126755	0.0248835	0.0909973	0.140009	0.180818	0.260405	0.251426
a7	0.0157659	0.0139384	0.0139691	0.0143994	0.0282878	0.110575	0.167253	0.170501	0.23007	0.235241
a11	0.0107454	0.00672787	0.00434487	0.00384278	0.0110677	0.0572347	0.0988431	0.148162	0.258336	0.400696
a56	0.00433592	0.00264151	0.00157542	0.00154077	0.00554684	0.0370629	0.0661314	0.119298	0.260819	0.501048
a4	0.00378835	0.00213745	0.00141282	0.00169837	0.00845726	0.0516638	0.111457	0.171115	0.278019	0.37025
a57	0.0013788	0.000964365	0.000854183	0.00103812	0.00377342	0.026886	0.0789788	0.171852	0.293622	0.420653
a3	0.00114074	0.000452244	0.000292231	0.000221323	0.000908254	0.0117497	0.0526535	0.140169	0.300517	0.491896
a10	0.0338611	0.0173625	0.00614017	0.00398994	0.0085775	0.0344292	0.077407	0.144491	0.2481	0.425642
a24	0.0702569	0.0324521	0.0126356	0.0139161	0.0355995	0.0711829	0.138391	0.172098	0.196767	0.2567
a83	0.00684921	0.00292877	0.00126102	0.0017175	0.00499093	0.0193939	0.0893725	0.207431	0.336327	0.329727
a9	0.000135428	0.000104319	8.61507e-05	0.000121814	0.000410929	0.00533278	0.0402089	0.157154	0.35241	0.444035
a87	0.000847737	0.000494074	0.000356859	0.000494657	0.0016927	0.0132542	0.06626	0.195758	0.343027	0.377815
a23	0.0214234	0.010165	0.00895541	0.0183567	0.0379797	0.0651984	0.131151	0.199132	0.24916	0.258478
a87	0.017203	0.00866799	0.00627262	0.00874988	0.0157205	0.03489	0.0861546	0.153769	0.304895	0.363678
</S>	0.00364926	0.00226192	0.00363051	0.00641252	0.0109857	0.027228	0.0834992	0.167309	0.325921	0.369103
