 	il	vomit	de	la	bile	</S>
a85	0.556852	0.28188	0.0694165	0.0414	0.0297531	0.0206986
a87	0.2618	0.133106	0.151051	0.174692	0.155114	0.124237
a23	0.269431	0.192451	0.163312	0.125563	0.122998	0.126246
a79	0.120159	0.129797	0.161835	0.220459	0.23177	0.13598
a20	0.257632	0.510994	0.13783	0.0538215	0.0260368	0.0136858
a44	0.244659	0.559242	0.14777	0.0334397	0.0100611	0.00482834
a94	0.24827	0.483629	0.194347	0.0470456	0.016597	0.0101109
a20	0.225984	0.405536	0.245717	0.0715614	0.0300731	0.0211278
a73	0.303855	0.393686	0.171572	0.0562418	0.0373636	0.0372809
a35	0.220443	0.339128	0.228234	0.0900303	0.0596594	0.0625044
a44	0.181575	0.212629	0.18907	0.134036	0.127972	0.154717
a94	0.118238	0.118547	0.14841	0.161697	0.200958	0.25215
a76	0.0463963	0.0505896	0.063466	0.0977088	0.246697	0.495142
a41	0.0221781	0.0356236	0.0502193	0.0854324	0.243437	0.56311
a24	0.00917903	0.012404	0.0300756	0.0911765	0.314547	0.542618
a94	0.00696407	0.00848679	0.0177058	0.0462561	0.227969	0.692618
a98	0.00792427	0.00940257	0.0211722	0.0611203	0.231427	0.668953
a13	0.00885518	0.0185282	0.0532944	0.12475	0.256348	0.538224
a9	0.00711657	0.0100658	0.0290287	0.0823031	0.256207	0.615279
a10	0.0131115	0.0321068	0.0632546	0.114568	0.251218	0.525741
a87	0.0346317	0.0618711	0.0851301	0.118748	0.221273	0.478345
</S>	0.00936469	0.0284183	0.0394205	0.0888875	0.296173	0.537736
