 	les	enfants	s'	amusent	dans	la	cour	</S>
a23	0.215491	0.158328	0.130087	0.119693	0.118123	0.0949661	0.0899785	0.0733336
a87	0.223605	0.115978	0.0983433	0.125817	0.142254	0.118569	0.0997659	0.0756674
a23	0.183754	0.131315	0.115428	0.114216	0.119549	0.119507	0.117413	0.0988188
a38	0.263728	0.152835	0.124387	0.0903556	0.0831052	0.0839913	0.10604	0.095558
a30	0.427901	0.228158	0.154018	0.066516	0.0379668	0.0256765	0.0305674	0.0291968
a35	0.364355	0.253354	0.173636	0.0926224	0.0523234	0.0281093	0.0199185	0.0156814
a14	0.285216	0.245983	0.194959	0.126923	0.0724175	0.03591	0.0214591	0.0171321
a44	0.234573	0.22524	0.201751	0.157945	0.0955696	0.0456207	0.0229146	0.016386
a38	0.248759	0.23599	0.203517	0.150138	0.0880443	0.0398865	0.0192413	0.0144236
a30	0.209653	0.217696	0.190814	0.172099	0.108794	0.05246	0.0274772	0.021007
a14	0.179473	0.200156	0.189043	0.182963	0.124076	0.0610228	0.0346761	0.0285899
a35	0.180778	0.215292	0.188551	0.174752	0.113525	0.059583	0.0365601	0.0309594
a32	0.142953	0.180705	0.155659	0.170807	0.139103	0.0904714	0.0663262	0.0539754
a75	0.0840222	0.113301	0.102845	0.139286	0.155976	0.150056	0.144361	0.110154
a14	0.104656	0.144195	0.12996	0.150457	0.133543	0.118065	0.116488	0.102635
a35	0.0863823	0.119017	0.102521	0.123282	0.125453	0.131765	0.157293	0.154287
a14	0.0603742	0.0808198	0.0696242	0.0854293	0.108201	0.14683	0.218617	0.230104
a35	0.0424289	0.0548202	0.0519649	0.0621919	0.0915246	0.150953	0.265997	0.28012
a76	0.0342726	0.0401507	0.0392418	0.0436794	0.0648185	0.122377	0.295343	0.360117
a90	0.0355049	0.0417476	0.0391318	0.0445977	0.0589868	0.112385	0.27947	0.388176
a38	0.0432643	0.045446	0.0420047	0.046884	0.0580188	0.109494	0.265377	0.389511
a75	0.0192249	0.0199264	0.0198418	0.0247367	0.038493	0.0915604	0.285723	0.500494
a14	0.0347167	0.0368195	0.0382949	0.0469746	0.0564895	0.0996557	0.258974	0.428076
a35	0.0169781	0.0181261	0.0201843	0.027331	0.0427417	0.095004	0.293257	0.486378
a62	0.0165679	0.0152081	0.0153416	0.0195222	0.0328934	0.0850608	0.306569	0.508837
a98	0.0120864	0.00936009	0.00947882	0.0125055	0.0218886	0.0646313	0.272396	0.597653
a25	0.0115365	0.00944894	0.0101766	0.015264	0.0309568	0.0934931	0.282312	0.546812
a87	0.00831863	0.00741009	0.00810667	0.0127997	0.0289147	0.091283	0.277047	0.56612
a23	0.00964187	0.00750173	0.00783656	0.0141283	0.0402025	0.121632	0.321355	0.477702
a87	0.0310388	0.0276359	0.0269672	0.0389477	0.0681735	0.136179	0.265974	0.405084
</S>	0.0269628	0.0216227	0.0166972	0.027311	0.0659763	0.148509	0.298036	0.394885
