 	l'	enfant	est	en	train	d'	ouvrir	la	marmite	</S>
a87	0.248345	0.162947	0.0972201	0.111699	0.0987214	0.11553	0.0825026	0.0404115	0.0223933	0.0202306
a79	0.20823	0.0964734	0.0610398	0.0550346	0.0663406	0.0778097	0.0790806	0.123914	0.116309	0.115769
a94	0.181679	0.143552	0.0932818	0.0833671	0.0828144	0.0973797	0.104754	0.0863851	0.0621993	0.0645878
a98	0.246889	0.143799	0.0902942	0.0867743	0.0878312	0.0911142	0.105236	0.0886629	0.0372782	0.0221216
a85	0.300292	0.217558	0.103656	0.0779946	0.0709655	0.0634853	0.0719916	0.0509284	0.0261946	0.0169338
a75	0.304785	0.233462	0.136327	0.0981563	0.0756149	0.0544848	0.0515394	0.0247748	0.0115975	0.00925823
a85	0.254205	0.22586	0.153869	0.109282	0.0803109	0.0585965	0.0558002	0.0321487	0.0166784	0.0132486
a37	0.170317	0.173047	0.158794	0.129646	0.0975253	0.0807817	0.0782039	0.0521152	0.0317303	0.0278401
a90	0.133485	0.139472	0.154801	0.156078	0.130929	0.0897412	0.0799392	0.0494761	0.032014	0.0340643
a25	0.0864238	0.090872	0.115376	0.134232	0.137413	0.115311	0.115103	0.0947087	0.0558702	0.0546894
a85	0.058482	0.0608122	0.0787552	0.107333	0.134276	0.123912	0.117903	0.119082	0.0983425	0.101102
a18	0.0525417	0.0427331	0.0465371	0.0636079	0.0918793	0.107707	0.129195	0.166123	0.145004	0.154672
a0	0.0298482	0.0249457	0.0241285	0.0274391	0.0388966	0.0466003	0.0599781	0.0921654	0.234879	0.42112
a96	0.0177599	0.0133774	0.0133036	0.0182492	0.0288502	0.037687	0.0486806	0.0870846	0.266624	0.468383
a61	0.0143458	0.0111785	0.0138906	0.0194595	0.029536	0.0422056	0.0604881	0.108634	0.2627	0.437561
a75	0.00680414	0.0055373	0.00726392	0.00949779	0.0160782	0.0263387	0.0404152	0.0903654	0.283109	0.51459
a85	0.00401264	0.00261026	0.0034989	0.00539854	0.00927379	0.0172286	0.0267292	0.0721789	0.263114	0.595955
a66	0.00233077	0.00159152	0.00243495	0.0040065	0.00732307	0.013156	0.0184373	0.0641162	0.281773	0.604831
a11	0.000646494	0.000373468	0.00050395	0.000813156	0.00199092	0.00500541	0.0108316	0.050821	0.269103	0.659911
a96	0.000739068	0.000373419	0.000508569	0.000810731	0.0020895	0.00689416	0.0165667	0.0671557	0.297012	0.60785
a13	0.00107325	0.000583277	0.000916247	0.00157709	0.00357348	0.00783186	0.0152791	0.074632	0.291788	0.602746
a9	0.00504836	0.00274978	0.00405769	0.00656846	0.0146131	0.0316438	0.0492097	0.113806	0.29236	0.479943
a87	0.0295662	0.0152594	0.0168982	0.022312	0.0373733	0.0633502	0.0856644	0.113443	0.230651	0.385483
a23	0.207411	0.132447	0.0960278	0.0874931	0.0928274	0.0833843	0.0650267	0.0653216	0.0736135	0.096448
a87	0.0424349	0.0289142	0.0254258	0.0267518	0.0398848	0.0427734	0.0391292	0.0904232	0.272791	0.391472
</S>	0.0070774	0.00597085	0.00802583	0.0118517	0.0220919	0.0280658	0.0285737	0.079982	0.310134	0.498227
