 	les	chasseurs	ont	tué	cinq	antilopes	hier	</S>
a23	0.21569	0.189688	0.213992	0.16789	0.0811773	0.0589399	0.0404901	0.0321326
a87	0.122718	0.0989933	0.156335	0.178989	0.110448	0.11251	0.0982789	0.121728
a40	0.107474	0.102567	0.138652	0.15699	0.100567	0.0836624	0.103034	0.207055
a30	0.340556	0.225373	0.0988026	0.0655031	0.0485305	0.0768578	0.0684604	0.0759159
a26	0.291684	0.298667	0.196462	0.109232	0.0297789	0.0278015	0.0221634	0.0242107
a38	0.302607	0.29253	0.178159	0.110464	0.0268112	0.0285037	0.0273845	0.0335396
a41	0.298711	0.314853	0.172065	0.100862	0.0275096	0.0279479	0.0268404	0.0312108
a35	0.230434	0.277036	0.22096	0.140969	0.0415585	0.0317078	0.0260419	0.0312934
a66	0.229669	0.27262	0.210399	0.133702	0.0510581	0.0364539	0.0298955	0.0362021
a38	0.155178	0.216313	0.220364	0.161609	0.0645404	0.0557799	0.0527775	0.0734384
a24	0.11181	0.161553	0.228674	0.182819	0.0736603	0.0688433	0.0690112	0.103629
a9	0.100531	0.14745	0.232398	0.199759	0.0891593	0.0744016	0.0645498	0.0917516
a10	0.0346263	0.0555045	0.202279	0.260612	0.0968678	0.108136	0.0986255	0.14335
a40	0.0165953	0.0278217	0.131916	0.275266	0.14779	0.1686	0.100467	0.131545
a30	0.036334	0.0618807	0.20851	0.238832	0.0986256	0.116929	0.107697	0.131191
a44	0.0564061	0.0858959	0.190344	0.185132	0.101089	0.120338	0.123787	0.137008
a57	0.044302	0.068356	0.160288	0.194367	0.0974271	0.126505	0.146814	0.161941
a53	0.0132936	0.0189754	0.0931386	0.214537	0.127898	0.224138	0.149767	0.158252
a69	0.0336432	0.042533	0.0776117	0.147866	0.0952006	0.166909	0.200882	0.235355
a13	0.0373676	0.0389881	0.0427481	0.0776686	0.0931886	0.169509	0.250309	0.290222
a98	0.0411846	0.04129	0.0516012	0.0894712	0.120488	0.214807	0.210333	0.230826
a9	0.0270083	0.0281134	0.0355551	0.0611381	0.106941	0.196458	0.252364	0.292422
a87	0.0138823	0.0117615	0.0207407	0.052637	0.0970709	0.231261	0.240789	0.331857
a23	0.00975447	0.0086335	0.0183718	0.028589	0.0504799	0.163222	0.283041	0.437908
a87	0.00570084	0.00480766	0.0155804	0.024293	0.0347134	0.105246	0.255762	0.553896
a57	0.00591358	0.00591298	0.0205886	0.0222733	0.0390393	0.107215	0.301718	0.497339
a87	0.00445025	0.00378413	0.0142878	0.0193431	0.0288822	0.0862249	0.320241	0.522787
a23	0.00987837	0.00878309	0.0242827	0.0322742	0.0447882	0.102323	0.295318	0.482353
a40	0.00961857	0.0084481	0.0191282	0.0230859	0.0246012	0.077227	0.304823	0.533067
a30	0.026435	0.0224561	0.0421949	0.0426927	0.0309593	0.0714717	0.220212	0.543578
a73	0.0370693	0.0469176	0.115321	0.112718	0.0859358	0.1481	0.173413	0.280525
a94	0.00511913	0.00694706	0.0312108	0.0571115	0.0502912	0.118535	0.223777	0.507009
a13	0.00907854	0.0112666	0.0315849	0.0550829	0.0478991	0.129789	0.216729	0.49857
a53	0.00843375	0.00998161	0.0206101	0.0337881	0.0339055	0.110604	0.243625	0.539052
a20	0.0144369	0.0182963	0.0326186	0.0549067	0.0452831	0.128977	0.223586	0.481895
a94	0.0266356	0.0315375	0.0371517	0.0516105	0.0691172	0.128432	0.21402	0.441496
a20	0.0108804	0.0126947	0.0220012	0.0397705	0.0594409	0.150083	0.250418	0.454711
a30	0.01675	0.0177537	0.025782	0.0353197	0.0615405	0.133929	0.243497	0.465428
a40	0.00371968	0.00363757	0.00651688	0.0210164	0.0500175	0.16464	0.276593	0.47386
a30	0.0165375	0.017895	0.0331109	0.0589862	0.118418	0.227768	0.227279	0.300006
a35	0.0119381	0.0128554	0.0217455	0.0395671	0.0826758	0.173098	0.253222	0.404899
a57	0.00650149	0.00735449	0.0146707	0.0277741	0.0662874	0.171729	0.267921	0.437762
a38	0.00086449	0.000842594	0.00182833	0.00721861	0.020183	0.0916758	0.275875	0.601512
a30	0.00173724	0.00158324	0.00304651	0.00988615	0.0252769	0.109695	0.265474	0.583301
a35	0.00407019	0.00433509	0.00930552	0.0235708	0.0492259	0.133723	0.259103	0.516667
