 	c'	est	lui	qui	a	embourbé	le	véhicule	à	l'	entrée	d'	ekyembe	</S>
a23	0.144137	0.0900686	0.0652954	0.0644227	0.101003	0.105113	0.102691	0.0894573	0.0696303	0.0502127	0.0339699	0.0298568	0.0283889	0.0257534
a97	0.16604	0.0912403	0.0715869	0.094302	0.0730788	0.102409	0.0796175	0.0522357	0.0411041	0.030018	0.0252802	0.0367603	0.0634451	0.0728819
a10	0.154814	0.135337	0.122049	0.109784	0.0707248	0.0661404	0.056611	0.0376145	0.0316731	0.0237113	0.0243059	0.0325851	0.0511882	0.0834611
a87	0.1348	0.119457	0.107195	0.0908005	0.0516919	0.0465688	0.0476188	0.038753	0.0428442	0.0430496	0.0463364	0.0616937	0.0750262	0.0941654
a30	0.125036	0.112795	0.10267	0.0811975	0.0447287	0.0369537	0.0413221	0.0366726	0.0476236	0.0527764	0.0621376	0.0794544	0.0841001	0.0925328
a53	0.138716	0.108212	0.0804524	0.0600716	0.0329984	0.0356129	0.0349214	0.0296055	0.0431187	0.0508971	0.0608842	0.0876489	0.105326	0.131535
a15	0.233116	0.168939	0.119643	0.0934409	0.0655452	0.0396968	0.0363712	0.0191343	0.0183831	0.0146614	0.0190439	0.0321224	0.0656884	0.0742153
a79	0.37082	0.236837	0.132538	0.069419	0.0346935	0.0236556	0.0206516	0.0139132	0.0133798	0.0101597	0.0112595	0.0143758	0.0217676	0.0265292
a37	0.278384	0.197336	0.131655	0.0885148	0.0593613	0.0372931	0.036599	0.0268188	0.0230527	0.0161748	0.0164672	0.0185392	0.0294678	0.0403358
a12	0.151494	0.158873	0.157403	0.134353	0.0968461	0.0565701	0.0536342	0.039657	0.0303097	0.021594	0.0194633	0.0189032	0.0268242	0.0340757
a96	0.15703	0.16189	0.168324	0.138841	0.0979249	0.0530957	0.0522294	0.041094	0.0310364	0.0200872	0.0163692	0.0155854	0.0213145	0.0251777
a75	0.0627008	0.0925234	0.133911	0.164725	0.147364	0.0894811	0.0834949	0.0611605	0.0427556	0.0272043	0.022407	0.0190904	0.0242995	0.028882
a21	0.0611334	0.0787433	0.109817	0.139799	0.141839	0.0841461	0.0801454	0.0661234	0.0544835	0.0396448	0.0319345	0.0246274	0.0344172	0.0531467
a5	0.070427	0.0826265	0.107668	0.148158	0.158589	0.0907581	0.0844806	0.0691086	0.0531967	0.0359739	0.026793	0.0180502	0.0237183	0.0304524
a37	0.0516395	0.0547881	0.0635275	0.0761521	0.10951	0.104599	0.109129	0.0999548	0.0817527	0.0634815	0.0479438	0.0319218	0.0456273	0.0599728
a75	0.0437043	0.0497013	0.0582575	0.0729872	0.114591	0.0996608	0.115986	0.11753	0.0897083	0.0639128	0.04568	0.0301774	0.0402962	0.0578067
a85	0.0397625	0.0376143	0.0386357	0.0400677	0.0593785	0.0555432	0.0880824	0.0944447	0.0784654	0.0825204	0.0850178	0.0678175	0.0942491	0.138401
a5	0.0377766	0.0359237	0.0381441	0.0414243	0.0565758	0.0668276	0.0878675	0.0892987	0.0702251	0.0744273	0.0778299	0.0754045	0.109015	0.13926
a12	0.0554859	0.0543395	0.0540741	0.0543571	0.0795803	0.0750663	0.114813	0.13187	0.0925567	0.0713929	0.0531987	0.032295	0.049691	0.0812796
a0	0.0426256	0.0419081	0.0420413	0.0473059	0.083351	0.0764494	0.125498	0.14617	0.107702	0.0840958	0.0635511	0.0356249	0.0428969	0.0607804
