 	le	véhicule	qui	est	tombé	en	panne	hier	est	déjà	réparé	</S>
a15	0.274284	0.159829	0.0874215	0.0740412	0.0658883	0.0592938	0.0483914	0.0475485	0.0527469	0.0561733	0.043983	0.030399
a66	0.150322	0.12978	0.086916	0.0809169	0.0723991	0.0667281	0.0580488	0.069912	0.0825566	0.094108	0.0702585	0.038054
a10	0.211024	0.200984	0.119911	0.0820499	0.0684842	0.0639435	0.049414	0.0533699	0.0465458	0.0443351	0.0350935	0.0248454
a82	0.230952	0.225626	0.15278	0.112645	0.0858198	0.0700007	0.0385518	0.0306215	0.0218595	0.016113	0.00992585	0.00510545
a10	0.240141	0.241675	0.139845	0.0918522	0.0711284	0.0574294	0.0339443	0.0332377	0.0317157	0.0252787	0.0216726	0.0120802
a87	0.277642	0.262312	0.13239	0.0801142	0.0579269	0.0442043	0.0285329	0.0305602	0.0293773	0.0249007	0.0211845	0.0108549
a79	0.27714	0.251515	0.125411	0.0817304	0.0627796	0.048684	0.0325002	0.0344407	0.0304447	0.0261283	0.0195423	0.00968355
a58	0.238206	0.242666	0.0962422	0.0648326	0.0677041	0.0671357	0.0518007	0.0533834	0.0434085	0.0338295	0.025445	0.0153462
a82	0.14396	0.179296	0.12354	0.101052	0.0959872	0.0820737	0.0601225	0.0509861	0.0442427	0.0430709	0.0430483	0.032621
a38	0.0838343	0.1053	0.100582	0.0855956	0.0862706	0.0826392	0.0734917	0.0679571	0.0711388	0.0726843	0.0876153	0.0828902
a69	0.0969294	0.0990235	0.104616	0.0999932	0.0946085	0.0885639	0.0785218	0.0711973	0.0670116	0.0635455	0.0674106	0.0685791
a4	0.12308	0.11442	0.13564	0.133045	0.107041	0.0885445	0.0744733	0.0614499	0.0455083	0.0410661	0.0394132	0.0363187
a70	0.0657411	0.0762143	0.129861	0.14338	0.116941	0.10025	0.0857453	0.063007	0.0489115	0.0498034	0.0556018	0.064544
a98	0.0452543	0.0540275	0.104796	0.129102	0.113075	0.100987	0.0895	0.0665856	0.0558845	0.0613977	0.0761857	0.103204
a50	0.0746563	0.0803098	0.128642	0.139172	0.116188	0.0974066	0.0795431	0.0587936	0.0447529	0.0455028	0.0569788	0.0780545
a70	0.0195302	0.0220779	0.0524782	0.0872173	0.100898	0.100621	0.098926	0.0760918	0.0702255	0.0780649	0.118345	0.175525
a90	0.0280131	0.0344275	0.0765163	0.116076	0.128684	0.119922	0.108896	0.0818629	0.0630953	0.0641223	0.0776402	0.100745
a13	0.0369101	0.0435419	0.0878267	0.124164	0.13158	0.118357	0.0973821	0.0774022	0.066958	0.0659413	0.0759903	0.073947
a96	0.0156282	0.0159282	0.0394176	0.0770926	0.117314	0.114479	0.109824	0.0872087	0.0740371	0.0775782	0.110043	0.161449
a50	0.00777166	0.00784876	0.0210456	0.0504805	0.0902905	0.0980501	0.110541	0.0956787	0.0889784	0.097037	0.139857	0.192421
a90	0.00478568	0.00461635	0.0127269	0.0280907	0.0638528	0.0768006	0.0893353	0.0770974	0.0802907	0.0955913	0.180467	0.286345
a79	0.00918349	0.0101104	0.0213245	0.0384885	0.0863361	0.100857	0.10101	0.0932896	0.0982182	0.101108	0.152655	0.187419
a7	0.00586358	0.00623955	0.0131902	0.0226959	0.0592776	0.0755052	0.0860103	0.0852315	0.0988885	0.108522	0.191812	0.246763
a26	0.0021119	0.00205808	0.004385	0.0070125	0.0251964	0.0372819	0.053977	0.0649928	0.0890738	0.113571	0.240326	0.360014
a58	0.00115866	0.0010096	0.0020615	0.0023655	0.00614174	0.00900912	0.0147357	0.0212103	0.0444375	0.0969399	0.267523	0.533408
a53	0.00123966	0.00115119	0.00193001	0.00223784	0.00609319	0.00923861	0.0168091	0.0300452	0.062287	0.137472	0.305477	0.42602
a4	0.00100368	0.000922263	0.00160947	0.00217991	0.00649667	0.0101288	0.0199465	0.032989	0.0638624	0.117788	0.271082	0.471991
a13	0.00103533	0.000900263	0.00164846	0.0023443	0.00589062	0.00876501	0.0186895	0.0293286	0.0544441	0.107423	0.260931	0.508599
