 	l'	herbe	qui	pousse	le	plus	dans	un	terrain	favorable	à	la	cul-	ture	de	l'	arachide	est	le	chiendent	</S>
a66	0.0141741	0.013656	0.0160543	0.0270421	0.0432195	0.0784861	0.0976553	0.181992	0.174054	0.154404	0.049742	0.0367771	0.0600129	0.0327345	0.00768657	0.00421012	0.00280144	0.00209533	0.00148265	0.0010067	0.000713655
a87	0.0706444	0.043272	0.0354293	0.0398618	0.0539324	0.0748503	0.0995324	0.158489	0.155107	0.0997832	0.0592867	0.0375894	0.0317373	0.0091909	0.00351483	0.00348035	0.00401666	0.00610116	0.00539599	0.00569699	0.00308776
a23	0.135807	0.060881	0.052024	0.0488877	0.0655393	0.0583065	0.0607929	0.104896	0.122509	0.0974845	0.0571179	0.037692	0.0347432	0.0130993	0.00641706	0.00639258	0.00611398	0.00756226	0.00775	0.00930571	0.00667846
a99	0.176252	0.0888488	0.06885	0.0602443	0.0653046	0.0441465	0.0379914	0.0476763	0.0727133	0.052529	0.0292661	0.0270393	0.0344038	0.0188503	0.0163264	0.0196392	0.0187533	0.0240609	0.0277869	0.0361243	0.0331936
a9	0.1069	0.0598509	0.0524817	0.0464845	0.0506704	0.0429923	0.0429046	0.0803796	0.136476	0.108291	0.0365308	0.0377348	0.0521202	0.0301063	0.0210696	0.0158232	0.0120907	0.0162012	0.0158685	0.0199612	0.0150632
a24	0.074864	0.0462964	0.039637	0.0317617	0.0344023	0.0379086	0.0424058	0.0781917	0.141482	0.130244	0.0412367	0.0376523	0.0647916	0.0567644	0.0355442	0.0224649	0.0165698	0.0203445	0.0176838	0.0171983	0.0125561
a62	0.0957367	0.0957974	0.0980597	0.0778601	0.0653709	0.0463367	0.045832	0.0485451	0.0699169	0.0478742	0.0254482	0.0265509	0.0525996	0.0813729	0.0573819	0.0228914	0.0126991	0.0113848	0.00700607	0.0066892	0.00464606
a47	0.0750778	0.0768647	0.0819564	0.0670771	0.0529027	0.0341154	0.0343704	0.0357069	0.0497211	0.0544606	0.0566405	0.0397331	0.0649195	0.111169	0.0678327	0.0352947	0.0205894	0.01632	0.0107281	0.00799097	0.00652899
a88	0.0648989	0.05798	0.0587723	0.0571368	0.0544086	0.0396557	0.0397226	0.0382144	0.0441676	0.0354922	0.0456791	0.0313531	0.0485449	0.119005	0.0921647	0.0542989	0.0367308	0.0298032	0.0223898	0.0159706	0.0136105
a75	0.0457216	0.0459344	0.0501243	0.0515507	0.0518728	0.0423407	0.0423991	0.0391513	0.0469567	0.0437941	0.0638406	0.0435463	0.0699268	0.154513	0.076785	0.0421734	0.0289659	0.0223861	0.0162168	0.0118979	0.00990214
a56	0.0218203	0.0232044	0.0319096	0.0413263	0.0493039	0.0485192	0.0518819	0.0477395	0.0549292	0.0421088	0.0618647	0.0440387	0.067952	0.125049	0.0696302	0.0557987	0.0490283	0.0403948	0.031088	0.022975	0.0194373
a75	0.0348017	0.0356228	0.0468554	0.0599853	0.0714737	0.0702977	0.0678291	0.059207	0.0737814	0.0504394	0.0536966	0.0370499	0.0560888	0.0932044	0.0463855	0.0378536	0.0325506	0.0234053	0.0197721	0.0147588	0.014941
a79	0.015419	0.0204944	0.0373637	0.0589822	0.064272	0.0606247	0.0606939	0.0525709	0.0503429	0.0340734	0.0390108	0.0300156	0.0492254	0.0729567	0.0592742	0.0736162	0.0708229	0.0550616	0.0415481	0.0304848	0.0231465
a94	0.0141661	0.0189344	0.0353828	0.0589789	0.0654466	0.0622908	0.0625313	0.050702	0.0440772	0.0318594	0.0296804	0.0242894	0.0427506	0.0687999	0.0684301	0.0864789	0.0794573	0.0583013	0.042509	0.0311501	0.0237837
a93	0.0127946	0.0150208	0.0259302	0.0569969	0.0773806	0.0798581	0.0742713	0.0553637	0.0488201	0.0327705	0.0177116	0.0192363	0.0327555	0.0494094	0.057362	0.0776992	0.0743938	0.0587296	0.0506947	0.043086	0.039715
a34	0.0117615	0.014491	0.0237188	0.0587871	0.0879835	0.0938265	0.0819073	0.0615832	0.0526413	0.0291074	0.0165473	0.0158536	0.0243321	0.0310187	0.039066	0.0599223	0.0714134	0.0646636	0.0630048	0.0508675	0.0475029
