 	avec	la	pluie	qui	était	tombée	on	ne	pouvait	plus	avancer	</S>
a23	0.0792212	0.0549576	0.0511509	0.0719094	0.0881964	0.118886	0.0915906	0.109035	0.118127	0.0949232	0.0607243	0.061278
a54	0.11424	0.104107	0.0980685	0.0993693	0.0779967	0.076021	0.0537145	0.0612037	0.0889823	0.0545593	0.0740035	0.0977341
a73	0.428368	0.258296	0.110766	0.0618549	0.0378114	0.0324781	0.0218912	0.0154282	0.011536	0.0106136	0.00534147	0.00561516
a94	0.437078	0.278962	0.103897	0.060876	0.0359164	0.0285398	0.0159594	0.0119915	0.00970003	0.00763841	0.00415417	0.00528763
a58	0.274788	0.227324	0.141745	0.103727	0.0726869	0.0587839	0.0316229	0.0274578	0.0216067	0.0162541	0.0110186	0.012985
a76	0.153277	0.154754	0.141472	0.121873	0.102622	0.0910368	0.0542268	0.0501868	0.0392761	0.0331083	0.0250506	0.0331164
a20	0.0899718	0.0990292	0.124191	0.114493	0.119499	0.123606	0.0848625	0.0795766	0.0643725	0.0399108	0.0280691	0.0324184
a41	0.0773971	0.092791	0.135195	0.12681	0.127767	0.122189	0.0850974	0.0731193	0.0558601	0.0369172	0.0288548	0.0380022
a35	0.0639273	0.0801209	0.132022	0.131608	0.140264	0.138171	0.0941932	0.0770806	0.058435	0.0324799	0.0229885	0.0287099
a54	0.0452852	0.0591888	0.117169	0.129875	0.14441	0.148577	0.104048	0.0864691	0.0661548	0.0389155	0.0277542	0.0321542
a15	0.0233285	0.0325357	0.0792251	0.100763	0.13194	0.150333	0.132195	0.112392	0.0930192	0.0596735	0.0423687	0.0422265
a41	0.0188835	0.0269969	0.0702253	0.0936292	0.129613	0.158231	0.136083	0.120883	0.100747	0.0613412	0.042224	0.0411433
a24	0.020665	0.0287046	0.0716055	0.0958658	0.122245	0.149564	0.125771	0.109488	0.0937701	0.072913	0.0562842	0.0531244
a94	0.0360142	0.0451177	0.09298	0.12356	0.146472	0.151617	0.10679	0.0855814	0.0699992	0.0563485	0.0414015	0.0441182
a69	0.0390738	0.0483242	0.0851978	0.10979	0.131149	0.146947	0.112593	0.0935541	0.0764779	0.0578112	0.0452516	0.053831
a76	0.0280328	0.034869	0.0549116	0.0708506	0.0879722	0.120738	0.113479	0.116773	0.116163	0.0822062	0.0819356	0.0920693
a20	0.0225094	0.0297709	0.0508628	0.0629365	0.0780178	0.105795	0.115286	0.116336	0.118364	0.0847766	0.0906855	0.124659
a58	0.0233472	0.0306915	0.05156	0.0583128	0.0676555	0.0863262	0.104714	0.106363	0.105128	0.0924107	0.106855	0.166636
a84	0.0294547	0.0409553	0.0629592	0.0685326	0.0652747	0.0876307	0.0972534	0.11464	0.114984	0.0922852	0.0935802	0.132451
a82	0.0262564	0.03496	0.0513298	0.0613391	0.0673025	0.0889217	0.106525	0.119802	0.110864	0.097281	0.100968	0.13445
a87	0.0336714	0.0387581	0.0469029	0.0536288	0.0595916	0.0794513	0.102413	0.110717	0.102338	0.0984351	0.107303	0.166791
a23	0.0312223	0.0346777	0.0615677	0.094083	0.106262	0.100312	0.0870915	0.0716803	0.0762671	0.102633	0.0901159	0.144089
a5	0.0308183	0.0307851	0.0512875	0.0731861	0.0823254	0.0798507	0.0710264	0.0538087	0.0616539	0.0937927	0.101491	0.269974
a66	0.0667805	0.0649698	0.084646	0.0834599	0.0821245	0.0903323	0.0786317	0.0640947	0.0565696	0.0606692	0.067585	0.200137
a90	0.0454937	0.054444	0.0862899	0.0934744	0.0999659	0.110405	0.102854	0.0829972	0.0738791	0.0582001	0.060732	0.131264
a76	0.0334624	0.042136	0.0534853	0.0532424	0.0501853	0.0642978	0.0783598	0.0836791	0.100943	0.0712022	0.109361	0.259646
a90	0.0503729	0.0542025	0.0628778	0.0562683	0.0599335	0.0813018	0.0950367	0.104268	0.0978865	0.0835264	0.0827113	0.171614
a41	0.030715	0.0373189	0.0503628	0.051741	0.0545788	0.0728707	0.0882758	0.1002	0.108742	0.0769996	0.0986521	0.229544
a94	0.032462	0.0353294	0.0490517	0.0549851	0.0641261	0.0852901	0.0994704	0.107392	0.101363	0.095676	0.097184	0.17767
a76	0.0262856	0.0324422	0.0502109	0.0598024	0.0683061	0.0860785	0.0904847	0.0976378	0.107835	0.0752769	0.0995996	0.206041
a69	0.0396402	0.0487475	0.0712027	0.0730389	0.0779011	0.093875	0.0895916	0.09447	0.0871111	0.0756448	0.0812368	0.16754
a4	0.0194231	0.0255203	0.0405679	0.048017	0.0556576	0.0757123	0.0908432	0.104268	0.118204	0.0786518	0.1098	0.233335
a57	0.0107553	0.0130071	0.0212502	0.0282279	0.0337281	0.0481812	0.0703449	0.0867083	0.108823	0.0890878	0.150608	0.339278
a38	0.00572637	0.00712522	0.00946655	0.0133051	0.0164171	0.026386	0.0488503	0.0678848	0.0914317	0.0901951	0.200971	0.422241
a53	0.00651738	0.00655459	0.00781837	0.0104933	0.0123103	0.0185256	0.0331811	0.0516084	0.089719	0.0925453	0.215464	0.455262
a94	0.0145962	0.016747	0.0271662	0.0357528	0.0452354	0.0652436	0.0896967	0.107823	0.113125	0.0976275	0.137767	0.24922
a76	0.00698889	0.00850409	0.0153284	0.0222891	0.0273754	0.0399882	0.0580819	0.0730362	0.0910529	0.083024	0.173604	0.400727
a25	0.0122693	0.0159379	0.0307336	0.041983	0.0513068	0.0704083	0.086173	0.10266	0.112402	0.0945055	0.143826	0.237794
a94	0.010913	0.013662	0.0255744	0.0330856	0.040357	0.0540942	0.0713838	0.0839636	0.0997942	0.0940206	0.155237	0.317914
a32	0.00671376	0.00835456	0.0123276	0.017513	0.0201905	0.0306859	0.0518801	0.0638252	0.0761467	0.0732813	0.177958	0.461124
a75	0.0102261	0.0108817	0.0155585	0.0204416	0.0231573	0.0319589	0.0490093	0.0590059	0.0714044	0.0753378	0.176782	0.456237
a85	0.0150269	0.0165997	0.0293662	0.0389774	0.0496575	0.0676059	0.0887673	0.104026	0.114678	0.10828	0.147129	0.219888
a12	0.0144661	0.0166228	0.0308707	0.0400558	0.0504547	0.0662975	0.087495	0.101382	0.105635	0.104789	0.136804	0.245128
a21	0.0128657	0.0128975	0.0184636	0.0224266	0.0262097	0.0332411	0.0500007	0.0584731	0.0669604	0.081372	0.160079	0.457011
a18	0.0136683	0.0134189	0.0196377	0.0244548	0.0298176	0.0383226	0.0553119	0.0667456	0.0811727	0.0935972	0.165506	0.398347
a40	0.00725187	0.00799122	0.0092657	0.0105693	0.0115182	0.0162158	0.0294563	0.0384566	0.0493485	0.0678137	0.170448	0.581665
a75	0.0158496	0.0160248	0.0264552	0.0352046	0.041733	0.0586923	0.0811311	0.0891089	0.104988	0.0949585	0.143161	0.292693
a73	0.0169541	0.0173956	0.0290752	0.036544	0.0447951	0.0603341	0.0774712	0.0902159	0.106387	0.105821	0.166797	0.24821
a84	0.00809465	0.00991972	0.0172938	0.0232	0.0263803	0.0353002	0.0536226	0.0607848	0.0742079	0.078652	0.171713	0.440831
a57	0.00373189	0.00471648	0.00567213	0.00796836	0.0090921	0.0132637	0.0240224	0.0293445	0.0370617	0.0443731	0.148094	0.672659
a87	0.00661093	0.00772909	0.00860037	0.0108731	0.0124015	0.0144514	0.0205022	0.0240978	0.0291944	0.046911	0.153308	0.66532
a23	0.0185815	0.0170933	0.0138118	0.0141091	0.0142759	0.0149101	0.0238371	0.0307899	0.0429597	0.0705784	0.150527	0.588526
a87	0.0400526	0.0368097	0.0317733	0.0319064	0.0276413	0.0258584	0.0366364	0.0416735	0.0787192	0.115999	0.195512	0.337418
</S>	0.0537072	0.055095	0.0487058	0.0421556	0.037232	0.0339212	0.0459104	0.0426747	0.0603204	0.0877586	0.143344	0.349175
