 	je	sens	des	maux	de	tête	</S>
a38	0.341247	0.207302	0.109827	0.111062	0.0902133	0.0769439	0.0634051
a70	0.638733	0.220193	0.0536098	0.0306665	0.0210217	0.0200541	0.0157222
a75	0.38802	0.329886	0.11593	0.037729	0.0336691	0.0438779	0.0508876
a85	0.346746	0.359467	0.181662	0.0438134	0.0243525	0.024285	0.019674
a61	0.308457	0.395683	0.197972	0.0508192	0.0196896	0.0156612	0.0117183
a31	0.27418	0.340483	0.214088	0.089912	0.0337119	0.025715	0.0219102
a83	0.192195	0.234717	0.217675	0.163896	0.08059	0.0599229	0.0510045
a75	0.10501	0.163303	0.218738	0.212716	0.117075	0.0944818	0.0886759
a66	0.101712	0.134277	0.164691	0.168097	0.148971	0.137909	0.144344
a31	0.0434193	0.0697048	0.164148	0.230005	0.175209	0.16246	0.155054
a62	0.0224877	0.0360652	0.108636	0.199015	0.224046	0.216898	0.192852
a83	0.0143974	0.0197155	0.0593228	0.143917	0.21228	0.266262	0.284105
a93	0.00816279	0.00927024	0.0273795	0.102364	0.198664	0.298436	0.355723
a56	0.00730486	0.0085238	0.0262775	0.0849137	0.179485	0.285587	0.407909
a90	0.00206258	0.00257592	0.00720512	0.0309035	0.11709	0.272353	0.56781
a13	0.000699023	0.000868822	0.00270137	0.0123724	0.0724603	0.245917	0.664981
a11	0.000459406	0.000397146	0.00145089	0.00921773	0.0804634	0.275717	0.632294
a90	0.00100668	0.000889207	0.00266263	0.013655	0.0979676	0.301641	0.582178
a15	0.000816107	0.000867565	0.0025979	0.0142317	0.0860654	0.274222	0.621199
a7	0.000760966	0.000707884	0.00229714	0.0117431	0.0754037	0.252116	0.656972
a84	0.000812785	0.000805096	0.00208009	0.0110313	0.0895457	0.297904	0.597821
a57	0.0404842	0.0261582	0.0260491	0.0493358	0.129431	0.272626	0.455916
a87	0.207604	0.127921	0.0759861	0.0803395	0.130441	0.193875	0.183833
a23	0.168136	0.121399	0.0707464	0.0773983	0.144778	0.214104	0.203439
a99	0.096401	0.0735086	0.0754998	0.10293	0.185146	0.251736	0.214779
a87	0.0621817	0.0464793	0.0631721	0.0915181	0.167741	0.261327	0.30758
</S>	0.0866391	0.0508056	0.06196	0.0819937	0.156455	0.260952	0.301195
