 	l'	événement	a	fait	grand	bruit	</S>
a23	0.358381	0.222776	0.125633	0.125092	0.0950468	0.0472186	0.0258519
a87	0.377796	0.334159	0.100334	0.0674936	0.0605571	0.0338305	0.0258302
a23	0.283078	0.279015	0.158332	0.0985239	0.0681849	0.0438317	0.0690339
a83	0.37257	0.399362	0.111326	0.0464385	0.0232725	0.0187018	0.0283294
a4	0.645788	0.235928	0.0508498	0.0255921	0.013778	0.013706	0.0143579
a20	0.404053	0.340421	0.13636	0.063765	0.0223068	0.0171189	0.0159749
a76	0.252258	0.301464	0.199839	0.133635	0.0473507	0.0317593	0.0336941
a94	0.26499	0.314705	0.201612	0.13909	0.0390093	0.0202521	0.0203411
a24	0.218446	0.27877	0.219365	0.171278	0.0504825	0.0285901	0.0330688
a25	0.206032	0.239549	0.205137	0.192723	0.0792621	0.0382983	0.0389975
a83	0.163586	0.179468	0.207413	0.206219	0.105659	0.0608942	0.0767603
a24	0.108614	0.118994	0.187405	0.219224	0.141912	0.102465	0.121385
a25	0.150412	0.177351	0.168878	0.179731	0.143997	0.0995594	0.0800709
a0	0.0906936	0.115054	0.145575	0.174884	0.1784	0.140945	0.154448
a21	0.0682922	0.0789474	0.100109	0.13902	0.174857	0.209328	0.229446
a47	0.0672981	0.0647208	0.0767758	0.111943	0.173193	0.232655	0.273414
a34	0.0463074	0.0513912	0.0567797	0.0960516	0.181085	0.271047	0.297338
a56	0.0439975	0.0425999	0.0490734	0.0868052	0.167538	0.271352	0.338634
a90	0.0335898	0.0263273	0.0328184	0.0640665	0.152866	0.289207	0.401125
a76	0.0484402	0.0289549	0.0351866	0.0648536	0.139795	0.266103	0.416666
a14	0.0368117	0.0192665	0.0213349	0.0374268	0.124251	0.297523	0.463386
a94	0.0380979	0.0198757	0.0193896	0.0314608	0.103226	0.296247	0.491703
a54	0.0209595	0.0101637	0.0110833	0.0191159	0.0654426	0.249541	0.623694
a14	0.0230791	0.00920765	0.0101798	0.0175321	0.0587637	0.246801	0.634436
a94	0.0389997	0.0185276	0.0189	0.029362	0.0938441	0.263858	0.536508
a26	0.0340565	0.013645	0.0128697	0.0194649	0.0599497	0.228474	0.63154
a44	0.0213194	0.00630905	0.00571037	0.00944549	0.0326147	0.190988	0.733613
a84	0.0565845	0.0232683	0.016081	0.023933	0.0610928	0.210176	0.608864
a57	0.030111	0.0118101	0.00824907	0.0123281	0.0407046	0.210729	0.686068
a87	0.0584354	0.0243956	0.0136642	0.0164208	0.0426664	0.184572	0.659845
</S>	0.0389663	0.0155996	0.0172963	0.0222824	0.0810161	0.263284	0.561556
