 	il	s'	adosse	au	mur	de	la	maison	</S>
a23	0.459418	0.226638	0.208556	0.0416727	0.0173877	0.0111668	0.00993077	0.0108136	0.0144162
a87	0.241362	0.140087	0.109964	0.124487	0.0600743	0.0551732	0.0784096	0.102514	0.0879278
a23	0.148252	0.117309	0.117954	0.124363	0.077449	0.0692253	0.0943617	0.127578	0.123508
a53	0.174014	0.133113	0.170931	0.1625	0.0633308	0.0632972	0.0700221	0.0839751	0.0788169
a20	0.294935	0.233473	0.342181	0.0846199	0.0201162	0.010332	0.0064271	0.00440309	0.00351294
a14	0.152983	0.214599	0.475977	0.118931	0.0201805	0.00795822	0.00480645	0.00277181	0.00179245
a35	0.131227	0.181603	0.425762	0.150405	0.0563109	0.0237305	0.015597	0.00930138	0.0060632
a30	0.165082	0.204964	0.310379	0.165444	0.076726	0.0309771	0.0217261	0.0143326	0.0103701
a41	0.092146	0.142112	0.192023	0.220349	0.173464	0.0751329	0.0478754	0.0314533	0.0254442
a57	0.0965094	0.147891	0.176595	0.22378	0.169792	0.0769595	0.0494201	0.0318439	0.0272092
a38	0.057897	0.0900408	0.130649	0.22119	0.206676	0.124548	0.0792386	0.0494304	0.0403301
a14	0.04984	0.0754456	0.12666	0.192798	0.189171	0.139786	0.10527	0.0685702	0.0524588
a35	0.0664828	0.0835137	0.095349	0.152019	0.170226	0.127696	0.120542	0.102655	0.0815162
a76	0.0408525	0.0563752	0.0781188	0.111828	0.163014	0.150409	0.150957	0.135183	0.113264
a90	0.0404233	0.0529496	0.0734475	0.084534	0.138334	0.148386	0.157437	0.15321	0.151279
a25	0.0479249	0.0540842	0.0681003	0.0727258	0.0876981	0.136451	0.16707	0.180211	0.185734
a76	0.0124181	0.0180584	0.0432933	0.0614849	0.0656145	0.120143	0.164488	0.227893	0.286606
a94	0.0204475	0.0247469	0.059613	0.055776	0.068473	0.116295	0.162093	0.212385	0.28017
a76	0.008192	0.00990974	0.0259954	0.037019	0.0373625	0.0747744	0.133727	0.263891	0.409129
a35	0.0120769	0.0106786	0.0274582	0.0400305	0.0485814	0.081436	0.138417	0.25031	0.391011
a41	0.0054692	0.0054958	0.014685	0.024136	0.0323329	0.0635974	0.122346	0.265194	0.466744
a35	0.00679381	0.00590317	0.0139846	0.0171744	0.0212458	0.0526853	0.11694	0.276058	0.489215
a66	0.0118768	0.0111881	0.0216577	0.0258474	0.0358335	0.0695754	0.137114	0.270266	0.416641
a98	0.00417819	0.00365566	0.00824842	0.0141132	0.0187764	0.0487728	0.106268	0.240953	0.555035
a14	0.00253919	0.00235934	0.0065089	0.0101828	0.0122252	0.0371977	0.0991592	0.260815	0.569012
a35	0.00376093	0.00397741	0.00951538	0.0126501	0.0185472	0.047066	0.106672	0.263913	0.533898
a66	0.00413078	0.00444048	0.0118236	0.0112944	0.0155249	0.0438975	0.102778	0.256123	0.549988
a24	0.00667152	0.00617158	0.0135539	0.0246051	0.034715	0.0754509	0.142537	0.235504	0.460791
a41	0.00318139	0.00292356	0.00679777	0.0138351	0.0230402	0.0570108	0.129912	0.258351	0.504949
a47	0.0043451	0.00547168	0.0216039	0.0194024	0.0203094	0.0576028	0.122052	0.237506	0.511707
a98	0.00363222	0.0041808	0.01718	0.01689	0.0187867	0.05081	0.122214	0.255502	0.510804
a25	0.00475821	0.00538984	0.0213641	0.0191324	0.0193142	0.0520291	0.123909	0.262508	0.491595
a87	0.00457781	0.00532156	0.0158996	0.017939	0.0212804	0.0555921	0.126094	0.257929	0.495367
</S>	0.00639459	0.00722641	0.00976282	0.0147794	0.0241771	0.0566456	0.126717	0.263172	0.491125
