 	attention	tu	vas	tomber	</S>
a23	0.257856	0.244979	0.271486	0.126761	0.0989176
a20	0.247858	0.229188	0.274238	0.152949	0.0957674
a58	0.32861	0.255638	0.245469	0.0965888	0.073695
a82	0.309433	0.347251	0.254187	0.0560504	0.0330784
a20	0.260039	0.299628	0.273456	0.0949206	0.0719562
a30	0.267428	0.252433	0.251721	0.128421	0.0999964
a73	0.356325	0.293084	0.220432	0.0815201	0.0486388
a75	0.334579	0.260987	0.20754	0.118276	0.0786184
a18	0.31902	0.237412	0.199255	0.14101	0.103303
a76	0.171185	0.159426	0.173516	0.239753	0.256119
a94	0.138453	0.143524	0.171961	0.261189	0.284873
a57	0.0858734	0.0879613	0.120031	0.272418	0.433717
a38	0.0457918	0.0492937	0.0863128	0.237831	0.580771
a61	0.0412189	0.0376746	0.0639192	0.217444	0.639743
a88	0.0331738	0.033829	0.0550929	0.197005	0.680899
a25	0.0410923	0.0447628	0.0689987	0.196439	0.648707
a87	0.0382561	0.0379957	0.06055	0.192584	0.670615
</S>	0.0653645	0.0516477	0.0732071	0.234101	0.575679
