 	le	maçon	a	encore	élargi	la	porte	de	la	maison	</S>
a66	0.174466	0.129584	0.11953	0.122797	0.137606	0.09048	0.0763065	0.0595063	0.0422974	0.0269191	0.0205074
a87	0.270274	0.171746	0.109359	0.0915202	0.0833738	0.0516126	0.0516533	0.0557657	0.047812	0.035414	0.0314694
a30	0.210269	0.2675	0.164626	0.128361	0.133159	0.0316332	0.017962	0.0122752	0.0113984	0.0115189	0.0112974
a97	0.24592	0.281864	0.146729	0.130671	0.137605	0.0240189	0.0117636	0.00693889	0.00526394	0.00451063	0.00471522
a3	0.208506	0.239436	0.152016	0.142991	0.145148	0.0368855	0.0229931	0.0155073	0.0130109	0.0116679	0.0118381
a30	0.21733	0.242646	0.152734	0.13745	0.133135	0.0337866	0.0224782	0.0164998	0.0149237	0.0142903	0.0147268
a13	0.219032	0.235195	0.142095	0.132945	0.147618	0.0355729	0.0267119	0.0174835	0.0155104	0.0140136	0.0138238
a38	0.219142	0.217033	0.101281	0.110897	0.165011	0.0525277	0.0417026	0.0289165	0.0252556	0.0200675	0.018166
a93	0.215273	0.207079	0.0980607	0.0934658	0.134813	0.059032	0.051552	0.0412005	0.0387961	0.0314308	0.0292975
a70	0.239888	0.23452	0.112809	0.086672	0.0903694	0.0507644	0.0425288	0.0367131	0.0358887	0.0327311	0.0371151
a75	0.171764	0.204216	0.129801	0.109261	0.114312	0.0715341	0.0513231	0.0401431	0.0366069	0.0333819	0.0376567
a25	0.118901	0.135608	0.110161	0.104357	0.113355	0.103559	0.0786475	0.0624011	0.0563825	0.0539377	0.0626899
a44	0.158097	0.17275	0.136281	0.111309	0.0889142	0.069638	0.0533373	0.0491582	0.0477687	0.0501062	0.0626402
a93	0.0892807	0.126469	0.124976	0.131913	0.151423	0.101469	0.0623636	0.0449665	0.0421217	0.0518734	0.0731436
a34	0.127777	0.140983	0.132213	0.124553	0.12533	0.0938841	0.0653543	0.0462186	0.0400442	0.0448065	0.0588362
a70	0.0689828	0.0786587	0.102919	0.111646	0.112415	0.106262	0.0976774	0.0842677	0.0730785	0.0733798	0.0907136
a62	0.0328874	0.0402416	0.0648599	0.0834993	0.0877812	0.120871	0.12651	0.116846	0.103694	0.101018	0.121792
a31	0.0250388	0.0285961	0.0478392	0.0672288	0.0707561	0.130225	0.147295	0.131288	0.110269	0.108718	0.132746
a43	0.017279	0.0175881	0.0284653	0.042154	0.0443195	0.102084	0.139017	0.147046	0.137362	0.144367	0.180317
a90	0.0103752	0.010763	0.0174361	0.0294201	0.0389332	0.105044	0.149063	0.154052	0.142199	0.151377	0.191339
a93	0.0131063	0.0120139	0.0179005	0.0260443	0.0274523	0.0666542	0.10536	0.141301	0.162845	0.189236	0.238088
a44	0.00896446	0.00891877	0.0139775	0.0198743	0.0196364	0.0504799	0.0894189	0.143191	0.18616	0.2148	0.244579
a7	0.00486535	0.00404892	0.00572021	0.00858386	0.00992163	0.032698	0.0710864	0.124765	0.183419	0.241211	0.31368
a44	0.00238032	0.00219999	0.0025931	0.004054	0.00575442	0.0181365	0.0410814	0.0721938	0.136267	0.256531	0.458808
a70	0.00125228	0.00104902	0.00126206	0.00172055	0.00221977	0.00800542	0.0255389	0.0643685	0.147617	0.27953	0.467436
a66	0.000678454	0.000558491	0.000724441	0.000992621	0.00140233	0.00565219	0.0228448	0.0687074	0.167577	0.297526	0.433337
a71	0.00167427	0.0013344	0.00165441	0.00211014	0.00303134	0.00875249	0.0262621	0.0584969	0.13828	0.28241	0.475995
a9	0.00655298	0.00509763	0.00633088	0.00707875	0.00940504	0.0234331	0.0534772	0.0816814	0.147577	0.246675	0.412691
a3	0.0816841	0.0652285	0.0781331	0.0722151	0.0613341	0.0519397	0.0645085	0.0719061	0.110394	0.149076	0.193581
a9	0.102651	0.0963975	0.107571	0.105292	0.0898913	0.0671294	0.0723588	0.0721034	0.091984	0.0980552	0.0965665
a30	0.074654	0.0819364	0.0985897	0.111235	0.0979625	0.0849885	0.0799229	0.0699756	0.0818999	0.100805	0.11803
a9	0.0942765	0.0858151	0.0801171	0.0864797	0.0771508	0.0766693	0.0741123	0.0666419	0.0837886	0.118695	0.156254
a30	0.0744095	0.0720836	0.0848146	0.0938149	0.0838011	0.0742237	0.0700511	0.0654616	0.0842527	0.124108	0.172979
a38	0.0668794	0.0698337	0.0674264	0.0719101	0.0650071	0.0638892	0.0609654	0.0607808	0.0844563	0.146631	0.242221
a82	0.0440002	0.0457672	0.0506243	0.0459765	0.0334442	0.0365025	0.0442134	0.0627571	0.107415	0.193494	0.335805
a97	0.0327328	0.0352528	0.0382644	0.0401921	0.0300953	0.0292504	0.0346544	0.0512518	0.0938371	0.199856	0.414613
a10	0.0521791	0.0593742	0.0672844	0.0724009	0.0603352	0.0479243	0.0465704	0.0532509	0.082677	0.159199	0.298804
a97	0.0724504	0.0773381	0.0796835	0.0817791	0.06697	0.0533928	0.0486738	0.0543155	0.0801999	0.140931	0.244266
</S>	0.0790957	0.0830356	0.0836807	0.0819904	0.066927	0.0551933	0.0497134	0.0540854	0.0766831	0.134367	0.235228
