 	je	n'	ai	rien	à	faire	</S>
a87	0.421439	0.219483	0.120334	0.100347	0.0654564	0.0398142	0.0331258
a23	0.48295	0.197655	0.10451	0.059341	0.050942	0.0502234	0.0543789
a24	0.320063	0.228723	0.180504	0.0877263	0.051272	0.0562734	0.0754387
a98	0.452955	0.318164	0.175255	0.0369289	0.0087367	0.00436749	0.00359308
a24	0.287388	0.324843	0.275306	0.0797127	0.0172671	0.00832161	0.0071612
a76	0.242365	0.296538	0.298146	0.116571	0.025385	0.0113533	0.0096426
a94	0.220339	0.282429	0.296849	0.124165	0.0374925	0.0201397	0.0185857
a24	0.21421	0.265106	0.302789	0.14896	0.0366201	0.0171369	0.0151781
a25	0.206106	0.241734	0.280267	0.170803	0.0554734	0.025198	0.0204187
a38	0.172269	0.200594	0.25091	0.20176	0.0887843	0.0428264	0.0428553
a41	0.11348	0.125459	0.18085	0.24052	0.169777	0.0889082	0.0810055
a27	0.113427	0.119434	0.158001	0.190208	0.176633	0.127287	0.115009
a75	0.0510931	0.0520852	0.0719657	0.146774	0.234836	0.215453	0.227792
a73	0.0715276	0.0551328	0.0634447	0.0983618	0.164814	0.238181	0.308538
a84	0.0698475	0.0495014	0.0513101	0.107249	0.212648	0.235603	0.273842
a57	0.0328953	0.0236725	0.0230044	0.0475985	0.159138	0.271543	0.442148
a87	0.034183	0.020587	0.0192514	0.0367508	0.11087	0.245876	0.532481
a23	0.0288113	0.016191	0.0145157	0.0444077	0.160893	0.323182	0.411999
a87	0.0213626	0.0118434	0.00817713	0.0217067	0.136624	0.31851	0.481777
</S>	0.018775	0.00947131	0.00689491	0.0210525	0.124949	0.328728	0.490129
