 	il	fait	toujours	attention	à	sa	petite	soeur	</S>
a23	0.28224	0.201262	0.12107	0.112616	0.0778984	0.0598073	0.0401025	0.0500052	0.0549976
a30	0.279345	0.155843	0.114793	0.13369	0.107544	0.0742201	0.0504002	0.0396872	0.0444773
a53	0.218509	0.159185	0.14397	0.173852	0.135579	0.0685447	0.0365075	0.0291644	0.0346889
a20	0.415948	0.204843	0.119229	0.119035	0.0517208	0.0313519	0.0226702	0.0174533	0.0177479
a41	0.293705	0.223721	0.182417	0.171016	0.0671254	0.0294744	0.0157889	0.00907085	0.00768123
a66	0.208113	0.219122	0.21757	0.214789	0.0867274	0.0296217	0.0113307	0.00668905	0.00603777
a11	0.1789	0.192013	0.200407	0.215909	0.111305	0.0497722	0.0222613	0.0147583	0.0146732
a24	0.144283	0.144373	0.158942	0.217099	0.155207	0.0846554	0.0401175	0.0277771	0.0275458
a25	0.133703	0.12494	0.120841	0.16733	0.157048	0.122802	0.0791637	0.0477227	0.0464494
a38	0.101533	0.0877272	0.0755107	0.114054	0.163679	0.171478	0.111431	0.0821334	0.0924534
a53	0.0888284	0.0756111	0.0612143	0.074946	0.108038	0.169093	0.147681	0.124181	0.150407
a90	0.0752898	0.0683045	0.0570685	0.071658	0.0921747	0.161047	0.185986	0.137162	0.151309
a32	0.0497402	0.0436725	0.0344697	0.0446916	0.0731988	0.146493	0.228366	0.185596	0.193772
a75	0.0298917	0.024895	0.0191147	0.0179256	0.0269629	0.0738415	0.220499	0.262958	0.323911
a73	0.0241633	0.0198925	0.0146574	0.0133731	0.0191988	0.0529427	0.185324	0.27637	0.394078
a44	0.0334035	0.024304	0.0154653	0.0148853	0.0220171	0.0525324	0.138376	0.284266	0.41475
a90	0.0396024	0.0257916	0.0148307	0.0133529	0.0191181	0.0399586	0.096696	0.249795	0.500855
a56	0.0244254	0.014478	0.0078014	0.00778488	0.0122849	0.0305806	0.09998	0.283204	0.519461
a98	0.0235293	0.0141889	0.00800424	0.00724898	0.011089	0.0249267	0.0816509	0.233743	0.595619
a41	0.0127869	0.00787254	0.00433137	0.00373	0.00699406	0.0210199	0.0852608	0.256349	0.601656
a76	0.0192182	0.0107875	0.00559639	0.00436159	0.00797756	0.0266801	0.101264	0.264632	0.559483
a94	0.0217646	0.0133693	0.00735823	0.00637605	0.0112161	0.0358105	0.112398	0.267888	0.523819
a96	0.015505	0.00894259	0.0044274	0.00320731	0.00533292	0.017999	0.0870376	0.227636	0.629912
a41	0.0241844	0.0134795	0.00583718	0.00447334	0.00824876	0.0239694	0.0799218	0.226703	0.613183
a98	0.0334676	0.0199506	0.00985019	0.00734857	0.0120431	0.0291696	0.0822956	0.230944	0.574931
a71	0.0215575	0.0129039	0.00646735	0.0052887	0.00927541	0.0252724	0.0763516	0.242846	0.600038
a83	0.0158246	0.00870451	0.00412227	0.0039309	0.00777743	0.0217005	0.0676039	0.215677	0.654659
a25	0.0311305	0.0224928	0.0112061	0.0120842	0.0231737	0.0452348	0.0840196	0.221241	0.549417
a87	0.0177355	0.0133118	0.00797872	0.00873301	0.0179892	0.0360438	0.0751945	0.239817	0.583197
</S>	0.00896862	0.00779173	0.00497832	0.00503094	0.00959977	0.021928	0.0765826	0.262727	0.602393
