 	mon	jumeau	est	malade	</S>
a85	0.588547	0.227897	0.0965845	0.0524711	0.0345001
a66	0.755692	0.145328	0.0500845	0.0304875	0.0184082
a97	0.412884	0.297732	0.0854724	0.0837225	0.120189
a99	0.571311	0.28514	0.0685857	0.0419947	0.0329684
a30	0.691967	0.207298	0.0392378	0.0339754	0.0275217
a93	0.756222	0.194148	0.0236997	0.0150379	0.0108925
a4	0.557454	0.381391	0.0277623	0.0159405	0.0174523
a62	0.491155	0.428304	0.0418623	0.0183056	0.0203733
a21	0.398928	0.501434	0.0580569	0.0211075	0.020473
a92	0.33861	0.533773	0.082201	0.0252801	0.0201361
a21	0.356594	0.47021	0.0975191	0.0373997	0.0382781
a5	0.387289	0.410958	0.106158	0.0478736	0.0477214
a23	0.346999	0.376762	0.13197	0.0741097	0.070159
a21	0.146412	0.347269	0.253789	0.127764	0.124767
a12	0.170051	0.225006	0.240547	0.193108	0.171287
a96	0.126703	0.22655	0.28294	0.198681	0.165126
a61	0.101159	0.208797	0.303447	0.219454	0.167142
a56	0.06891	0.152312	0.268085	0.28449	0.226203
a75	0.035643	0.091012	0.234803	0.329806	0.308736
a79	0.0137869	0.0367087	0.161984	0.346327	0.441193
a44	0.00561658	0.0195363	0.13908	0.360608	0.47516
a93	0.00378255	0.0102988	0.0692135	0.298836	0.61787
a90	0.00346527	0.010564	0.06251	0.270123	0.653337
a15	0.0013484	0.00528313	0.0487524	0.264666	0.67995
a7	0.000965843	0.00295691	0.0388807	0.275687	0.68151
a26	0.00238551	0.00439604	0.0487434	0.31935	0.625125
a57	0.0307762	0.0230587	0.129685	0.334987	0.481493
a3	0.129867	0.0697425	0.149727	0.305304	0.34536
a99	0.142852	0.0706545	0.150943	0.336853	0.298697
a9	0.0707296	0.0427971	0.135556	0.316356	0.434562
a3	0.0681651	0.0554948	0.144951	0.295527	0.435863
a99	0.116089	0.097252	0.171016	0.281091	0.334553
a9	0.0408373	0.0441438	0.121993	0.270849	0.522177
a99	0.0595771	0.0547966	0.125308	0.261347	0.498971
a97	0.0331735	0.0345383	0.102289	0.261386	0.568614
</S>	0.123106	0.0890081	0.145057	0.242303	0.400525
