 	il	va	acheter	une	boîte	d'	allumettes	</S>
a85	0.419381	0.286149	0.126934	0.06115	0.0234747	0.0164645	0.0238335	0.0426137
a66	0.326173	0.193222	0.172468	0.116512	0.0493016	0.0264332	0.0544632	0.061426
a87	0.200516	0.143663	0.175039	0.158861	0.0889544	0.0460185	0.0768939	0.110054
a23	0.18721	0.136296	0.144588	0.134829	0.105344	0.06327	0.0938795	0.134584
a79	0.152718	0.0877271	0.0789213	0.07019	0.0663005	0.0957214	0.180596	0.267825
a20	0.283312	0.24132	0.145128	0.108364	0.0449744	0.0555877	0.0680922	0.0532221
a44	0.214648	0.257426	0.210837	0.170128	0.0631332	0.0412206	0.0257632	0.0168441
a20	0.173203	0.24253	0.227396	0.202282	0.0799088	0.0380825	0.0224884	0.0141099
a73	0.144145	0.188336	0.217851	0.194353	0.108811	0.0729955	0.0443958	0.0291121
a94	0.159849	0.188668	0.214406	0.212525	0.103272	0.0602131	0.0373209	0.0237458
a32	0.155044	0.182132	0.209954	0.223975	0.118975	0.0538778	0.0340881	0.0219548
a90	0.159497	0.17762	0.222732	0.238744	0.122927	0.0366161	0.0249243	0.0169401
a94	0.0805113	0.1104	0.151893	0.20486	0.191464	0.117232	0.0883778	0.055262
a31	0.0745507	0.0928323	0.134467	0.182524	0.194007	0.12369	0.116851	0.0810789
a96	0.0743068	0.0837102	0.115385	0.154192	0.178834	0.141267	0.15356	0.0987447
a66	0.0761334	0.0807325	0.102073	0.131904	0.146856	0.135033	0.199436	0.127831
a71	0.10163	0.100465	0.119953	0.14395	0.151509	0.101133	0.170715	0.110644
a38	0.0842201	0.0858987	0.0964129	0.120625	0.142619	0.128063	0.216247	0.125915
a41	0.0795898	0.0849504	0.0908159	0.114409	0.137364	0.122914	0.218099	0.151858
a56	0.0484955	0.0528124	0.0560885	0.0776142	0.140094	0.167802	0.251051	0.206042
a54	0.0562131	0.0565283	0.0573169	0.0713229	0.118596	0.153115	0.267535	0.219373
a73	0.0431622	0.0428172	0.0388429	0.0454001	0.102271	0.156628	0.276303	0.294575
a69	0.0398976	0.0411358	0.0375582	0.0445761	0.0916392	0.147982	0.275744	0.321468
a90	0.0434433	0.050017	0.0449419	0.053286	0.0808772	0.129369	0.254988	0.343077
a44	0.0370716	0.0417627	0.0368044	0.0452684	0.0911894	0.148091	0.243183	0.356629
a90	0.0236042	0.0255226	0.0239277	0.0279578	0.0571664	0.13712	0.300055	0.404646
a69	0.0199802	0.0225222	0.0196933	0.0245953	0.0543839	0.127215	0.306734	0.424876
a76	0.0214132	0.0239326	0.0229391	0.027957	0.0461582	0.095866	0.259603	0.502131
a90	0.0176852	0.0180987	0.0167795	0.020482	0.036306	0.0836167	0.287562	0.51947
a69	0.0197941	0.0199464	0.0184296	0.0218528	0.0369047	0.0836573	0.280976	0.518439
a58	0.0219685	0.020367	0.0195378	0.023267	0.0337674	0.0676368	0.254046	0.55941
a82	0.0105392	0.00872603	0.00900002	0.0112436	0.0190897	0.0447075	0.246288	0.650406
a87	0.0035311	0.00235534	0.00227859	0.00355988	0.00915525	0.0412105	0.260023	0.677886
</S>	0.00332518	0.00198322	0.000895566	0.000919013	0.00312169	0.0439311	0.324968	0.620857
