 	l'	eau	du	ruisseau	a	troué	le	barrage	que	tu	as	construit	</S>
a66	0.345014	0.206613	0.124726	0.058881	0.0520716	0.0547979	0.0426378	0.0349617	0.0262684	0.0171155	0.0146344	0.0111507	0.0111278
a87	0.227231	0.158705	0.124594	0.0956787	0.0828143	0.0635037	0.0394648	0.0324779	0.0313562	0.0314652	0.0361728	0.0354877	0.0410491
a23	0.284998	0.200778	0.119004	0.0697331	0.0316305	0.0250988	0.0197359	0.0192211	0.0234748	0.0315295	0.0539606	0.056002	0.0648339
a97	0.207479	0.134562	0.100985	0.0923307	0.0407012	0.029055	0.018361	0.0155772	0.0287979	0.0556329	0.0920328	0.0796673	0.104818
a79	0.203986	0.131249	0.0953853	0.0852642	0.0440981	0.0389894	0.0273322	0.0221457	0.0355592	0.0576104	0.0823699	0.0821418	0.0938687
a53	0.219973	0.148434	0.126788	0.0943768	0.0553682	0.0461072	0.0265534	0.0231649	0.0294792	0.045074	0.058681	0.0497639	0.0762371
a4	0.225579	0.189032	0.177195	0.126375	0.0908298	0.0724307	0.0283784	0.0191182	0.0147523	0.0165316	0.015868	0.0103141	0.0135957
a58	0.136287	0.165075	0.178878	0.177677	0.117994	0.0843911	0.043708	0.0236068	0.0162591	0.0160136	0.0160928	0.011125	0.0128934
a47	0.0716627	0.10319	0.135396	0.183904	0.154736	0.118363	0.0779073	0.0447117	0.0270352	0.0238085	0.0220918	0.0163231	0.0208702
a31	0.0651111	0.0827961	0.101156	0.154958	0.14979	0.123708	0.106754	0.0584082	0.0425975	0.0347409	0.0318167	0.0235768	0.0245864
a61	0.0660032	0.0900685	0.112321	0.170399	0.150602	0.123463	0.100189	0.0554625	0.0353131	0.0260191	0.0241585	0.0215239	0.0244761
a75	0.0659192	0.0878979	0.108972	0.165832	0.146606	0.12545	0.106508	0.0601673	0.0360912	0.0250459	0.023399	0.0216945	0.0264164
a25	0.0186153	0.0299815	0.0484673	0.112307	0.136568	0.143758	0.125633	0.0957957	0.0851952	0.0606985	0.0501727	0.0451802	0.0476269
a20	0.0278828	0.0429961	0.0616731	0.116091	0.145104	0.148899	0.146012	0.10175	0.0685716	0.0409522	0.0327236	0.0308903	0.0364543
a92	0.0184508	0.0210636	0.0297422	0.0646535	0.100115	0.133739	0.184052	0.136364	0.101117	0.0609879	0.0496129	0.0472833	0.0528186
a21	0.0203555	0.0211172	0.0268653	0.0495224	0.0788068	0.114314	0.15127	0.123248	0.108637	0.0753027	0.0649172	0.0740295	0.0916142
a47	0.0149471	0.0149617	0.0184971	0.0341619	0.0454047	0.0629891	0.118343	0.130088	0.135908	0.0942153	0.0813653	0.101275	0.147845
a56	0.0156897	0.016101	0.0195469	0.0327408	0.0386398	0.0510204	0.107055	0.128956	0.146233	0.102303	0.0893222	0.106678	0.145715
a34	0.00495643	0.00499243	0.00644974	0.0126394	0.0185308	0.0263835	0.0652668	0.0986122	0.162962	0.137694	0.126662	0.154744	0.180106
a96	0.00436	0.00415681	0.0051519	0.0080077	0.011817	0.0160526	0.0439379	0.0745639	0.147265	0.14882	0.144254	0.179027	0.212585
a83	0.00373316	0.00311802	0.00349622	0.00469852	0.00730336	0.0104448	0.032362	0.0567934	0.123223	0.142073	0.149631	0.208392	0.254732
a93	0.00233392	0.0016311	0.00161296	0.00176272	0.00267463	0.00419175	0.0130004	0.0249888	0.0652369	0.102759	0.132368	0.237227	0.410213
a69	0.00155057	0.00130504	0.00150561	0.00186026	0.00316583	0.00488095	0.0142387	0.0279411	0.0735814	0.115939	0.14263	0.244152	0.36725
a44	0.000472649	0.000390291	0.000468655	0.000638153	0.00117434	0.00193359	0.00685721	0.0147385	0.0433869	0.0814437	0.112577	0.253295	0.482624
a58	0.000949955	0.000731476	0.000728302	0.000779822	0.00119637	0.00162964	0.00537161	0.0125915	0.0344926	0.0693738	0.107518	0.258176	0.506461
a82	0.00611095	0.00513612	0.00497957	0.00417292	0.00568283	0.00644756	0.0149157	0.0313877	0.0599207	0.0808502	0.107999	0.249894	0.422503
a87	0.0890077	0.0564536	0.0432636	0.0320864	0.0274994	0.0290257	0.0386442	0.0546719	0.062376	0.0701271	0.100356	0.173614	0.222874
a10	0.163369	0.138016	0.102877	0.0786269	0.0512614	0.0485592	0.0441364	0.0506884	0.0498859	0.0503593	0.0617045	0.0795247	0.0809907
a87	0.138375	0.120448	0.089019	0.0641634	0.0435887	0.0387522	0.0386034	0.0474688	0.0525646	0.0611397	0.077496	0.102669	0.125712
a23	0.0980038	0.094402	0.0742217	0.0587339	0.0431277	0.038546	0.0443462	0.0571026	0.0688638	0.0757861	0.0943272	0.118809	0.13373
a87	0.049311	0.0384711	0.0311845	0.0281942	0.0232207	0.0206758	0.0256013	0.0416164	0.0694973	0.0985502	0.127771	0.178228	0.267678
</S>	0.0131406	0.0133486	0.0127941	0.0137688	0.0125382	0.0135193	0.0206112	0.0331582	0.0553035	0.0857471	0.119861	0.175975	0.430234
