 	le	martin-	pêcheur	se	nourrit	de	poissons	</S>
a66	0.314158	0.202881	0.156179	0.148652	0.102591	0.0471129	0.0176158	0.01081
a87	0.54336	0.26072	0.0664004	0.0606446	0.039335	0.0160145	0.00748606	0.00603974
a23	0.436732	0.260796	0.0917635	0.0758148	0.0545226	0.03627	0.0220701	0.0220306
a83	0.334487	0.37707	0.0966654	0.0768062	0.0474734	0.0254113	0.0197576	0.0223295
a38	0.317489	0.251502	0.147932	0.119943	0.0645721	0.0411331	0.0290386	0.0283894
a75	0.293898	0.264047	0.230529	0.107483	0.0500652	0.0246101	0.0155563	0.0138115
a92	0.207853	0.255623	0.271355	0.138327	0.0744258	0.0294004	0.0136722	0.00934437
a79	0.113259	0.137792	0.250692	0.185618	0.144817	0.0890978	0.0465171	0.0322065
a92	0.0722011	0.137595	0.257105	0.180393	0.1452	0.0957575	0.0612318	0.0505162
a12	0.087231	0.148344	0.229421	0.156702	0.12774	0.105337	0.0804474	0.0647769
a61	0.0730036	0.09215	0.238486	0.208387	0.175683	0.102233	0.0630109	0.0470472
a21	0.0662892	0.0655667	0.240949	0.220894	0.183491	0.101727	0.0662865	0.0547976
a85	0.0536037	0.035413	0.138361	0.184896	0.191404	0.154092	0.126309	0.115921
a47	0.0107683	0.00778746	0.0453788	0.0963799	0.166822	0.21306	0.227592	0.232212
a98	0.00636866	0.00264517	0.0198519	0.065208	0.130911	0.196215	0.249062	0.329738
a85	0.0052653	0.00258003	0.0266444	0.093278	0.18082	0.223909	0.220904	0.246599
a47	0.00584204	0.00234814	0.0185738	0.0625885	0.111591	0.201461	0.264038	0.333558
a0	0.00432656	0.00146197	0.00997961	0.0327952	0.0717906	0.179784	0.271196	0.428666
a61	0.00512579	0.00143868	0.00961257	0.0284745	0.0610363	0.177264	0.282259	0.434788
a18	0.00197602	0.000831817	0.00303435	0.0100735	0.0289794	0.12214	0.301658	0.531307
a71	0.00558492	0.00313654	0.00898449	0.0143621	0.0205848	0.0661687	0.19697	0.684209
a25	0.0246276	0.0150651	0.0266367	0.033723	0.0433339	0.0975351	0.211387	0.547691
a3	0.0425553	0.0247851	0.0276514	0.0413002	0.0556558	0.110051	0.211652	0.486349
a87	0.125912	0.0689295	0.0462712	0.0561599	0.0749253	0.132881	0.203556	0.291365
a99	0.18273	0.106241	0.0654445	0.0707329	0.100129	0.157966	0.162921	0.153836
a13	0.0544929	0.0330891	0.0185418	0.030794	0.0759997	0.166274	0.260281	0.360528
a38	0.023149	0.0184477	0.0177906	0.0458741	0.109575	0.20221	0.266474	0.31648
a99	0.0056206	0.00522632	0.00939239	0.027839	0.0626051	0.162015	0.293057	0.434244
a97	0.00299025	0.00359914	0.00662887	0.0202778	0.0433489	0.132198	0.285228	0.505728
</S>	0.0092285	0.00506619	0.00492121	0.0123739	0.0299238	0.099579	0.254413	0.584494
